date,agg,bil,btcusd,gld,spy,vb,vnq,vo,vwo
2023-04-05,0.25,0.25,0.01,0.25,0.02831,0.01,0.01,0.01,0.18169
2023-04-06,0.25,0.25,0.01,0.25,0.02692,0.01,0.01,0.01,0.18308
2023-04-10,0.25,0.25,0.01,0.25,0.02716,0.01,0.01,0.01,0.18284
2023-04-11,0.25,0.25,0.01,0.25,0.02779,0.01,0.01,0.01,0.18221
2023-04-12,0.25,0.25,0.01,0.25,0.02773,0.01,0.01,0.01,0.18227
2023-04-13,0.25,0.25,0.01,0.25,0.02809,0.01,0.01,0.01,0.18191
2023-04-14,0.25,0.25,0.01,0.25,0.02874,0.01,0.01,0.01,0.18126
2023-04-17,0.25,0.25,0.01,0.25,0.02874,0.01,0.01,0.01,0.18126
2023-04-18,0.25,0.25,0.01,0.25,0.02898,0.01,0.01,0.01,0.18102
2023-04-19,0.25,0.25,0.01,0.25,0.0302,0.01,0.01,0.01,0.1798
2023-04-20,0.25,0.25,0.01,0.25,0.02683,0.01,0.01,0.01,0.18317
2023-04-21,0.25,0.25,0.01,0.25,0.02893,0.01,0.01,0.01,0.18107
2023-04-24,0.25,0.25,0.01,0.25,0.02811,0.01,0.01,0.01,0.18189
2023-04-25,0.25,0.25,0.01,0.25,0.03222,0.01,0.01,0.01,0.17778
2023-04-26,0.25,0.25,0.01,0.25,0.0293,0.01,0.01,0.01,0.1807
2023-04-27,0.25,0.25,0.01,0.25,0.03006,0.01,0.01,0.01,0.17994
2023-04-28,0.25,0.25,0.01,0.25,0.02984,0.01,0.01,0.01,0.18016
2023-05-01,0.25,0.25,0.01,0.25,0.03255,0.01,0.01,0.01,0.17745
2023-05-02,0.25,0.25,0.01,0.25,0.0386,0.01,0.01,0.01,0.1714
2023-05-03,0.25,0.25,0.01,0.25,0.0374,0.01,0.01,0.01,0.1726
2023-05-04,0.25,0.25,0.01,0.25,0.03861,0.01,0.01,0.01,0.17139
2023-05-05,0.25,0.25,0.01,0.25,0.04545,0.01,0.01,0.01,0.16455
2023-05-08,0.25,0.25,0.01,0.25,0.04518,0.01,0.01,0.01,0.16482
2023-05-09,0.25,0.25,0.01,0.25,0.04408,0.01,0.01,0.01,0.16592
2023-05-10,0.25,0.25,0.01,0.25,0.04613,0.01,0.01,0.01,0.16387
2023-05-11,0.25,0.25,0.01,0.25,0.04638,0.01,0.01,0.01,0.16362
