Category,Strategy,Trade Frequency (%),Avg Holding Period (days)
DRL,A2C,93.07,1.13
DRL,DDPG,0.2,252.5
DRL,PPO,87.13,1.21
DRL,SAC,0.2,252.5
DRL,TD3,0.2,252.5
Rules,Naive,0.0,505.0
Rules,Mean,0.0,505.0
Rules,Adaptive-Mean,0.2,441.0
Rules,Min-Var,98.02,191.74
DRL,Ensemble,32.74,4.76
