time/iterations,time/time_elapsed,train/learning_rate,train/explained_variance,train/entropy_loss,train/reward,time/total_timesteps,time/fps,train/policy_loss,train/value_loss,train/n_updates,train/std
100,0,0.0007,0.10854274034500122,-11.409847259521484,-0.04413799,500,597,-19.171985626220703,4.045063495635986,99,1.00728178024292
200,1,0.0007,0.09163510799407959,-11.413042068481445,0.21341272,1000,603,6.251810550689697,0.5884262323379517,199,1.0078949928283691
300,2,0.0007,-1.053812026977539,-11.431196212768555,0.10893681,1500,600,2.3892247676849365,0.10917139053344727,299,1.0103163719177246
400,3,0.0007,-0.13677096366882324,-11.475232124328613,0.3333478,2000,597,-4.897392272949219,0.36339327692985535,399,1.0159896612167358
500,4,0.0007,-1.9844281673431396,-11.499866485595703,-0.7269862,2500,603,-2.251772403717041,0.09224837273359299,499,1.0192991495132446
600,4,0.0007,-0.24429047107696533,-11.530738830566406,0.1540909,3000,609,2.368497133255005,0.07195183634757996,599,1.023112416267395
700,5,0.0007,-0.08852839469909668,-11.52741813659668,1.8886164,3500,613,-4.289063930511475,0.6497195959091187,699,1.0225820541381836
800,6,0.0007,-0.6233885288238525,-11.56471061706543,0.015305154,4000,617,0.4378231167793274,0.06908112019300461,799,1.0274224281311035
900,7,0.0007,-29.386152267456055,-11.611832618713379,0.10633217,4500,620,-0.6171054840087891,0.00636335602030158,899,1.0334820747375488
1000,8,0.0007,-0.9243414402008057,-11.659347534179688,-0.074253894,5000,623,0.48396554589271545,0.003622744930908084,999,1.0396515130996704
1100,8,0.0007,1.1920928955078125e-07,-11.695821762084961,0.19705838,5500,624,-1.3373394012451172,0.029564807191491127,1099,1.0445162057876587
1200,9,0.0007,-0.5518765449523926,-11.759995460510254,-0.013498796,6000,625,-1.9537370204925537,0.039466492831707,1199,1.053167462348938
1300,10,0.0007,-0.18762195110321045,-11.76656723022461,-0.93575084,6500,627,-13.776893615722656,3.843386173248291,1299,1.0534934997558594
1400,11,0.0007,-0.5851038694381714,-11.79940414428711,0.08715285,7000,628,3.9555325508117676,0.33640459179878235,1399,1.0581499338150024
1500,11,0.0007,0.03112053871154785,-11.81618881225586,-0.018911943,7500,629,13.359106063842773,2.027350902557373,1499,1.060793399810791
1600,12,0.0007,-0.08629977703094482,-11.853376388549805,0.47756907,8000,630,12.420463562011719,1.7030633687973022,1599,1.0648679733276367
1700,13,0.0007,1.1920928955078125e-07,-11.875062942504883,-0.15589386,8500,631,-1.7564960718154907,1.845672607421875,1699,1.0683753490447998
1800,14,0.0007,0.18458962440490723,-11.871548652648926,-0.5679795,9000,632,5.563260078430176,0.7674828171730042,1799,1.0679130554199219
1900,15,0.0007,-1.1141209602355957,-11.863569259643555,1.0636901,9500,633,9.194062232971191,1.5593587160110474,1899,1.0669442415237427
2000,15,0.0007,-0.1359999179840088,-11.872876167297363,1.9987913,10000,631,16.81773567199707,2.7452518939971924,1999,1.0681827068328857
2100,16,0.0007,0.0,-11.872908592224121,-1.1498967,10500,632,15.829556465148926,3.292634963989258,2099,1.0678008794784546
2200,17,0.0007,0.0,-11.856002807617188,0.611345,11000,633,18.918354034423828,3.4020705223083496,2199,1.0660502910614014
2300,18,0.0007,-4.735301494598389,-11.838680267333984,-0.414989,11500,633,-14.769021987915039,2.3657870292663574,2299,1.0637680292129517
2400,18,0.0007,0.0,-11.859129905700684,0.299442,12000,634,4.895221710205078,0.3232586979866028,2399,1.066287875175476
2500,19,0.0007,1.1920928955078125e-07,-11.904361724853516,-0.3100678,12500,634,14.437800407409668,2.2314250469207764,2499,1.0723528861999512
2600,20,0.0007,1.1920928955078125e-07,-11.909442901611328,-2.1346023,13000,634,0.4457978308200836,0.49984773993492126,2599,1.0733404159545898
2700,21,0.0007,-0.003995418548583984,-11.913393020629883,-1.429257,13500,635,-19.845516204833984,2.3780455589294434,2699,1.073348045349121
2800,22,0.0007,-0.17754125595092773,-11.885127067565918,-0.12782127,14000,635,0.7134173512458801,0.02858336828649044,2799,1.0699559450149536
2900,22,0.0007,-3.337860107421875e-06,-11.907541275024414,0.49829406,14500,636,12.03821086883545,1.5416553020477295,2899,1.0729246139526367
3000,23,0.0007,1.1920928955078125e-07,-11.89077377319336,0.78787416,15000,636,8.991473197937012,0.7780765891075134,2999,1.070802927017212
3100,24,0.0007,-0.0014138221740722656,-11.86945915222168,0.18265161,15500,637,0.22330045700073242,1.6170618534088135,3099,1.0672986507415771
3200,25,0.0007,-0.05783951282501221,-11.874048233032227,-0.030911874,16000,637,17.417556762695312,2.1914477348327637,3199,1.068520426750183
3300,25,0.0007,0.0,-11.871292114257812,-0.29994732,16500,637,-5.118709564208984,0.6492474675178528,3299,1.06768798828125
3400,26,0.0007,-0.00020492076873779297,-11.871305465698242,-1.4105929,17000,638,-28.991369247436523,7.777674198150635,3399,1.0682069063186646
3500,27,0.0007,-1.1920928955078125e-07,-11.858590126037598,0.700085,17500,638,14.914959907531738,2.0410115718841553,3499,1.066282033920288
3600,28,0.0007,0.011040568351745605,-11.832887649536133,-0.8348624,18000,638,-49.65192794799805,20.115354537963867,3599,1.0633615255355835
3700,28,0.0007,8.821487426757812e-06,-11.873072624206543,-1.4021119,18500,638,-2.3323278427124023,0.2661162316799164,3699,1.0683547258377075
3800,29,0.0007,0.0,-11.892814636230469,-2.4661257,19000,638,-20.08627700805664,3.6249871253967285,3799,1.071590781211853
3900,30,0.0007,0.0,-11.888301849365234,1.4192259,19500,638,6.776253700256348,0.7348897457122803,3899,1.0712733268737793
4000,31,0.0007,-0.0006843805313110352,-11.892178535461426,-1.1276855,20000,638,-15.505422592163086,1.5156917572021484,3999,1.071497917175293
4100,32,0.0007,0.0,-11.883543014526367,2.3587534,20500,638,10.769617080688477,1.333559513092041,4099,1.0705795288085938
4200,32,0.0007,-0.07441723346710205,-11.870834350585938,0.061324,21000,639,14.545849800109863,3.331667423248291,4199,1.0692787170410156
4300,33,0.0007,-0.7517342567443848,-11.860620498657227,-0.10841335,21500,639,0.6880875825881958,0.43205761909484863,4299,1.066739797592163
4400,34,0.0007,-2.384185791015625e-07,-11.879619598388672,0.93476,22000,639,-5.422608852386475,1.5081183910369873,4399,1.0703620910644531
4500,35,0.0007,-0.003673553466796875,-11.905183792114258,0.4164106,22500,639,-5.045815467834473,1.100860595703125,4499,1.0739967823028564
4600,35,0.0007,0.0,-11.888547897338867,-0.034505725,23000,639,-0.0962030440568924,0.2622334361076355,4599,1.0719977617263794
4700,36,0.0007,0.0,-11.897424697875977,-0.31720662,23500,639,-2.463268995285034,1.162724256515503,4699,1.07305908203125
4800,37,0.0007,0.0,-11.91975212097168,-0.092107,24000,639,-14.15020751953125,1.3139047622680664,4799,1.0752336978912354
4900,38,0.0007,1.1920928955078125e-07,-11.942419052124023,-0.254997,24500,640,5.116487503051758,0.4733390808105469,4899,1.0784647464752197
5000,39,0.0007,0.0,-11.935894012451172,0.657743,25000,640,2.0372886657714844,0.38587021827697754,4999,1.077901840209961
5100,39,0.0007,1.1920928955078125e-07,-11.953312873840332,-1.5171877,25500,640,23.29267692565918,5.901295185089111,5099,1.079685091972351
5200,40,0.0007,0.2621183395385742,-11.94408893585205,0.090356626,26000,640,2.455204486846924,0.4145912230014801,5199,1.0793297290802002
5300,41,0.0007,-0.013787984848022461,-11.984444618225098,0.812275,26500,640,1.499416708946228,3.123734712600708,5299,1.084523320198059
5400,42,0.0007,-1.1920928955078125e-07,-11.974800109863281,-0.385068,27000,640,-3.606837034225464,0.8078869581222534,5399,1.0832040309906006
5500,42,0.0007,0.0,-11.994526863098145,0.43841428,27500,640,15.771646499633789,2.489142656326294,5499,1.0861248970031738
5600,43,0.0007,-0.9215242862701416,-12.025136947631836,-0.17872502,28000,640,11.147012710571289,1.1411224603652954,5599,1.090099573135376
5700,44,0.0007,-0.10630905628204346,-12.027278900146484,1.0385067,28500,640,-18.092884063720703,4.108005046844482,5699,1.0905976295471191
5800,45,0.0007,0.048974037170410156,-12.036149024963379,3.768613,29000,641,21.86614990234375,4.543656826019287,5799,1.091766357421875
5900,46,0.0007,-0.19286561012268066,-12.05836009979248,0.16070975,29500,641,-3.2546329498291016,0.14792093634605408,5899,1.0948845148086548
6000,46,0.0007,0.0,-12.085261344909668,-0.43780953,30000,641,-6.854948997497559,0.35115182399749756,5999,1.098584771156311
6100,47,0.0007,0.004245400428771973,-12.074644088745117,-0.28998318,30500,641,12.838699340820312,2.0500283241271973,6099,1.0966753959655762
6200,48,0.0007,-0.15466928482055664,-12.058018684387207,-2.403635,31000,641,-5.311160087585449,0.307216614484787,6199,1.0942367315292358
6300,49,0.0007,-0.024407505989074707,-12.073970794677734,0.78913194,31500,641,2.638467311859131,2.8901233673095703,6299,1.0965602397918701
6400,49,0.0007,0.0004526972770690918,-12.085227966308594,0.70424014,32000,641,13.089813232421875,2.711031436920166,6399,1.0979245901107788
6500,50,0.0007,0.2420351505279541,-12.075387001037598,1.5945841,32500,641,19.375980377197266,3.6271891593933105,6499,1.096625566482544
6600,51,0.0007,0.0,-12.104126930236816,0.099546604,33000,640,4.854660511016846,0.20305249094963074,6599,1.1009769439697266
6700,52,0.0007,-1.1920928955078125e-07,-12.133625030517578,0.026458863,33500,640,-5.036789894104004,0.34022682905197144,6699,1.104880928993225
6800,53,0.0007,0.0,-12.168030738830566,0.27765182,34000,641,26.113265991210938,6.865937232971191,6799,1.1090528964996338
6900,53,0.0007,5.960464477539063e-08,-12.208907127380371,1.183599,34500,641,15.0683012008667,1.939836859703064,6899,1.1149367094039917
7000,54,0.0007,2.110004425048828e-05,-12.166154861450195,-0.2407073,35000,641,-21.831714630126953,3.5575389862060547,6999,1.108880639076233
7100,55,0.0007,0.0,-12.194856643676758,0.6406286,35500,641,1.610466718673706,0.4645744860172272,7099,1.1128712892532349
7200,56,0.0007,0.0,-12.177045822143555,-0.10561162,36000,641,5.60558557510376,3.0770504474639893,7199,1.110670804977417
7300,56,0.0007,1.1920928955078125e-07,-12.165664672851562,0.8161874,36500,641,-5.647156715393066,1.4496220350265503,7299,1.1086381673812866
7400,57,0.0007,0.0,-12.164162635803223,-0.835097,37000,641,2.335685968399048,0.6305779218673706,7399,1.1088086366653442
7500,58,0.0007,0.0,-12.185308456420898,0.8311581,37500,641,-14.806424140930176,1.8948614597320557,7499,1.111447811126709
7600,59,0.0007,1.1920928955078125e-07,-12.20355224609375,2.193586,38000,641,9.736577987670898,0.7292963266372681,7599,1.1144940853118896
7700,59,0.0007,0.0,-12.218624114990234,1.6054145,38500,641,13.603151321411133,2.633431911468506,7699,1.1156301498413086
7800,60,0.0007,0.0,-12.260915756225586,1.7059451,39000,640,-16.790555953979492,2.386613368988037,7799,1.1213650703430176
7900,61,0.0007,0.3237089514732361,-12.29072380065918,-0.5395523,39500,641,13.061071395874023,1.1937322616577148,7899,1.12586510181427
8000,62,0.0007,0.0,-12.307180404663086,1.9280512,40000,641,-9.63292407989502,0.94244384765625,7999,1.128096342086792
8100,63,0.0007,1.7881393432617188e-07,-12.348104476928711,-0.754896,40500,641,-12.11409854888916,0.9618773460388184,8099,1.1335973739624023
8200,63,0.0007,0.0,-12.348588943481445,-1.0811086,41000,641,9.581581115722656,0.6910028457641602,8199,1.1342315673828125
8300,64,0.0007,0.007886767387390137,-12.36721420288086,0.3367231,41500,641,4.421295642852783,1.0648247003555298,8299,1.1365752220153809
8400,65,0.0007,0.006996750831604004,-12.346866607666016,0.42831323,42000,641,17.55593490600586,4.044631004333496,8399,1.1336629390716553
8500,66,0.0007,-1.1920928955078125e-07,-12.334188461303711,-0.11152061,42500,641,36.61638641357422,11.687111854553223,8499,1.131629228591919
8600,67,0.0007,1.1920928955078125e-07,-12.352714538574219,0.458221,43000,641,16.501968383789062,1.5169382095336914,8599,1.1347146034240723
8700,67,0.0007,-0.01040792465209961,-12.374324798583984,0.35352355,43500,641,-42.925148010253906,15.489956855773926,8699,1.137943983078003
8800,68,0.0007,0.30423760414123535,-12.38629150390625,-2.158807,44000,641,6.780716896057129,0.3232598304748535,8799,1.1392936706542969
8900,69,0.0007,0.006491363048553467,-12.370902061462402,-0.19709027,44500,641,-36.534019470214844,9.670928001403809,8899,1.137052059173584
9000,70,0.0007,-0.011879801750183105,-12.357370376586914,0.5273084,45000,641,-6.828197479248047,0.9550264477729797,8999,1.1348540782928467
9100,70,0.0007,-0.0020105838775634766,-12.396097183227539,-0.20265701,45500,641,36.95993423461914,12.322953224182129,9099,1.1407729387283325
9200,71,0.0007,-0.281139612197876,-12.358537673950195,-0.070487194,46000,641,4.827671051025391,0.23365788161754608,9199,1.1354682445526123
9300,72,0.0007,0.02704596519470215,-12.38857650756836,2.6811008,46500,641,-21.515748977661133,3.0809245109558105,9299,1.139580488204956
9400,73,0.0007,-0.3356844186782837,-12.40760612487793,-0.85492635,47000,642,-1.9799365997314453,0.0243393424898386,9399,1.1425487995147705
9500,73,0.0007,-0.012164831161499023,-12.397100448608398,-0.1978247,47500,642,16.206817626953125,2.5616791248321533,9499,1.1413228511810303
9600,74,0.0007,0.0,-12.417691230773926,2.083876,48000,642,-31.497421264648438,10.043968200683594,9599,1.1445643901824951
9700,75,0.0007,0.0,-12.412914276123047,-1.2326444,48500,642,8.373640060424805,2.619964122772217,9699,1.1437987089157104
9800,76,0.0007,0.0,-12.438611030578613,0.6152636,49000,642,-34.73366928100586,9.757509231567383,9799,1.1473586559295654
9900,77,0.0007,0.0,-12.456403732299805,-0.167866,49500,642,7.985248565673828,1.3872532844543457,9899,1.149657964706421
10000,77,0.0007,0.0,-12.489952087402344,1.417681,50000,642,32.81073760986328,6.319159507751465,9999,1.1549018621444702
