date,agg,bil,gld,spy,vb,vnq,vo,vwo
2023-04-05,0,0,100,100,0,89,100,0
2023-04-06,0,0,100,100,0,37,100,0
2023-04-10,0,0,100,100,0,31,100,33
2023-04-11,0,0,100,100,0,-85,100,0
2023-04-12,0,0,100,100,0,100,100,100
2023-04-13,0,0,100,100,0,-10,100,-45
2023-04-14,0,0,100,100,0,-100,100,-2
2023-04-17,0,0,100,100,0,70,100,8
2023-04-18,0,0,83,100,0,86,100,-94
2023-04-19,0,0,100,100,0,-100,100,0
2023-04-20,0,0,100,100,0,100,100,0
2023-04-21,0,0,100,100,0,56,100,0
2023-04-24,0,0,1,32,0,-36,0,0
2023-04-25,0,0,-44,0,0,2,39,0
2023-04-26,0,0,0,0,0,0,0,0
2023-04-27,0,0,0,0,0,0,0,0
2023-04-28,0,0,0,0,0,0,0,0
2023-05-01,0,0,0,0,0,-80,31,3
2023-05-02,0,0,0,0,0,0,0,0
2023-05-03,0,0,0,0,0,-92,36,1
2023-05-04,0,0,0,0,0,2,0,-4
2023-05-05,0,0,0,0,0,0,0,0
2023-05-08,0,0,0,0,0,0,0,0
2023-05-09,0,0,0,0,0,0,0,0
2023-05-10,0,0,0,0,0,0,0,0
2023-05-11,0,0,0,0,0,0,0,0
2023-05-12,0,0,0,0,0,-28,11,0
2023-05-15,0,0,0,0,0,0,0,1
2023-05-16,0,0,0,0,0,-42,16,-1
2023-05-17,0,0,0,0,0,1,0,1
2023-05-18,0,0,0,0,0,0,0,-1
2023-05-19,0,0,0,0,0,-1,0,3
2023-05-22,0,0,0,0,0,0,0,0
2023-05-23,0,0,0,0,0,0,0,0
2023-05-24,0,0,0,0,0,0,0,0
2023-05-25,0,0,0,0,0,0,0,0
2023-05-26,0,0,0,0,0,1,0,-3
2023-05-30,0,0,0,0,0,0,0,1
2023-05-31,0,0,0,0,0,0,0,0
2023-06-01,0,0,0,0,0,0,0,-1
2023-06-02,0,0,0,0,0,0,0,0
2023-06-05,0,0,-47,0,0,0,41,0
2023-06-06,0,0,0,0,0,0,0,0
2023-06-07,0,0,0,0,0,0,0,0
2023-06-08,0,0,0,0,0,0,0,0
2023-06-09,0,0,0,0,0,0,0,0
2023-06-12,0,0,-42,0,0,-1,36,0
2023-06-13,0,0,0,0,0,0,0,0
2023-06-14,0,0,0,0,0,0,0,0
2023-06-15,0,0,0,0,0,0,0,0
2023-06-16,0,0,0,0,0,0,0,0
2023-06-20,0,0,0,0,0,0,0,0
2023-06-21,0,0,0,0,0,0,0,0
2023-06-22,0,0,0,0,0,0,0,0
2023-06-23,0,0,0,0,0,0,0,0
2023-06-26,0,0,0,0,0,0,0,0
2023-06-27,0,0,0,0,0,0,0,0
2023-06-28,0,0,0,0,0,0,0,0
2023-06-29,0,0,0,0,0,0,0,0
2023-06-30,0,0,0,0,0,0,0,0
2023-07-03,0,0,0,0,0,0,0,0
2023-07-05,0,0,0,0,0,0,0,0
2023-07-06,0,0,0,0,0,0,0,0
2023-07-07,0,7,29,54,46,0,100,0
2023-07-10,11,91,87,59,96,0,-100,0
2023-07-11,100,-56,100,24,-4,0,0,89
2023-07-12,-70,-42,-11,16,14,0,100,65
2023-07-13,-41,0,-93,-7,100,100,30,-29
2023-07-14,0,0,7,8,100,-48,-90,88
2023-07-17,16,76,-90,70,-61,-52,-28,100
2023-07-18,28,39,5,6,92,7,100,97
2023-07-19,-44,-37,86,37,100,-7,100,-100
2023-07-20,45,-20,-67,56,15,38,100,-100
2023-07-21,55,-31,31,100,75,-38,39,25
2023-07-24,68,10,-1,65,100,100,-90,13
2023-07-25,-100,15,67,53,-95,-24,48,-44
2023-07-26,100,100,92,0,-100,-76,66,-100
2023-07-27,100,-70,40,-85,-100,0,37,100
2023-07-28,-10,4,-40,27,-29,0,-65,100
2023-07-31,-39,-86,25,-47,-17,100,45,-24
2023-08-01,30,0,-100,100,100,-100,-71,-63
2023-08-02,69,41,-15,100,66,43,100,8
2023-08-03,-86,76,-100,100,100,63,47,-86
2023-08-04,1,-100,-52,100,31,82,100,48
2023-08-07,-100,-17,89,-25,100,-47,100,-100
2023-08-08,50,100,100,-12,100,19,23,100
2023-08-09,100,35,42,-40,-100,51,-72,-100
2023-08-10,70,100,64,-86,24,-57,16,62
2023-08-11,-28,-86,-18,53,39,30,-100,36
2023-08-14,-81,-100,-100,100,1,-71,100,96
2023-08-15,-68,100,-36,14,92,-28,-31,38
2023-08-16,72,-42,82,-1,100,14,4,52
2023-08-17,-46,-100,-100,86,-13,100,-16,83
2023-08-18,100,-7,41,-25,-100,37,56,-100
2023-08-21,100,0,54,-100,46,-51,0,100
2023-08-22,100,23,50,100,100,100,-96,18
2023-08-23,-20,88,-45,96,100,-2,67,100
2023-08-24,100,-100,-15,8,-100,-100,11,100
2023-08-25,27,-11,20,5,-9,100,44,-100
2023-08-28,100,44,-88,-13,-69,-71,-52,-3
2023-08-29,-97,-44,82,-54,-89,-100,48,100
2023-08-30,100,0,-100,-100,45,-5,83,54
2023-08-31,54,42,66,-47,-100,-22,6,89
2023-09-01,100,12,-21,-2,14,9,-7,-88
2023-09-05,100,-54,-100,27,6,100,33,-100
2023-09-06,4,95,-67,57,88,100,-100,-100
2023-09-07,-30,32,0,100,2,28,-79,-100
2023-09-08,-91,100,0,66,-68,21,-100,-18
2023-09-11,98,-3,0,64,-3,-49,-100,-100
2023-09-12,-57,-87,0,34,-100,-49,100,30
2023-09-13,21,-60,60,-100,72,-87,-49,-68
2023-09-14,-100,-77,-21,-1,100,21,-59,-100
2023-09-15,-100,0,-1,57,-51,64,61,100
2023-09-18,-100,0,-38,79,-11,-100,-100,100
2023-09-19,100,0,51,100,-29,6,68,-100
2023-09-20,-76,100,70,45,-31,-43,22,-4
2023-09-21,-22,-66,-64,-17,100,-56,-13,100
2023-09-22,-77,100,-3,59,100,73,-100,59
2023-09-25,-59,0,100,-96,-100,76,-100,100
2023-09-26,-96,-66,100,85,100,-23,-71,-14
2023-09-27,-100,5,19,100,-21,-8,-100,47
2023-09-28,-98,100,100,-18,74,-29,-65,-14
2023-09-29,0,-100,-100,74,-100,0,100,0
2023-10-02,-61,-42,100,-17,-100,78,9,8
2023-10-03,-100,-31,-9,-100,-92,18,-14,-100
2023-10-04,-22,0,-100,-41,100,31,-67,66
2023-10-05,0,100,100,100,100,100,0,0
2023-10-06,0,100,100,100,100,100,0,0
2023-10-09,0,100,100,100,100,100,0,0
2023-10-10,0,100,100,100,100,100,0,0
2023-10-11,0,100,100,100,100,100,0,0
2023-10-12,0,100,100,100,100,100,0,0
2023-10-13,0,100,100,100,100,100,0,0
2023-10-16,0,100,100,100,100,100,0,0
2023-10-17,0,100,100,100,100,100,0,0
2023-10-18,0,100,100,100,100,100,0,0
2023-10-19,0,1,1,29,100,100,0,0
2023-10-20,0,0,0,0,0,0,0,0
2023-10-23,0,0,0,0,0,0,0,0
2023-10-24,0,0,0,0,0,0,0,0
2023-10-25,0,0,0,0,0,0,0,0
2023-10-26,0,0,0,0,0,0,0,0
2023-10-27,0,0,0,0,0,0,0,0
2023-10-30,0,0,0,0,0,0,0,0
2023-10-31,0,0,0,0,0,0,0,0
2023-11-01,0,0,0,0,0,0,0,0
2023-11-02,0,0,0,0,0,0,0,0
2023-11-03,0,0,0,0,0,0,0,0
2023-11-06,0,0,0,0,0,0,0,0
2023-11-07,0,0,0,0,0,0,0,0
2023-11-08,0,0,0,0,0,0,0,0
2023-11-09,0,0,0,0,0,0,0,0
2023-11-10,0,0,0,0,0,0,0,0
2023-11-13,0,0,0,0,0,0,0,0
2023-11-14,0,0,0,0,0,0,0,0
2023-11-15,0,0,0,0,0,0,0,0
2023-11-16,0,0,0,0,0,0,0,0
2023-11-17,0,0,0,0,0,0,0,0
2023-11-20,0,0,0,0,0,0,0,0
2023-11-21,0,0,0,0,0,0,0,0
2023-11-22,0,0,0,0,0,0,0,0
2023-11-24,0,0,0,0,0,0,0,0
2023-11-27,0,0,0,0,0,0,0,0
2023-11-28,0,0,0,0,0,0,0,0
2023-11-29,0,0,0,0,0,0,0,0
2023-11-30,0,0,0,0,0,0,0,0
2023-12-01,0,0,0,0,0,0,0,0
2023-12-04,0,0,0,0,0,0,0,0
2023-12-05,0,0,0,0,0,0,0,0
2023-12-06,0,0,0,0,0,0,0,0
2023-12-07,0,0,0,0,0,0,0,0
2023-12-08,0,0,0,0,0,0,0,0
2023-12-11,0,0,0,0,0,0,0,0
2023-12-12,0,0,0,0,0,0,0,0
2023-12-13,0,0,0,0,0,0,0,0
2023-12-14,0,0,0,0,0,0,0,0
2023-12-15,0,0,0,0,0,0,0,0
2023-12-18,0,0,0,0,0,0,0,0
2023-12-19,0,0,0,0,0,0,0,0
2023-12-20,0,0,0,0,0,0,0,0
2023-12-21,0,0,0,0,0,0,0,0
2023-12-22,0,0,0,0,0,0,0,0
2023-12-26,0,0,0,0,0,0,0,0
2023-12-27,0,0,0,0,0,0,0,0
2023-12-28,0,0,0,0,0,0,0,0
2023-12-29,0,0,0,0,0,0,0,0
2024-01-02,0,0,0,0,0,0,0,0
2024-01-03,0,0,0,0,0,0,0,0
2024-01-04,0,0,0,0,0,0,0,0
2024-01-05,100,100,0,100,0,100,0,0
2024-01-08,100,100,0,100,0,100,0,0
2024-01-09,100,100,0,100,0,100,0,0
2024-01-10,100,100,0,100,0,100,0,0
2024-01-11,100,100,0,100,0,100,0,0
2024-01-12,100,100,0,100,0,100,0,0
2024-01-16,100,100,0,100,0,100,0,0
2024-01-17,100,100,0,100,0,100,0,0
2024-01-18,100,100,0,100,0,100,0,0
2024-01-19,100,100,0,100,0,100,0,0
2024-01-22,100,100,0,100,0,100,0,0
2024-01-23,100,100,0,100,0,100,0,0
2024-01-24,100,100,0,100,0,100,0,0
2024-01-25,0,4,0,22,0,100,0,0
2024-01-26,0,0,0,0,0,0,0,0
2024-01-29,0,0,0,0,0,0,0,0
2024-01-30,0,0,0,0,0,0,0,0
2024-01-31,0,0,0,0,0,0,0,0
2024-02-01,0,0,0,0,0,0,0,0
2024-02-02,0,0,0,0,0,0,0,0
2024-02-05,0,0,0,0,0,0,0,0
2024-02-06,0,0,0,0,0,0,0,0
2024-02-07,0,0,0,0,0,0,0,0
2024-02-08,0,0,0,0,0,0,0,0
2024-02-09,0,0,0,0,0,0,0,0
2024-02-12,0,0,0,0,0,0,0,0
2024-02-13,0,0,0,0,0,0,0,0
2024-02-14,0,0,0,0,0,0,0,0
2024-02-15,0,0,0,0,0,0,0,0
2024-02-16,0,0,0,0,0,0,0,0
2024-02-20,0,0,0,0,0,0,0,0
2024-02-21,0,0,0,0,0,0,0,0
2024-02-22,0,0,0,0,0,0,0,0
2024-02-23,0,0,0,0,0,0,0,0
2024-02-26,0,0,0,0,0,0,0,0
2024-02-27,0,0,0,0,0,0,0,0
2024-02-28,0,0,0,0,0,0,0,0
2024-02-29,0,0,0,0,0,0,0,0
2024-03-01,0,0,0,0,0,0,0,0
2024-03-04,0,0,0,0,0,0,0,0
2024-03-05,0,0,0,0,0,0,0,0
2024-03-06,0,0,0,0,0,0,0,0
2024-03-07,0,0,0,0,0,0,0,0
2024-03-08,0,0,0,0,0,0,0,0
2024-03-11,0,0,0,0,0,0,0,0
2024-03-12,0,0,0,0,0,0,0,0
2024-03-13,0,0,0,0,0,0,0,0
2024-03-14,0,0,0,0,0,0,0,0
2024-03-15,0,0,0,0,0,0,0,0
2024-03-18,0,0,0,0,0,0,0,0
2024-03-19,0,0,0,0,0,0,0,0
2024-03-20,0,0,0,0,0,0,0,0
2024-03-21,0,0,0,0,0,0,0,0
2024-03-22,0,0,0,0,0,0,0,0
2024-03-25,0,0,0,0,0,0,0,0
2024-03-26,0,0,0,0,0,0,0,0
2024-03-27,0,0,0,0,0,0,0,0
2024-03-28,0,0,0,0,0,0,0,0
2024-04-01,0,0,0,0,0,0,0,0
2024-04-02,0,0,0,0,0,0,0,0
2024-04-03,0,0,0,0,0,0,0,0
2024-04-04,0,0,0,0,0,0,0,0
2024-04-05,0,0,0,0,0,0,0,0
2024-04-08,0,46,3,47,90,0,0,100
2024-04-09,100,-46,34,10,100,0,52,100
2024-04-10,-100,0,100,-21,100,0,46,100
2024-04-11,89,0,100,65,71,5,-87,100
2024-04-12,-77,74,100,-98,100,-5,79,100
2024-04-15,-12,-74,100,-3,-21,13,0,100
2024-04-16,0,0,-100,0,100,16,-84,100
2024-04-17,34,0,94,0,-15,-29,89,100
2024-04-18,-34,59,100,0,48,0,-13,100
2024-04-19,0,-9,100,100,-76,0,-67,100
2024-04-22,98,67,100,-100,64,0,7,100
2024-04-23,-98,-65,58,0,49,0,53,100
2024-04-24,0,-38,73,0,-28,0,45,100
2024-04-25,0,47,70,31,44,0,100,100
2024-04-26,0,-61,78,100,100,60,84,100
2024-04-29,27,0,100,4,100,-56,-52,95
2024-04-30,100,0,100,67,35,-4,31,29
2024-05-01,11,0,84,100,-94,0,100,100
2024-05-02,82,0,100,25,100,100,-30,100
2024-05-03,-49,0,100,-35,74,15,8,100
2024-05-06,-82,0,-18,-100,100,-100,100,100
2024-05-07,-85,0,100,-73,100,-15,-75,100
