date,close,high,low,open,volume,tic,day
2021-06-17,38095.17,39554.98,37365.63,38351.0,15970.3631,btcusd,3
2021-06-17,2373.33,2459.53,2306.35,2368.24,153629.2811,ethusd,3
2021-06-17,39.25,40.5,38.219,40.5,202111.69164,solusd,3
2021-06-18,36.842,39.45,35.0,39.321,471361.72638,solusd,4
2021-06-18,35841.81,38216.22,35153.16,38103.94,23472.39153,btcusd,4
2021-06-18,2234.47,2377.8,2125.12,2373.33,273328.24096,ethusd,4
2021-06-19,2164.72,2279.0,2162.72,2234.8,162828.92694,ethusd,5
2021-06-19,35484.79,36457.18,34833.26,35840.96,16801.10116,btcusd,5
2021-06-19,35.2,37.361,34.977,36.875,263002.62915,solusd,5
2021-06-20,2242.9,2275.78,2042.5,2165.13,231871.92949,ethusd,6
2021-06-20,35.271,35.954,31.324,35.2,287189.03673,solusd,6
2021-06-20,35585.78,36139.73,33347.05,35484.8,19400.08896,btcusd,6
2021-06-21,1885.67,2259.1,1864.5,2242.89,598654.8292,ethusd,0
2021-06-21,26.625,35.532,26.0,35.286,836374.39429,solusd,0
2021-06-21,31609.82,35741.54,31259.0,35585.79,41304.4127,btcusd,0
2021-06-22,1881.65,1996.67,1700.0,1885.49,620161.74882,ethusd,1
2021-06-22,26.982,28.773,20.181,26.631,1438737.3203,solusd,1
2021-06-22,32538.37,33352.0,28800.0,31609.82,48388.26727,btcusd,1
2021-06-23,1968.37,2045.0,1823.97,1881.24,287217.10478,ethusd,2
2021-06-23,33688.35,34881.02,31708.03,32538.9,23124.82691,btcusd,2
2021-06-23,30.838,32.957,25.682,26.979,1145607.00338,solusd,2
2021-06-24,34654.58,35295.67,32300.0,33688.51,16868.95529,btcusd,3
2021-06-24,31.187,33.0,28.477,30.851,883030.92223,solusd,3
2021-06-24,1988.81,2035.39,1884.77,1968.36,208623.61333,ethusd,3
2021-06-25,1809.07,2019.39,1792.0,1988.81,370739.76205,ethusd,4
2021-06-25,28.646,32.98,27.93,31.201,646762.94321,solusd,4
2021-06-25,31594.63,35500.0,31300.0,34654.87,26505.20707,btcusd,4
2021-06-26,32275.19,32711.68,30173.49,31594.62,18299.40151,btcusd,5
2021-06-26,1829.17,1851.97,1717.41,1809.07,238207.18122,ethusd,5
2021-06-26,29.739,30.121,26.72,28.6,469759.10814,solusd,5
2021-06-27,34709.23,34749.0,32002.21,32267.59,14428.94413,btcusd,6
2021-06-27,31.92,31.98,29.205,29.739,431491.18219,solusd,6
2021-06-27,1984.71,1988.62,1807.89,1829.0,177413.92505,ethusd,6
2021-06-28,2083.79,2143.67,1957.24,1984.84,278261.99686,ethusd,0
2021-06-28,34493.22,35301.43,33864.99,34708.53,14920.27924,btcusd,0
2021-06-28,33.013,34.323,31.01,31.935,459757.90088,solusd,0
2021-06-29,33.963,35.829,32.655,33.033,553005.38298,solusd,1
2021-06-29,35904.28,36675.0,34233.35,34493.22,17917.61278,btcusd,1
2021-06-29,2166.18,2247.03,2074.53,2083.99,215702.70223,ethusd,1
2021-06-30,35060.0,36094.42,34033.0,35906.17,16700.73762,btcusd,2
2021-06-30,35.565,36.0,31.602,33.951,754720.58588,solusd,2
2021-06-30,2276.72,2288.0,2089.16,2165.64,254873.15994,ethusd,2
2021-07-01,33516.11,35066.54,32703.48,35060.0,13210.9654,btcusd,3
2021-07-01,33.29,35.601,32.182,35.545,541918.0711,solusd,3
2021-07-01,2107.01,2277.44,2072.06,2276.74,240720.58925,ethusd,3
2021-07-02,2156.0,2159.43,2017.07,2107.75,192127.20573,ethusd,4
2021-07-02,33805.02,33972.06,32704.73,33510.93,11765.66827,btcusd,4
2021-07-02,33.991,34.1,31.408,33.28,458577.50166,solusd,4
2021-07-03,34682.16,34953.07,33320.0,33805.01,6197.81551,btcusd,5
2021-07-03,34.558,35.392,33.26,33.991,261802.35412,solusd,5
2021-07-03,2226.95,2239.69,2113.18,2156.0,98666.80631,ethusd,5
2021-07-04,35284.05,35951.0,34390.53,34685.03,6224.04488,btcusd,6
2021-07-04,34.332,35.504,33.582,34.536,243588.05074,solusd,6
2021-07-04,2323.15,2389.22,2190.56,2227.46,126325.75065,ethusd,6
2021-07-05,32.92,34.479,32.45,34.304,250865.94543,solusd,0
2021-07-05,33697.78,35290.82,33156.86,35284.06,9607.62048,btcusd,0
2021-07-05,2197.34,2324.44,2160.0,2323.27,156103.9505,ethusd,0
