,date,daily_return
0,2023-04-04,0.0
1,2023-04-05,-0.0039293784375318795
2,2023-04-06,0.00026382880896798236
3,2023-04-10,0.009331987079192746
4,2023-04-11,0.007190354376663601
5,2023-04-12,-0.00416496393813868
6,2023-04-13,0.010173584696077568
7,2023-04-14,-0.005862843156578149
8,2023-04-17,-0.0010686525629001159
9,2023-04-18,0.004761881700329307
10,2023-04-19,-0.009107680909080455
11,2023-04-20,-0.0047933841129403605
12,2023-04-21,-0.007616103604823837
13,2023-04-24,0.0017801697692049188
14,2023-04-25,-0.005950896776105115
15,2023-04-26,-0.002947385561635461
16,2023-04-27,0.015027105192519643
17,2023-04-28,0.004867809007455414
18,2023-05-01,-0.008569866979201955
19,2023-05-02,-0.002380963367174466
20,2023-05-03,0.0012652283820017382
21,2023-05-04,-0.0023297156051752493
22,2023-05-05,0.01146427379338328
23,2023-05-08,-0.009434499061067456
24,2023-05-09,-0.0017874964185763472
25,2023-05-10,0.0018519469915887646
26,2023-05-11,-0.007194390218575413
27,2023-05-12,-0.0033967728783084
28,2023-05-15,0.007511965838178783
29,2023-05-16,-0.010259463775771815
30,2023-05-17,0.008585856484407647
31,2023-05-18,-0.0021929726735416075
32,2023-05-19,-0.0002979336004416803
33,2023-05-22,0.002641549676226253
34,2023-05-23,-0.004908534281429615
35,2023-05-24,-0.012095822717441512
36,2023-05-25,-0.00030601673449134117
37,2023-05-26,0.009494569393085302
38,2023-05-30,0.004680950821147322
39,2023-05-31,-0.006221767405645409
40,2023-06-01,0.005335615192681421
41,2023-06-02,0.012803995482661975
42,2023-06-05,-0.009423361468876384
43,2023-06-06,0.014327497399127694
44,2023-06-07,-0.0036982126833254147
45,2023-06-08,0.00394409989521386
46,2023-06-09,-0.0012886008722116002
47,2023-06-12,0.00040261499685181537
48,2023-06-13,0.004521713012180778
49,2023-06-14,-0.0038062744432159033
50,2023-06-15,0.01028275320395342
51,2023-06-16,0.001156355324459912
52,2023-06-20,0.0026051032053519413
53,2023-06-21,0.006399895186708967
54,2023-06-22,-0.004487034454004355
55,2023-06-23,-0.0035478036750395347
56,2023-06-26,0.0010460666266594565
57,2023-06-27,0.009212156610154475
58,2023-06-28,-0.0029679887825237576
59,2023-06-29,0.0037073792681810965
60,2023-06-30,0.006493580344992261
61,2023-07-03,0.006049086123770072
62,2023-07-05,-0.0065596604688275455
63,2023-07-06,-0.010716810932493905
64,2023-07-07,0.0063857618751903865
65,2023-07-10,0.004746371683219715
66,2023-07-11,0.007946491962908014
67,2023-07-12,0.007134353980987445
68,2023-07-13,0.010427500699384208
69,2023-07-14,-0.009292644372835375
70,2023-07-17,0.0013613141991744712
71,2023-07-18,0.002308382573744638
72,2023-07-19,0.002091230468594377
73,2023-07-20,-0.0051409468017586555
74,2023-07-21,8.485641271666785e-05
75,2023-07-24,-0.0010584547448843863
76,2023-07-25,0.0026321835344666486
77,2023-07-26,0.003496099957283748
78,2023-07-27,-0.01025653293328373
79,2023-07-28,0.009102527863819185
80,2023-07-31,0.0025928576659457374
81,2023-08-01,-0.0033739084398996385
82,2023-08-02,-0.012162817569231557
83,2023-08-03,-0.0016343030348728318
84,2023-08-04,-0.001485557720842038
85,2023-08-07,0.0035020509133053307
86,2023-08-08,-0.002409520191204618
87,2023-08-09,-0.0037071678045877995
88,2023-08-10,-0.0017054912447803314
89,2023-08-11,-0.002331645378854375
90,2023-08-14,-0.0004364200496088246
91,2023-08-15,-0.009075080920343148
92,2023-08-16,-0.008397498755313046
93,2023-08-17,-0.01474150163739335
94,2023-08-18,-0.002483788734400152
95,2023-08-21,0.0012231376195231036
96,2023-08-22,-0.001448242641872106
97,2023-08-23,0.01145080900750409
98,2023-08-24,-0.007524696311363002
99,2023-08-25,0.0014863336663237736
100,2023-08-28,0.005765172619806654
101,2023-08-29,0.01892375826586134
102,2023-08-30,-0.0001923795903809271
103,2023-08-31,-0.009961656351347048
104,2023-09-01,0.0026469140365155547
105,2023-09-05,-0.007880087191372176
106,2023-09-06,-0.003189665098351351
107,2023-09-07,-6.252336149997523e-05
108,2023-09-08,-0.0020949031720818574
109,2023-09-11,-0.000831664443686718
110,2023-09-12,0.0016814797509625357
111,2023-09-13,-0.0004854649052172963
112,2023-09-14,0.0077389782076981856
113,2023-09-15,-0.004348654122642527
114,2023-09-18,-0.0007159068840967681
115,2023-09-19,-1.6675146071816385e-06
116,2023-09-20,-0.003672064997774259
117,2023-09-21,-0.01695206418874151
118,2023-09-22,0.0010865130213458265
119,2023-09-25,-0.001530843710288731
120,2023-09-26,-0.010385020706998033
121,2023-09-27,0.0003281330156439993
122,2023-09-28,0.006632648259578584
123,2023-09-29,-0.0029447678647708535
124,2023-10-02,-0.0040981154763695985
125,2023-10-03,-0.010404356391141489
126,2023-10-04,0.0050184023899193285
127,2023-10-05,-0.001722554729158988
128,2023-10-06,0.009918310790936151
129,2023-10-09,0.004080816905255885
130,2023-10-10,0.004633201270197082
131,2023-10-11,0.001174488271769798
132,2023-10-12,-0.00919639865382021
133,2023-10-13,0.0022683593916578283
134,2023-10-16,0.014932731007287483
135,2023-10-17,0.0010406489713876428
136,2023-10-18,-0.009538363601039712
137,2023-10-19,-0.0035643645652263575
138,2023-10-20,-0.0021333007202109927
139,2023-10-23,0.012811238169461763
140,2023-10-24,0.009154997052000109
141,2023-10-25,-0.00652763416090765
142,2023-10-26,-0.0018347858829478123
143,2023-10-27,-0.0038488574712933275
144,2023-10-30,0.00638052570580744
145,2023-10-31,0.003592702382185442
146,2023-11-01,0.007057549687903977
