,account_value,date,daily_return,datadate
86,1054816.3672000002,2023-08-08,0.0191817502954658,2023-08-08
87,1047641.2972,2023-08-09,-0.0068021982054055,2023-08-09
88,1042828.2372,2023-08-10,-0.0045941869730256,2023-08-10
89,1042061.9272000002,2023-08-11,-0.0007348381762825,2023-08-11
90,1042162.9372,2023-08-14,9.693281883094151e-05,2023-08-14
91,1033746.0272,2023-08-15,-0.0080763858505791,2023-08-15
92,1017411.0372,2023-08-16,-0.0158017439198725,2023-08-16
93,946571.0272,2023-08-17,-0.069627719191014,2023-08-17
94,927030.1572,2023-08-18,-0.0206438496832116,2023-08-18
95,929499.8372,2023-08-21,0.0026640773019288,2023-08-21
96,926639.5672,2023-08-22,-0.0030772140946427,2023-08-22
97,940171.0072,2023-08-23,0.0146027004230862,2023-08-23
98,930907.6372,2023-08-24,-0.0098528564793631,2023-08-24
99,927123.6572,2023-08-25,-0.0040648286132678,2023-08-25
100,929169.0772,2023-08-28,0.0022061997707807,2023-08-28
101,984595.4672,2023-08-29,0.0596515654255567,2023-08-29
102,970733.2872,2023-08-30,-0.0140790613625524,2023-08-30
103,923938.7772,2023-08-31,-0.0482053212937354,2023-08-31
104,919440.3772,2023-09-01,-0.0048687208622549,2023-09-01
105,918509.6772,2023-09-05,-0.0010122461696041,2023-09-05
106,917187.4672,2023-09-06,-0.0014395166788341,2023-09-06
107,935089.3172,2023-09-07,0.0195182017201467,2023-09-07
108,922417.4372000002,2023-09-08,-0.0135515183062342,2023-09-08
109,896809.2072000001,2023-09-11,-0.0277620835938812,2023-09-11
110,920209.9072,2023-09-12,0.0260932869690992,2023-09-12
111,933050.5372,2023-09-13,0.0139540227719037,2023-09-13
112,943926.4972,2023-09-14,0.0116563461102949,2023-09-14
113,946076.2672,2023-09-15,0.0022774760602408,2023-09-15
114,951414.0372,2023-09-18,0.0056420081393624,2023-09-18
115,966636.7072,2023-09-19,0.0160000477234916,2023-09-19
116,963373.2372,2023-09-20,-0.0033761080824803,2023-09-20
117,943486.8872,2023-09-21,-0.0206424148316582,2023-09-21
118,943819.4972,2023-09-22,0.0003525327214533,2023-09-22
119,934303.6272,2023-09-25,-0.0100822986050091,2023-09-25
120,930824.4972,2023-09-26,-0.0037237680543172,2023-09-26
121,935961.5472,2023-09-27,0.0055188169364392,2023-09-27
122,958916.6572,2023-09-28,0.0245256977369123,2023-09-28
123,954818.4372,2023-09-29,-0.0042738020757367,2023-09-29
124,974610.5672,2023-10-02,0.0207286843538969,2023-10-02
125,971492.1972,2023-10-03,-0.0031996061862522,2023-10-03
126,983880.7872,2023-10-04,,2023-10-04
127,971226.2972,2023-10-05,-0.0128618122892846,2023-10-05
128,989520.8372,2023-10-06,0.0188365369149725,2023-10-06
129,977930.0072,2023-10-09,-0.0117135784960303,2023-10-09
130,971286.6072,2023-10-10,-0.0067933287158467,2023-10-10
131,953714.8772,2023-10-11,-0.0180911894282733,2023-10-11
132,949132.9172,2023-10-12,-0.0048043289556854,2023-10-12
133,952804.7672,2023-10-13,0.0038686362399402,2023-10-13
134,1009580.2072,2023-10-16,0.059587695144353,2023-10-16
135,1006002.9972,2023-10-17,-0.0035432647891553,2023-10-17
136,1002534.7772,2023-10-18,-0.0034475245199598,2023-10-18
137,1015863.1072,2023-10-19,0.0132946310722756,2023-10-19
138,1047846.4372,2023-10-20,0.0314838975579641,2023-10-20
139,1163286.8672000002,2023-10-23,0.1101692250903423,2023-10-23
140,1191955.2672,2023-10-24,0.0246443081309806,2023-10-24
141,1211238.5672000002,2023-10-25,0.0161778722160421,2023-10-25
142,1199567.3272000002,2023-10-26,-0.0096357896091272,2023-10-26
143,1190713.1272,2023-10-27,-0.0073811613564596,2023-10-27
144,1210894.5772000002,2023-10-30,0.0169490446850599,2023-10-30
145,1216765.8572000002,2023-10-31,0.0048487127703358,2023-10-31
146,1243535.3072000002,2023-11-01,0.0220004940487081,2023-11-01
147,1227666.2772,2023-11-02,-0.0127612219034869,2023-11-02
148,1220942.6272,2023-11-03,-0.0054767733910026,2023-11-03
149,1231718.2472,2023-11-06,0.0088256563084474,2023-11-06
150,1243726.2172,2023-11-07,0.0097489584385852,2023-11-07
151,1251228.3672,2023-11-08,0.0060319947398788,2023-11-08
152,1287085.6072,2023-11-09,0.0286576303255028,2023-11-09
153,1308424.6672,2023-11-10,0.0165793633932573,2023-11-10
154,1279432.3172000002,2023-11-13,-0.0221582111120258,2023-11-13
155,1249572.7172,2023-11-14,-0.0233381630263544,2023-11-14
156,1328963.6672,2023-11-15,0.0635344777516402,2023-11-15
157,1270079.1772000005,2023-11-16,-0.044308577768769,2023-11-16
158,1286215.5772000002,2023-11-17,0.0127050346857697,2023-11-17
159,1315143.4772,2023-11-20,0.0224907087993553,2023-11-20
160,1256288.0572000002,2023-11-21,-0.044752090566807,2023-11-21
161,1313335.5672000002,2023-11-22,0.0454095775829843,2023-11-22
162,1324402.6972,2023-11-24,0.0084267343978163,2023-11-24
163,1307262.0872000002,2023-11-27,-0.0129421436820068,2023-11-27
164,1327553.7172000003,2023-11-28,0.0155222355170281,2023-11-28
165,1328635.3572,2023-11-29,0.0008147617576492,2023-11-29
166,1324368.6072000002,2023-11-30,-0.0032113777319546,2023-11-30
167,1358200.3572000002,2023-12-01,0.0255455692743484,2023-12-01
168,1470096.9272,2023-12-04,0.0823859082401365,2023-12-04
169,1541047.1072000002,2023-12-05,0.0482622463099318,2023-12-05
170,1530088.2972000004,2023-12-06,-0.0071112751510311,2023-12-06
171,1513816.5772,2023-12-07,-0.0106344973880115,2023-12-07
172,1544914.8772000002,2023-12-08,0.0205429775762666,2023-12-08
173,1444303.1472000002,2023-12-11,-0.0651244489161425,2023-12-11
174,1452704.8172000002,2023-12-12,0.0058171098057133,2023-12-12
175,1501674.8872000002,2023-12-13,0.0337095805150469,2023-12-13
176,1507423.7772,2023-12-14,0.0038283186653798,2023-12-14
177,1469862.0372,2023-12-15,-0.0249178370197729,2023-12-15
178,1494159.7172000003,2023-12-18,0.0165305854461592,2023-12-18
179,1481542.0472,2023-12-19,-0.0084446594662886,2023-12-19
180,1528870.1872,2023-12-20,0.0319451885212751,2023-12-20
181,1535859.7872,2023-12-21,0.0045717419690163,2023-12-21
182,1540762.1072000002,2023-12-22,0.0031919059544733,2023-12-22
183,1490093.3572000002,2023-12-26,-0.0328855115031868,2023-12-26
184,1522805.4472000003,2023-12-27,0.0219530473321944,2023-12-27
185,1492524.5772000002,2023-12-28,-0.0198849236162622,2023-12-28
186,1474514.6372,2023-12-29,-0.0120667627690173,2023-12-29
187,1573410.8572000004,2024-01-02,0.0670703548849114,2024-01-02
188,1500801.2072,2024-01-03,-0.0461479273946378,2024-01-03
189,1546004.9872000003,2024-01-04,,2024-01-04
190,1545684.72116,2024-01-05,-0.00020715718426,2024-01-05
191,1641525.18116,2024-01-08,0.062005180414848,2024-01-08
192,1611757.39116,2024-01-09,-0.018134226840775,2024-01-09
193,1630228.65116,2024-01-10,0.0114603228136624,2024-01-10
194,1619032.8711600003,2024-01-11,-0.0068676133203973,2024-01-11
195,1497808.42116,2024-01-12,-0.0748746070320028,2024-01-12
196,1509785.87116,2024-01-16,0.0079966501929023,2024-01-16
197,1496073.8311599998,2024-01-17,-0.0090821091003221,2024-01-17
198,1446824.01116,2024-01-18,-0.0329193780241536,2024-01-18
