,date,tic,close,high,low,open,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
3,2020-01-07,spy,322.73,323.54,322.24,323.02,42854811.0,1.0,3.006393849700828,326.5981012359491,313.54289876405085,63.58368648038319,87.9280880543073,23.136771347735404,317.6383333333333,311.13800000000003,13.789999961853027,8.522627563842331
3,2020-01-07,vb,165.18,165.64,164.68,165.32,599003.0,1.0,1.078270822112131,167.63371179081597,162.34128820918406,58.58589846966237,51.323984743361216,13.397948737792712,164.06366666666665,160.86633333333333,13.789999961853027,8.522627563842331
3,2020-01-07,vnq,91.35,92.18,90.8545,92.18,6533037.0,1.0,-0.04353359674631463,93.24801241211266,89.82498758788735,47.68836227113581,-38.22394209530607,17.18552183332544,91.86133333333333,92.52816666666668,13.789999961853027,8.522627563842331
3,2020-01-07,vo,178.22,178.5914,177.67,178.11,262781.0,1.0,1.2666168772084347,180.12828023278735,174.1147197672127,60.65491245663175,81.97932283048087,25.54703401244568,176.12233333333333,173.2155,13.789999961853027,8.522627563842331
3,2020-01-07,vwo,44.62,44.68,44.45,44.54,11862530.0,1.0,0.550311218680605,45.69504390739187,42.70395609260813,60.12586731859483,68.47298993095339,25.858575940562833,43.576,42.82966666666666,13.789999961853027,8.522627563842331
4,2020-01-08,agg,112.67,112.94,112.545,112.85,7323117.0,2.0,0.03893080490199452,113.02134551931832,112.13065448068167,50.499302497479505,23.975492493225953,2.8970286167274,112.65266666666666,112.59866666666667,13.449999809265137,5.822552169091621
4,2020-01-08,bil,91.47,91.47,91.46,91.46,1286106.0,2.0,-0.01118284543899506,91.52897749442293,91.39102250557708,48.30617142657743,-8.718980549998443,0.8473844785438269,91.47166666666666,91.49749999999999,13.449999809265137,5.822552169091621
4,2020-01-08,gld,146.86,148.61,146.14,148.49,22276323.0,2.0,2.095181678911672,148.14911003532862,135.23388996467136,65.31009968754105,171.69131201975452,51.867457599582636,140.45133333333334,140.0865,13.449999809265137,5.822552169091621
4,2020-01-08,spy,324.45,325.78,322.67,322.94,68434153.0,2.0,2.998042365978563,326.71484619964184,314.48315380035825,65.19140341512119,105.36486409149013,32.83631015801136,318.088,311.6075,13.449999809265137,5.822552169091621
4,2020-01-08,vb,165.71,166.26,165.1,165.26,448031.0,2.0,1.0266826460636196,167.57493154933664,162.69806845066338,59.625127524233996,69.86285447674705,19.64494393710487,164.25033333333334,161.075,13.449999809265137,5.822552169091621
4,2020-01-08,vnq,91.63,91.81,91.06,91.39,6766391.0,2.0,-0.05592134629647205,93.02358891036589,89.9074110896341,48.63158074091857,-34.096422420684746,17.18552183332543,91.86399999999999,92.50483333333334,13.449999809265137,5.822552169091621
4,2020-01-08,vo,178.54,179.3979,178.13,178.23,636907.0,2.0,1.2317049195284824,180.09555682330733,174.56844317669265,61.26488404069595,96.7532301205225,31.936196063826383,176.306,173.4125,13.449999809265137,5.822552169091621
4,2020-01-08,vwo,44.82,45.025,44.4701,44.51,11113862.0,2.0,0.5350049823192506,45.598701097392706,43.033298902607285,61.14602392729011,76.65215740329303,32.294621695180744,43.662333333333336,42.892,13.449999809265137,5.822552169091621
5,2020-01-09,agg,112.79,112.79,112.46,112.49,9110852.0,3.0,0.04567458892296372,113.04351995329071,112.13348004670928,51.57368467121436,15.048991453417948,6.580421335604952,112.64633333333333,112.5965,12.539999961853027,7.087543685208226
5,2020-01-09,bil,91.48,91.48,91.47,91.48,984306.0,3.0,-0.008216850513079521,91.52897749442293,91.39102250557708,49.44359757708932,16.25239005736145,6.56193801269507,91.47000000000001,91.49700000000001,12.539999961853027,7.087543685208226
5,2020-01-09,gld,146.03,146.41,145.44,146.07,10304334.0,3.0,2.0877964940974323,148.58016508377554,135.60883491622442,62.74336549569048,125.37687936591576,42.18888965988706,140.74966666666666,140.1771666666667,12.539999961853027,7.087543685208226
5,2020-01-09,spy,326.65,326.73,325.52,326.16,48569601.0,3.0,3.132832031256214,326.9803655365531,315.5296344634469,67.11255332459189,129.53454522503125,36.470813234852585,318.53066666666666,312.1191666666666,12.539999961853027,7.087543685208226
5,2020-01-09,vb,166.08,166.5098,165.755,166.46,590529.0,3.0,1.0040801417970044,167.44960482911867,163.17939517088135,60.34378737361263,84.64702381520678,22.066159799489277,164.36533333333333,161.30033333333333,12.539999961853027,7.087543685208226
