date,agg,bil,gld,spy,vb,vnq,vo,vwo
2024-07-09,0,0,0,0,100,0,0,46
2024-07-10,100,0,0,87,-18,2,0,44
2024-07-11,96,100,0,-87,15,8,0,-90
2024-07-12,-69,-11,0,0,26,-10,0,0
2024-07-15,15,-89,0,0,-100,0,100,100
2024-07-16,-72,31,0,100,-23,0,-100,56
2024-07-17,70,-31,0,-25,55,0,0,100
2024-07-18,100,0,100,-7,-55,0,82,-93
2024-07-19,21,34,-62,-1,100,100,79,15
2024-07-22,-8,1,-38,100,-17,100,79,-37
2024-07-23,27,100,16,6,65,47,6,7
2024-07-24,81,-100,86,-35,-100,-63,-100,-96
2024-07-25,100,-35,5,-100,14,50,56,100
2024-07-26,-44,84,66,-38,76,58,-100,98
2024-07-29,100,-84,46,100,-100,-32,37,19
2024-07-30,5,100,69,100,-9,-100,-50,-32
2024-07-31,-34,-82,-32,100,100,72,44,100
2024-08-01,-16,66,100,62,-59,-100,100,21
2024-08-02,-75,12,100,69,-36,100,100,85
2024-08-05,57,-93,62,-100,-34,100,-100,13
2024-08-06,-100,100,-100,-100,24,-52,-48,-100
2024-08-07,100,-100,69,-100,17,-16,-100,-60
2024-08-08,-100,-3,-45,-88,100,-100,7,-100
2024-08-09,-72,0,100,-43,8,99,100,-47
2024-08-12,-64,0,-11,0,100,-100,11,-100
2024-08-13,-10,0,51,83,13,-61,100,-4
2024-08-14,53,0,-26,-83,100,25,100,69
2024-08-15,-100,15,100,0,100,35,-100,-47
2024-08-16,42,-15,100,89,10,100,21,17
2024-08-19,-26,0,-17,-65,100,-42,-19,16
2024-08-20,-96,5,-100,-24,18,100,-100,100
2024-08-21,0,-5,24,0,-30,12,-88,50
2024-08-22,-81,0,-32,94,70,-100,100,-2
2024-08-23,41,0,-61,44,71,-73,36,-6
2024-08-26,-41,0,-74,3,-100,1,-100,64
2024-08-27,76,0,-90,-100,100,-100,-67,-43
2024-08-28,72,0,-67,-41,10,17,100,70
2024-08-29,-100,0,-48,46,18,-25,79,-100
2024-08-30,-18,100,100,-46,-49,70,-17,-33
2024-09-03,-30,-3,-12,100,-64,28,-80,-10
2024-09-04,71,8,17,40,-87,-100,96,15
2024-09-05,34,-95,86,-98,-100,1,-100,100
2024-09-06,27,24,-12,-42,-18,-30,20,8
2024-09-09,-19,100,71,100,-100,32,17,80
2024-09-10,27,-2,-6,78,22,-53,-100,-65
2024-09-11,-31,99,100,-100,-62,38,28,2
2024-09-12,100,-100,-100,100,-18,17,-91,-33
2024-09-13,51,-100,12,50,-72,-13,96,-100
2024-09-16,-99,27,-64,-100,100,29,-75,-22
2024-09-17,-19,100,-58,45,-64,100,53,57
2024-09-18,-100,95,16,12,100,-100,7,-100
2024-09-19,-42,22,-25,100,-94,100,100,-39
2024-09-20,0,-78,-72,-20,-20,-52,100,58
2024-09-23,83,-7,86,-97,94,-52,21,16
2024-09-24,-83,-100,41,-100,23,74,49,-100
2024-09-25,53,61,-100,89,57,76,-100,-67
2024-09-26,100,-85,100,-100,94,-46,5,0
2024-09-27,-63,100,-3,-57,100,-9,-100,0
2024-09-30,-74,-80,27,0,-22,-100,100,100
2024-10-01,59,-39,-100,0,31,-44,-38,-100
2024-10-02,-64,59,55,0,100,24,-100,0
2024-10-03,-11,36,-100,92,23,100,-8,23
2024-10-04,2,-62,-100,23,28,-33,-100,100
