account_value,date,daily_return
1000000.0,2024-01-05,
1000525.3792100002,2024-01-08,0.0005253792100001764
1000111.7831400003,2024-01-09,-0.0004133788893255774
1000891.6847600003,2024-01-10,0.0007798144498922799
1000501.8209100004,2024-01-11,-0.0003895165240517251
1000638.9660600005,2024-01-12,0.00013707636221527153
998449.7175800006,2024-01-16,-0.002187850517774592
995756.4726400007,2024-01-17,-0.002697426713212603
999756.5634000008,2024-01-18,0.004017137593286035
1005916.5826100006,2024-01-19,0.006161519149272321
1008091.5250100004,2024-01-22,0.0021621498617276913
1008981.2630500006,2024-01-23,0.000882596488440246
1007361.8624700006,2024-01-24,-0.0016049857805137124
1011387.4243700006,2024-01-25,0.003996142845957618
1010667.3906800007,2024-01-26,-0.0007119266787882772
1016766.5800000007,2024-01-29,0.006034813605588107
1016101.0301700007,2024-01-30,-0.0006545748484375613
1003924.1984900009,2024-01-31,-0.011983878884526455
1013564.8604000007,2024-02-01,0.009602977918552247
1018373.3487500008,2024-02-02,0.004744134823401858
1013849.0716900007,2024-02-05,-0.0044426506895073326
1017294.4327500007,2024-02-06,0.0033982977902784484
1023299.7581600008,2024-02-07,0.0059032323550283206
1024202.5312600007,2024-02-08,0.0008822176422900174
1028084.8298100005,2024-02-09,0.003790557464472988
1027680.8701100007,2024-02-12,-0.00039292448277294945
1014084.0716700007,2024-02-13,-0.013230564891749563
1021332.6782300008,2024-02-14,0.007147934537679035
1028181.6580700006,2024-02-15,0.006705924510189254
1024681.8977200007,2024-02-16,-0.003403834645882786
1020890.8012000007,2024-02-20,-0.00369977895426421
1021431.9902200007,2024-02-21,0.0005301145032983179
1036815.8035600007,2024-02-22,0.015061025586917909
1038302.1026900007,2024-02-23,0.0014335228349111606
1035165.2422100008,2024-02-26,-0.0030211443007511773
1036515.9259200009,2024-02-27,0.001304800098500758
1035799.4512800006,2024-02-28,-0.0006912336048906509
1039646.8853800008,2024-02-29,0.0037144585230719507
1050045.9212200006,2024-03-01,0.010002469094301025
1052371.1244600005,2024-03-04,0.002214382431292572
1045889.1647800008,2024-03-05,-0.006159385723668365
1051690.0246200007,2024-03-06,0.005546342801266313
1060285.5250100007,2024-03-07,0.008173035960006958
1058019.6537600008,2024-03-08,-0.0021370387471605357
1057979.0984500006,2024-03-11,-3.833133898423213e-05
1062518.2388800008,2024-03-12,0.004290387623583802
1063054.284180001,2024-03-13,0.0005045045632017242
1060014.191530001,2024-03-14,-0.0028597717870494366
1052517.7625800008,2024-03-15,-0.007072008101306593
1056846.734870001,2024-03-18,0.004112968392465666
1060468.719890001,2024-03-19,0.0034271620477168696
1069910.5778300008,2024-03-20,0.00890347613551401
1072061.229480001,2024-03-21,0.002010122803311365
1068110.2603200008,2024-03-22,-0.0036853950607993458
1067147.0587100007,2024-03-25,-0.0009017810667893977
1066675.1152400007,2024-03-26,-0.0004422478290578846
1075493.2917600009,2024-03-27,0.008266975008614619
1078607.8614100008,2024-03-28,0.002895945213105877
1078988.3034600008,2024-04-01,0.00035271581416318476
1077422.7845300008,2024-04-02,-0.0014509137170253261
1080692.627050001,2024-04-03,0.0030348741152959047
1070288.767240001,2024-04-04,-0.00962702950828842
1081383.4249000007,2024-04-05,0.010366041389568315
1083430.4381900008,2024-04-08,0.0018929578934405722
