account_rewards,date
28.5,2025-01-07
-1976.597000000067,2025-01-08
175.35699999995995,2025-01-10
264.2760000000708,2025-01-13
5642.19299999997,2025-01-14
-626.9490000000224,2025-01-15
4089.143999999971,2025-01-16
4562.550000000047,2025-01-17
2773.971000000136,2025-01-21
3079.6549999999115,2025-01-22
-1852.6600000000326,2025-01-23
-9742.497999999905,2025-01-24
6586.307999999961,2025-01-27
-3948.2040000001434,2025-01-28
4846.99401000014,2025-01-29
-4946.7799999999115,2025-01-30
-6191.600000000093,2025-01-31
6063.390000000014,2025-02-03
4266.160000000033,2025-02-04
2902.4000000000233,2025-02-05
-8477.5,2025-02-06
5954.069999999949,2025-02-07
357.4399999999441,2025-02-10
-3542.0999999998603,2025-02-11
10045.029999999912,2025-02-12
462.3300000000745,2025-02-13
2045.7600000000093,2025-02-14
2283.259999999893,2025-02-18
-3484.1999999999534,2025-02-19
-14537.459999999963,2025-02-20
-3716.920000000042,2025-02-21
-3446.4799999999814,2025-02-24
659.5,2025-02-25
-13961.76000000001,2025-02-26
13847.569999999949,2025-02-27
-15210.53999999992,2025-02-28
-10363.840000000084,2025-03-03
8506.099999999977,2025-03-04
-15137.649999999907,2025-03-05
4482.689999999944,2025-03-06
-21567.30999999994,2025-03-07
-7244.090000000084,2025-03-10
3867.100000000093,2025-03-11
-10373.550000000047,2025-03-12
16223.109999999986,2025-03-13
6471.3099999999395,2025-03-14
-8741.869999999879,2025-03-17
9260.839999999967,2025-03-18
-2292.0599999999395,2025-03-19
-2356.590000000084,2025-03-20
14101.0,2025-03-21
2126.070000000065,2025-03-24
-10291.830000000075,2025-03-25
-2258.2399999999907,2025-03-26
-15746.729999999981,2025-03-27
5671.719999999972,2025-03-28
2345.6200000001118,2025-03-31
4989.399999999907,2025-04-01
-39580.57999999996,2025-04-02
-45401.130000000005,2025-04-03
-871.8920200000284,2025-04-04
-901.2579999999143,2025-04-07
10412.582999999984,2025-04-08
