account_value,date,daily_return
1000000.0,2025-01-07,
1000042.754,2025-01-08,4.2753999999867176e-05
997629.3879999999,2025-01-10,-0.002413262823361295
998111.1899999998,2025-01-13,0.0004829468796683223
998682.8059999999,2025-01-14,0.0005726977171751635
1004566.2599999999,2025-01-15,0.005891213871564327
1005022.522,2025-01-16,0.00045418805923280736
1009060.6950000001,2025-01-17,0.004017992544051774
1014958.28,2025-01-21,0.005844628602841295
1016292.118,2025-01-22,0.0013141801257092744
1020022.799,2025-01-23,0.003670874676605429
1018502.099,2025-01-24,-0.0014908490295421073
1010202.53,2025-01-27,-0.008148799112096872
1015303.3844999999,2025-01-28,0.005049338472751463
1010175.2444999999,2025-01-29,-0.005050844977263047
1015992.5045,2025-01-30,0.005758664183935114
1011337.9045000001,2025-01-31,-0.004581333011202338
1005589.4845,2025-02-03,-0.005683975627158944
1011070.1045,2025-02-04,0.0054501564350835086
1016494.7845000001,2025-02-05,0.005365285726337099
1019382.3845,2025-02-06,0.002840742563593457
1011459.6444999999,2025-02-07,-0.007772098204233857
1016706.9645,2025-02-10,0.005187868867070788
1017555.4844999999,2025-02-11,0.0008345767557687012
1013320.9445000001,2025-02-12,-0.0041614831471136204
1023419.5645000001,2025-02-13,0.009965865261950979
1023268.3045000002,2025-02-14,-0.00014779862067004768
1025640.8445,2025-02-18,0.0023185903340954273
1027758.0045,2025-02-19,0.0020642313645691246
1025221.1045,2025-02-20,-0.002468382624014942
1011076.1845000001,2025-02-21,-0.013796945788487669
1008227.1645000001,2025-02-24,-0.0028178094229456274
1006599.3045,2025-02-25,-0.00161457661261033
1006671.9445,2025-02-26,7.216376931240553e-05
994730.2444999999,2025-02-27,-0.011862553700084821
1008064.7045,2025-02-28,0.013405101607926406
995099.4445,2025-03-03,-0.012861535516642042
984467.5445000001,2025-03-04,-0.010684258803241531
993408.1845,2025-03-05,0.009081701118487162
976790.2845000001,2025-03-06,-0.016728169003725313
981501.7045,2025-03-07,0.004823369022769919
961121.9845000001,2025-03-10,-0.020763815189074775
953298.1845,2025-03-11,-0.008140277848363131
956390.5245,2025-03-12,0.003243832884903597
944827.2245,2025-03-13,-0.012090563115987885
961580.5244999999,2025-03-14,0.017731601678672826
969337.6445,2025-03-17,0.008067051902942435
960926.3445,2025-03-18,-0.008677368559578347
969300.4045,2025-03-19,0.008714570110321285
967179.0445000001,2025-03-20,-0.002188547523710338
963773.6645000001,2025-03-21,-0.0035209406359300033
978152.1445000002,2025-03-24,0.014918938470330101
977505.7045000001,2025-03-25,-0.0006608787841798636
968809.4445000001,2025-03-26,-0.00889637774998786
966502.3445000001,2025-03-27,-0.0023813764544694527
952300.8245,2025-03-28,-0.014693725349778641
958420.2845000001,2025-03-31,0.006425973644633931
960558.6445,2025-04-01,0.0022311297398254215
965720.7045,2025-04-02,0.0053740185771655735
926415.9845000001,2025-04-03,-0.04069988332739516
881026.5445,2025-04-04,-0.04899466412434317
880145.52346,2025-04-07,-0.0009999937521745217
879016.0664600001,2025-04-08,-0.0012832616537772346
890372.67046,2025-04-09,0.012919677390807571
