account_rewards,date
1410.954919999931,2023-07-07
6923.129409999936,2023-07-10
-7675.199999999837,2023-07-11
35081.61999999988,2023-07-12
-36682.88999999978,2023-07-13
-5856.620000000112,2023-07-14
-8811.03999999992,2023-07-17
1833.0400000000373,2023-07-18
-3608.6316200001165,2023-07-19
3190.5786399999633,2023-07-20
-23356.29999999993,2023-07-21
1625.4499999999534,2023-07-24
4111.890000000014,2023-07-25
-4722.4400000000605,2023-07-26
3433.730000000214,2023-07-27
-2620.2200000000885,2023-07-28
14836.429999999935,2023-07-31
-17400.25,2023-08-01
219.54000000003725,2023-08-02
-3293.021730000153,2023-08-03
3502.5682200000156,2023-08-04
18712.130000000005,2023-08-07
-6752.319999999949,2023-08-08
-4491.869999999995,2023-08-09
-777.4100000000326,2023-08-10
171.12963000009768,2023-08-11
-7897.45000000007,2023-08-14
-15242.880000000005,2023-08-15
-66609.71999999997,2023-08-16
-18441.390000000014,2023-08-17
2438.949999999837,2023-08-18
-2713.8315099998144,2023-08-21
12587.05999999994,2023-08-22
-8745.639999999898,2023-08-23
-3504.2445400001016,2023-08-24
1840.8800000000047,2023-08-25
52103.340000000084,2023-08-28
-13056.040000000037,2023-08-29
-44050.72000000009,2023-08-30
-4266.0258399999,2023-08-31
-653.4000000000233,2023-09-01
-1191.1999999999534,2023-09-05
16799.09999999986,2023-09-06
-11871.459999999963,2023-09-07
-24078.959999999963,2023-09-08
21978.18000000005,2023-09-11
12205.880000000121,2023-09-12
10063.959999999846,2023-09-13
1993.5400000000373,2023-09-14
5123.260000000126,2023-09-15
14390.759999999893,2023-09-18
-3062.20000000007,2023-09-19
-18502.97999999998,2023-09-20
395.6600000000326,2023-09-21
-8962.400000000023,2023-09-22
-3179.9400000000605,2023-09-25
4860.760000000126,2023-09-26
21622.519999999902,2023-09-27
-3922.579999999958,2023-09-28
18797.080000000075,2023-09-29
-2762.880000000121,2023-10-02
11652.160000000033,2023-10-03
-12022.899999999907,2023-10-04
