date,agg,bil,btcusd,gld,spy,vb,vnq,vo,vwo
2023-07-07,0,0,15,0,0,100,11,0,56
2023-07-10,69,0,-15,0,100,100,-11,32,2
2023-07-11,14,72,1,0,-12,100,5,0,-58
2023-07-12,56,100,-1,0,97,100,-5,7,13
2023-07-13,-39,14,0,9,-21,100,0,-14,71
2023-07-14,-50,100,0,57,45,100,0,-7,25
2023-07-17,-16,86,0,-14,100,100,30,-18,-30
2023-07-18,-28,100,0,-52,100,100,-22,65,-18
2023-07-19,-6,41,0,6,-69,100,-8,-65,10
2023-07-20,0,77,18,-6,100,100,1,2,100
2023-07-21,0,98,-18,0,-100,77,50,-2,-100
2023-07-24,100,29,17,100,-24,100,-22,0,-71
2023-07-25,-64,64,-17,94,-100,28,100,0,0
2023-07-26,-36,-87,0,29,100,100,15,83,55
2023-07-27,0,-49,0,-71,100,100,-72,16,57
2023-07-28,0,34,14,-100,-27,100,-72,-99,100
2023-07-31,0,-17,1,91,-66,-67,100,0,100
2023-08-01,100,100,1,25,-100,1,14,0,-80
2023-08-02,19,100,1,-5,-100,-100,-29,100,-13
2023-08-03,-100,100,-1,73,27,-100,-2,-24,100
2023-08-04,-4,100,-16,-35,100,-8,-31,100,52
2023-08-07,45,75,0,66,38,100,-52,-100,-100
2023-08-08,38,-19,0,-100,100,100,0,76,100
2023-08-09,6,-100,10,-79,63,100,0,-49,100
2023-08-10,3,-9,2,0,11,-93,0,-100,-5
2023-08-11,-83,93,1,-88,-62,-43,100,-3,-100
2023-08-14,-24,-100,-13,100,-26,-94,100,0,-100
2023-08-15,88,-20,0,86,24,100,-44,0,-55
2023-08-16,-88,100,12,-25,-73,100,0,100,-90
2023-08-17,0,-12,1,79,-100,-47,55,100,-91
2023-08-18,0,56,-13,100,-28,-11,-48,-56,68
2023-08-21,0,-78,0,-75,97,100,-55,69,43
2023-08-22,100,100,0,35,100,100,-100,0,13
2023-08-23,-100,31,0,-60,54,100,-8,-93,90
2023-08-24,0,76,0,34,41,100,0,2,100
2023-08-25,0,100,0,-100,100,100,0,-49,45
2023-08-28,0,79,0,-47,-1,100,0,100,-100
2023-08-29,0,47,0,57,43,100,0,9,51
2023-08-30,66,-100,0,-87,-53,-100,32,65,-100
2023-08-31,-35,100,0,-36,-25,100,100,-63,100
2023-09-01,-31,-100,0,100,-100,100,-100,-52,-100
2023-09-05,0,-100,0,55,84,100,-32,10,-100
2023-09-06,0,100,0,-21,92,84,69,-100,-58
2023-09-07,31,58,2,83,-100,-100,-28,-22,-82
2023-09-08,67,-100,-2,-98,-68,66,-41,-10,0
2023-09-11,0,90,4,-100,-79,100,14,100,100
2023-09-12,-98,-34,1,99,-40,-100,100,-100,-100
2023-09-13,100,-89,2,39,-100,-40,-3,13,0
2023-09-14,-100,100,-7,65,100,-76,-100,-23,0
2023-09-15,0,-23,0,-13,64,100,-11,0,4
2023-09-18,26,100,0,-2,-31,100,0,10,100
2023-09-19,100,32,0,-41,57,100,0,-10,-99
2023-09-20,40,24,3,-83,-100,100,0,0,-5
2023-09-21,48,22,-3,100,-20,24,57,0,0
2023-09-22,100,60,0,100,-49,23,-57,0,100
2023-09-25,100,86,0,100,-7,-14,0,0,-14
2023-09-26,-100,-39,0,0,84,1,0,0,-1
2023-09-27,-50,-4,1,76,-88,-100,0,100,-72
2023-09-28,-100,100,1,88,-100,82,0,-100,100
2023-09-29,2,-51,3,-100,-100,-36,0,0,-100
2023-10-02,-100,97,1,-100,10,-76,3,0,-13
2023-10-03,-66,-90,-6,-29,-62,36,96,0,0
2023-10-04,79,-95,0,30,100,100,-99,78,0
