date,agg,bil,btcusd,gld,spy,vb,vnq,vo,vwo
2023-04-05,79,85,16,0,81,0,71,44,0
2023-04-06,-75,-44,-16,0,87,0,87,-44,0
2023-04-10,-4,0,30,0,51,0,0,0,1
2023-04-11,0,94,-30,0,17,87,94,97,31
2023-04-12,0,89,28,0,-8,10,2,0,-22
2023-04-13,0,96,-28,0,-65,78,33,45,82
2023-04-14,27,-70,0,0,22,-27,91,20,95
2023-04-17,-27,12,0,90,64,55,95,38,77
2023-04-18,0,82,23,-81,94,87,0,17,0
2023-04-19,0,97,-23,-9,-62,85,31,51,44
2023-04-20,0,41,0,3,71,51,10,53,92
2023-04-21,34,77,0,-3,-19,-77,-70,84,-60
2023-04-24,-11,82,19,22,93,-48,85,86,90
2023-04-25,-23,91,-19,-22,57,73,74,71,83
2023-04-26,41,4,0,0,-54,42,82,-50,89
2023-04-27,0,-73,16,0,41,0,81,-14,-15
2023-04-28,16,46,-16,0,42,78,90,30,71
2023-05-01,-25,78,0,0,72,83,78,-44,70
2023-05-02,-32,-58,0,0,34,1,64,-56,47
2023-05-03,0,-36,12,0,7,-50,4,96,92
2023-05-04,0,95,-12,0,66,75,42,76,19
2023-05-05,0,85,8,34,9,91,93,-58,44
2023-05-08,0,0,0,-34,19,0,84,0,1
2023-05-09,0,-34,-8,0,-5,91,80,5,99
2023-05-10,64,85,4,70,65,24,89,-1,76
2023-05-11,-56,71,-4,-70,64,72,82,-19,79
2023-05-12,-8,60,0,0,73,-14,-15,64,-10
2023-05-15,0,98,0,0,25,67,98,-18,-47
2023-05-16,0,0,0,0,0,0,0,71,1
2023-05-17,0,0,0,0,0,55,0,-50,1
2023-05-18,0,86,0,0,-19,0,1,0,0
2023-05-19,0,91,0,0,0,60,1,-81,-72
2023-05-22,0,1,0,0,0,4,0,0,-22
2023-05-23,0,0,0,0,0,84,37,-74,-87
2023-05-24,0,1,0,0,0,14,99,-67,80
2023-05-25,0,0,0,0,-82,81,2,93,0
2023-05-26,0,93,0,0,-73,79,54,-36,-20
2023-05-30,0,-10,0,0,-51,15,83,70,83
2023-05-31,0,53,0,0,-38,49,92,-48,97
2023-06-01,0,-19,0,0,0,18,72,-92,-52
2023-06-02,0,0,0,0,54,1,91,-48,1
2023-06-05,0,0,0,0,0,64,92,-90,-20
2023-06-06,0,0,0,0,44,0,4,-91,0
2023-06-07,0,0,0,0,-18,7,92,0,-36
2023-06-08,0,0,0,0,-7,0,85,-19,1
2023-06-09,0,0,0,0,37,0,4,-77,1
2023-06-12,0,-68,0,0,-24,65,-46,-34,28
2023-06-13,0,93,0,0,-40,0,44,74,74
2023-06-14,0,-93,0,0,0,93,42,-74,65
2023-06-15,0,0,0,0,1,0,0,0,-11
2023-06-16,0,0,0,0,-40,49,93,0,2
2023-06-20,0,98,0,0,-87,75,59,12,31
2023-06-21,0,13,0,0,0,0,98,-12,-28
2023-06-22,0,0,0,0,-13,0,93,0,-48
2023-06-23,0,0,0,0,1,0,2,0,-14
2023-06-26,0,15,0,0,0,0,0,0,-34
2023-06-27,0,0,0,0,-3,0,16,0,0
2023-06-28,0,0,0,0,0,0,0,0,0
2023-06-29,0,0,0,0,0,0,0,0,0
2023-06-30,0,0,0,0,0,0,0,0,0
2023-07-03,0,0,0,0,0,0,0,0,0
2023-07-05,0,0,0,0,0,0,0,0,0
2023-07-06,0,0,0,0,0,1,0,0,-5
