account_value,date,daily_return
1000000.0,2024-04-08,
969226.27664,2024-04-09,-0.03077372335999995
985865.24415,2024-04-10,0.01716726827473347
979313.7041500001,2024-04-11,-0.006645472126009078
943145.0141500002,2024-04-12,-0.036932690563533654
897964.9641500001,2024-04-15,-0.047903609012573845
902005.5241500001,2024-04-16,0.004499685579408608
871042.2341500001,2024-04-17,-0.03432716227450827
897760.2741500001,2024-04-18,0.0306736446896545
901393.6841500001,2024-04-19,0.004047194005593724
937804.1841500001,2024-04-22,0.04039356015050677
933407.0641500001,2024-04-23,-0.004688740010245773
907532.10415,2024-04-24,-0.027720981545777068
910253.0541500001,2024-04-25,0.0029981859457726134
902025.32415,2024-04-26,-0.009038947974399525
903700.70415,2024-04-29,0.001857353618734292
863026.81415,2024-04-30,-0.04500814242283557
834666.38415,2024-05-01,-0.03286158614658141
845172.07415,2024-05-02,0.012586693557448791
892207.4341500001,2024-05-03,0.055651815102035984
896438.2741500001,2024-05-06,0.004741991422690495
886324.4541500001,2024-05-07,-0.011282226887947
872419.2041500001,2024-05-08,-0.015688667885549124
896273.30415,2024-05-09,0.02734247468020956
869126.13415,2024-05-10,-0.03028894185992248
894534.6141500002,2024-05-13,0.029234513842860688
878462.34415,2024-05-14,-0.017967186228195597
936442.6141500002,2024-05-15,0.06600199813470864
924187.2441500002,2024-05-16,-0.013087155384448268
946217.72415,2024-05-17,0.023837680231414415
999022.3641500002,2024-05-20,0.05580601446399158
983624.38415,2024-05-21,-0.015413048348623448
970526.49415,2024-05-22,-0.013315946829966618
954986.78415,2024-05-23,-0.01601162883617102
963050.3541500001,2024-05-24,0.008443645643931408
960159.3241500001,2024-05-28,-0.0030019510273184835
949916.40415,2024-05-29,-0.01066793785403053
959100.7941500001,2024-05-30,0.009668629744549406
949493.6741500001,2024-05-31,-0.010016799129557885
965216.0541500001,2024-06-03,0.01655869904986451
986008.7441500002,2024-06-04,0.021542005969130695
994191.0141500002,2024-06-05,0.00829837468333361
990059.31415,2024-06-06,-0.004155841222858614
971508.88415,2024-06-07,-0.018736685504470163
974150.38415,2024-06-10,0.0027189663863045332
948058.6441500001,2024-06-11,-0.026784098661282618
960121.8241500001,2024-06-12,0.012724086294066295
941858.9441500001,2024-06-13,-0.019021419512225135
933025.62415,2024-06-14,-0.00937860181173078
939323.34415,2024-06-17,0.006749782467911691
923809.1241500002,2024-06-18,-0.016516378621505234
920161.53415,2024-06-20,-0.0039484238731203325
910879.7641500001,2024-06-21,-0.01008710933409529
864741.5141500001,2024-06-24,-0.050652404209522106
882954.8441500001,2024-06-25,0.021062166788537784
870799.88415,2024-06-26,-0.013766230606845342
880727.49415,2024-06-27,0.011400564217679543
864814.45415,2024-06-28,-0.018068063170161297
894710.55415,2024-07-01,0.03456938058393577
885840.7341500001,2024-07-02,-0.009913619503937099
863683.23415,2024-07-03,-0.02501296129858055
822301.2841500001,2024-07-05,-0.04791334179449058
822906.0541500001,2024-07-08,0.0007354603618614508
839054.6141500002,2024-07-09,0.01962381965542881
