date,agg,bil,btcusd,gld,spy,vb,vnq,vo,vwo
2024-10-07,0,0,0,62,48,52,68,0,0
2024-10-08,79,0,0,79,-48,-50,94,0,25
2024-10-09,-38,0,0,63,0,14,-33,83,-25
2024-10-10,-41,0,0,94,11,-16,5,-26,0
2024-10-11,47,0,13,-3,51,57,82,-27,14
2024-10-14,-31,0,-13,59,38,28,57,87,35
2024-10-15,-16,0,0,60,-37,83,87,3,57
2024-10-16,47,0,0,76,25,46,85,-85,-68
2024-10-17,-31,0,0,86,-37,-72,65,-35,22
2024-10-18,-16,0,0,71,-11,67,59,0,-48
2024-10-21,0,0,0,-82,-40,71,83,0,-12
2024-10-22,0,21,10,56,0,-26,47,0,85
2024-10-23,21,-21,-10,50,46,-80,46,14,7
2024-10-24,-18,0,0,92,-46,-8,-82,-9,-31
2024-10-25,-3,0,0,60,0,4,11,-5,-58
2024-10-28,0,0,0,81,0,-75,76,0,3
2024-10-29,0,0,0,93,0,-11,67,0,1
2024-10-30,69,0,9,86,0,39,-75,2,98
2024-10-31,77,0,-9,82,49,53,57,-2,-41
2024-11-01,34,0,0,-92,-49,-87,-21,2,-32
2024-11-04,-69,0,0,-47,0,88,3,-2,93
2024-11-05,-68,0,0,79,0,71,62,0,66
2024-11-06,-43,0,0,-1105,0,-248,-843,0,-191
2024-11-07,0,0,0,59,0,78,0,0,93
2024-11-08,99,0,0,95,0,-78,0,0,77
2024-11-11,41,0,10,26,0,47,52,0,64
2024-11-12,-21,0,-10,79,0,-19,-11,0,9
2024-11-13,-36,4,0,-20,0,-28,-37,0,40
2024-11-14,84,-4,0,87,0,0,-4,0,41
2024-11-15,-29,0,0,84,14,81,0,0,41
2024-11-18,55,0,0,48,-14,-67,81,0,99
2024-11-19,95,0,0,39,0,74,-30,0,32
2024-11-20,84,0,0,98,0,-87,29,0,58
2024-11-21,93,0,0,63,0,1,90,78,-61
2024-11-22,-38,0,0,71,37,-2,58,-37,66
2024-11-25,66,0,0,75,-37,0,-39,-41,-34
2024-11-26,-87,0,7,-42,17,96,82,0,-76
2024-11-27,58,0,-4,42,-17,-36,0,0,18
2024-11-29,-90,0,-3,46,0,41,92,28,92
2024-12-02,-96,0,0,31,67,-95,1,-28,-46
2024-12-03,-16,0,0,-15,28,49,66,0,94
2024-12-04,59,0,0,81,11,48,34,26,87
2024-12-05,-93,0,0,-11,-90,-98,-69,74,42
2024-12-06,-96,0,0,-19,-16,-5,64,-17,95
2024-12-09,-97,0,0,-25,38,26,55,0,-50
2024-12-10,-35,0,0,31,-27,59,7,-61,-88
2024-12-11,0,0,6,-42,35,-15,47,10,-34
2024-12-12,68,0,-6,85,-46,-9,-13,-32,-52
2024-12-13,-45,10,6,96,9,-55,45,0,24
2024-12-16,-23,-10,-6,85,-9,76,51,0,34
2024-12-17,89,0,0,86,13,65,-39,0,-58
2024-12-18,-8,0,0,76,-13,63,83,0,-58
2024-12-19,-73,0,0,44,50,80,53,0,-25
2024-12-20,36,0,0,34,-50,65,88,0,-93
2024-12-23,61,0,0,77,0,-63,34,0,97
2024-12-24,-41,0,0,94,0,-90,86,0,-40
2024-12-26,-11,0,0,72,32,70,32,0,-38
2024-12-27,-53,0,0,-3,-32,66,37,0,-66
2024-12-30,0,0,4,93,0,72,-16,0,79
2024-12-31,0,0,-4,22,0,-77,88,0,-90
2025-01-02,31,0,0,42,3,94,-22,0,77
2025-01-03,-31,0,0,46,77,-74,-59,0,14
2025-01-06,0,0,0,-68,-44,-36,13,86,-79
