date,daily_return
2023-04-05,0.0
2023-04-06,-0.0008862500582593746
2023-04-10,-0.002882669356834122
2023-04-11,0.0020693828711670914
2023-04-12,0.00031740260211199356
2023-04-13,0.006861426893370215
2023-04-14,-0.0064367302731785925
2023-04-17,-0.000865753073576947
2023-04-18,0.0014068116526955166
2023-04-19,-0.0015645096043238604
2023-04-20,0.0006222226493561855
2023-04-21,-0.0027594494890658128
2023-04-24,0.0018436909022523373
2023-04-25,-0.0019286190204694798
2023-04-26,-0.003329406564706372
2023-04-27,0.004676519837688353
2023-04-28,0.0036252374389809106
2023-05-01,-0.005218824017234613
2023-05-02,0.003466490342310724
2023-05-03,0.0013797658845438043
2023-05-04,-0.00014781993655166303
2023-05-05,0.00041854145128139564
2023-05-08,-0.000895738386124556
2023-05-09,0.0003808700211123117
2023-05-10,0.002346727761576961
2023-05-11,-0.002006617230751684
2023-05-12,-0.0020482395902474693
2023-05-15,0.001175239581657328
2023-05-16,-0.0059024196965627995
2023-05-17,0.0022626459053163295
2023-05-18,-0.0016544920784695716
2023-05-19,0.001427098620097711
2023-05-22,-0.00038519345299048435
2023-05-23,-0.0026709386207470764
2023-05-24,-0.004805157100986834
2023-05-25,-0.0009548677619851675
2023-05-26,0.004861907467212712
2023-05-30,0.0029689201631006856
2023-05-31,-0.00037350509458677905
2023-06-01,0.0038256947842192357
2023-06-02,-0.0002470446368777468
2023-06-05,0.0007475796443989768
2023-06-06,0.0015935628120773426
2023-06-07,-0.0045347585834595305
2023-06-08,0.005947670175135533
2023-06-09,-0.0007876849050053591
2023-06-12,0.0026292208365132907
2023-06-13,-0.0006836407823613833
2023-06-14,0.0007281100746605595
2023-06-15,0.006822585926774316
2023-06-16,-0.00296188104317352
2023-06-20,-0.0038722501421478706
2023-06-21,-0.001413938999869524
2023-06-22,-0.002764086284483991
2023-06-23,-0.0011989283397773054
2023-06-26,5.079415187347891e-05
2023-06-27,0.0018543784700182364
2023-06-28,0.00025999934356768506
2023-06-29,-0.0006982298979916202
2023-06-30,0.005487214909611904
2023-07-03,-0.0009276483058322516
2023-07-05,-0.0023432737283587413
2023-07-06,-0.004535704520860606
2023-07-07,0.0014415787187758156
2023-07-10,0.0018026557822914402
2023-07-11,0.003516863829811756
2023-07-12,0.00747488146687636
2023-07-13,0.003982748440415129
2023-07-14,-0.0021894464876939246
2023-07-17,0.001415229264801754
2023-07-18,0.004870954811550865
2023-07-19,0.0014946237261310724
2023-07-20,-0.00413698918735439
2023-07-21,-0.0005505556543176082
2023-07-24,5.68844509940547e-06
2023-07-25,0.0018711642202906553
2023-07-26,0.002104292535968
2023-07-27,-0.007768531319073402
2023-07-28,0.00574110932342653
2023-07-31,0.0016433062045471125
2023-08-01,-0.006420435785602474
2023-08-02,-0.005823348338632406
2023-08-03,-0.002284306434062744
2023-08-04,0.0013192980320058112
2023-08-07,0.002001151378494992
2023-08-08,-0.0024152756915795104
2023-08-09,-0.0027758610851809085
2023-08-10,-0.001483473964057458
2023-08-11,-0.0009202530612832938
2023-08-14,0.0004921266154491732
2023-08-15,-0.004720507561244314
2023-08-16,-0.004109204545732825
2023-08-17,-0.0027420847618195854
2023-08-18,0.0007097212329918445
2023-08-21,0.001201549752668063
2023-08-22,-0.00011155384279859515
2023-08-23,0.00788305025299052
2023-08-24,-0.004368090458852114
2023-08-25,0.001523589426779326
2023-08-28,0.003191864802411626
2023-08-29,0.007949744399221581
2023-08-30,0.0017306148832259005
2023-08-31,-0.0005395678545764282
2023-09-01,-0.0018322071396242867
2023-09-05,-0.004670447882036299
2023-09-06,-0.003145856147578563
2023-09-07,7.933457763842355e-05
2023-09-08,0.0005535686510302895
2023-09-11,0.00206189704387727
2023-09-12,-0.002562415479780089
2023-09-13,-0.0001599864928822914
2023-09-14,0.002633302105876645
2023-09-15,-0.0032227249607670316
2023-09-18,0.0016460806979023968
2023-09-19,-0.0015139604480581825
2023-09-20,-0.0024300522891566034
2023-09-21,-0.008257373793120082
2023-09-22,0.0011149164070560769
2023-09-25,-0.0017844007453299282
2023-09-26,-0.006498834663458575
2023-09-27,-0.003454838575377983
2023-09-28,0.0012089572920619407
2023-09-29,-0.003236340867881493
2023-10-02,-0.006151711650499991
2023-10-03,-0.00636686123698893
2023-10-04,0.003550421539804116
2023-10-05,-0.00015732528757606
2023-10-06,0.0037928591294560388
2023-10-09,0.0083425104116297
2023-10-10,0.0011472460560177922
2023-10-11,0.0040429517245528235
2023-10-12,-0.004590087797519127
2023-10-13,0.007056238562113126
2023-10-16,0.0008541664040200292
2023-10-17,-0.0009211818575013409
2023-10-18,-0.0016713665204888262
2023-10-19,-0.00047095694150067757
2023-10-20,-0.002070118298319934
2023-10-23,-0.0006871496667001376
2023-10-24,0.0030004387438324898
2023-10-25,-0.004701997872329389
2023-10-26,-0.0009271746798145131
2023-10-27,0.0014580242161663648
2023-10-30,0.0012816941031010831
2023-10-31,0.000335546098279238
2023-11-01,0.002688789453395346
2023-11-02,0.007877980364118686
2023-11-03,0.005331924492239404
2023-11-06,-0.0026477859979221474
2023-11-07,0.0008050558113275041
2023-11-08,-0.0016063182771182127
2023-11-09,-0.003113245393693065
2023-11-10,0.0022335021795054644
2023-11-13,0.0010069170146327355
2023-11-14,0.011332076348494091
2023-11-15,-0.0011496543456174235
2023-11-16,0.00399584977232692
2023-11-17,0.0009607583093327321
2023-11-20,0.0022153538014282326
2023-11-21,0.002103658928929164
2023-11-22,0.00040455293606456166
2023-11-24,0.0006443897984875768
2023-11-27,0.0023122530229762184
2023-11-28,0.004569770816151841
