date,daily_return
2023-04-05,0.0
2023-04-06,0.0015371069293345294
2023-04-10,0.0022121886300111204
2023-04-11,0.005316121685755383
2023-04-12,-0.0036863815830667883
2023-04-13,0.0073850482827477314
2023-04-14,-0.00623170146122864
2023-04-17,0.0049756245616951085
2023-04-18,-0.00014421018148138892
2023-04-19,-0.0018557881502557516
2023-04-20,-0.002387864597018559
2023-04-21,-0.0025720477824082294
2023-04-24,0.00023660139094187086
2023-04-25,-0.011986615143240734
2023-04-26,-0.0037603231475410188
2023-04-27,0.010715779450831082
2023-04-28,0.006639392902628464
2023-05-01,-0.0033605134728889015
2023-05-02,-0.007963738873084507
2023-05-03,-0.0006723037000933229
2023-05-04,-0.001975810755191692
2023-05-05,0.010540363959683831
2023-05-08,-0.001259665359787467
2023-05-09,-0.002440224713424248
2023-05-10,0.0025001139662494598
2023-05-11,-0.003955214091067821
2023-05-12,-0.0031651456153095926
2023-05-15,0.0068560597192054516
2023-05-16,-0.010745667986893626
2023-05-17,0.007986908404592959
2023-05-18,0.0013893844179287693
2023-05-19,-0.001992794853296572
2023-05-22,0.004030340769830948
2023-05-23,-0.008005811300684479
2023-05-24,-0.008318458450620186
2023-05-25,-0.0015483829995687987
2023-05-26,0.009196470812404803
2023-05-30,-0.0012627304174300798
2023-05-31,-0.0045523030451648325
2023-06-01,0.007803743221669579
2023-06-02,0.01418891223476594
2023-06-05,-0.002699759182051995
2023-06-06,0.0079333976110962
2023-06-07,0.002938958405939233
2023-06-08,0.002060266897832761
2023-06-09,-0.001539408718619064
2023-06-12,0.003782968899851566
2023-06-13,0.005870441873163746
2023-06-14,0.0006111260258024646
2023-06-15,0.008478708449839438
2023-06-16,-0.003173239024506546
2023-06-20,-0.008939635579741468
2023-06-21,-0.0017551357420175432
2023-06-22,-0.004770713151221036
2023-06-23,-0.00930487965961432
2023-06-26,0.004430100648701139
2023-06-27,0.008924800306939375
2023-06-28,0.0001756196264567374
2023-06-29,0.0020421295717654255
2023-06-30,0.006548874912129914
2023-07-03,0.0032694013797224756
2023-07-05,-0.004401563337414512
2023-07-06,-0.009719184850788948
2023-07-07,0.005201407161785316
2023-07-10,0.005732985912553182
2023-07-11,0.008313166547414664
2023-07-12,0.008904010061886779
2023-07-13,0.0065056028272703695
2023-07-14,-0.005412310883035039
2023-07-17,0.0025647863803383284
2023-07-18,0.0026601849524494157
2023-07-19,0.0023202794838624767
2023-07-20,-0.0050596386316019894
2023-07-21,-0.00012064894763165563
2023-07-24,0.0031333542111560923
2023-07-25,0.0022046618398153172
2023-07-26,0.0034191071674442427
2023-07-27,-0.010593415144909916
2023-07-28,0.00965031840038362
2023-07-31,0.0035580916563013377
2023-08-01,-0.006534501723633167
2023-08-02,-0.010864041284849038
2023-08-03,-0.002100129472153028
2023-08-04,-0.0009848065843531175
2023-08-07,0.00330392896439177
2023-08-08,-0.005756813311313336
2023-08-09,-0.0022896130703868676
2023-08-10,-0.001523409755215352
2023-08-11,-0.003037982591896368
2023-08-14,-0.0009435340359320435
2023-08-15,-0.009140907159826937
2023-08-16,-0.0068418919021598495
2023-08-17,-0.005183026300431421
2023-08-18,0.0007886530839504907
2023-08-21,-0.00017689295204469888
2023-08-22,-0.0012107858055945666
2023-08-23,0.010590860228923273
2023-08-24,-0.006734133184104825
2023-08-25,0.002162433218007381
2023-08-28,0.006476355138053128
2023-08-29,0.01118965578967039
2023-08-30,0.001765999205412129
2023-08-31,-0.0034365318725707054
2023-09-01,0.0038373265375250746
2023-09-05,-0.009251855790790017
2023-09-06,-0.002730631031425585
2023-09-07,-0.003636895410023652
2023-09-08,-0.00035366855800295885
2023-09-11,0.003375603401539291
2023-09-12,-0.0016368699442641018
2023-09-13,-0.0033054388622158976
2023-09-14,0.007111249067547496
2023-09-15,-0.005377095305286297
2023-09-18,-0.0028629520861539583
2023-09-19,-0.002952287899408779
2023-09-20,-0.00332502624706662
2023-09-21,-0.016390414462740803
2023-09-22,0.0014329845241900436
2023-09-25,-0.0002852123746039209
2023-09-26,-0.010984326190325942
2023-09-27,0.0005564660618164218
2023-09-28,0.004197289824160002
2023-09-29,-0.0016691284574594165
2023-10-02,-0.009044279326983574
2023-10-03,-0.01209383687468273
2023-10-04,0.0037114288764970717
2023-10-05,0.0005473553153152221
2023-10-06,0.007628403295699783
2023-10-09,0.005298960805808581
2023-10-10,0.007235145013556382
2023-10-11,0.004032242660870767
2023-10-12,-0.010793671003188262
2023-10-13,-0.0008578483424164377
2023-10-16,0.007618099158763929
2023-10-17,0.001705938616422812
2023-10-18,-0.012673700598460111
2023-10-19,-0.00811976941871916
2023-10-20,-0.007921266316552825
2023-10-23,-0.003777470942976681
2023-10-24,0.006883307438086619
2023-10-25,-0.011251103905988824
2023-10-26,0.0009781331553611835
2023-10-27,-0.004754779639748025
2023-10-30,0.004562418058658311
2023-10-31,0.0038829242641939257
2023-11-01,0.004522001793965053
2023-11-02,0.01642696804051006
2023-11-03,0.014751524391512826
2023-11-06,-0.00491838370489467
2023-11-07,6.268033133423554e-05
2023-11-08,-0.002473178308987735
2023-11-09,-0.008099022940894256
2023-11-10,0.006991151710899547
2023-11-13,-0.0005272655707073198
2023-11-14,0.026232603876786918
2023-11-15,0.002321755106254439
2023-11-16,-0.0037537167267253507
2023-11-17,0.004029481004716877
2023-11-20,0.004986297711347774
2023-11-21,-0.0027940244007558673
2023-11-22,0.002001281457342451
2023-11-24,0.002500916290243782
2023-11-27,-0.0005432384873647587
2023-11-28,0.0024305118978479342
2023-11-29,0.002124982332782432
