agg,bil,gld,spy,vb,vnq,vo,vwo
0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
0.10958287119865417,0.10987816005945206,0.06997308880090714,0.06997308880090714,0.19020657241344452,0.06997308880090714,0.19020657241344452,0.19020657241344452
0.10958287119865417,0.10987816005945206,0.06997308880090714,0.06997308880090714,0.19020657241344452,0.06997308880090714,0.19020657241344452,0.19020657241344452
0.10874775052070618,0.11072481423616409,0.06997205317020416,0.06997205317020416,0.19020375609397888,0.06997205317020416,0.19020375609397888,0.19020375609397888
0.10958287119865417,0.10987816005945206,0.06997308880090714,0.06997308880090714,0.19020657241344452,0.06997308880090714,0.19020657241344452,0.19020657241344452
0.10958287119865417,0.10987816005945206,0.06997308880090714,0.06997308880090714,0.19020657241344452,0.06997308880090714,0.19020657241344452,0.19020657241344452
0.10958287119865417,0.10987816005945206,0.06997308880090714,0.06997308880090714,0.19020657241344452,0.06997308880090714,0.19020657241344452,0.19020657241344452
0.10958287119865417,0.10987816005945206,0.06997308880090714,0.06997308880090714,0.19020657241344452,0.06997308880090714,0.19020657241344452,0.19020657241344452
0.10958287119865417,0.10987816005945206,0.06997308880090714,0.06997308880090714,0.19020657241344452,0.06997308880090714,0.19020657241344452,0.19020657241344452
0.10958287119865417,0.10987816005945206,0.06997308880090714,0.06997308880090714,0.19020657241344452,0.06997308880090714,0.19020657241344452,0.19020657241344452
0.10658540576696396,0.1127438172698021,0.06998490542173386,0.06998490542173386,0.19023868441581726,0.06998490542173386,0.19023868441581726,0.19023868441581726
0.10958287119865417,0.10987816751003265,0.06997308880090714,0.06997308880090714,0.19020657241344452,0.06997308880090714,0.19020657241344452,0.19020657241344452
0.10567643493413925,0.11354614794254303,0.06999446451663971,0.06999446451663971,0.19026467204093933,0.06999446451663971,0.19026467204093933,0.19026467204093933
0.10567823052406311,0.11354460567235947,0.06999444216489792,0.06999444216489792,0.19026462733745575,0.06999444216489792,0.19026462733745575,0.19026462733745575
0.10567643493413925,0.11354614794254303,0.06999446451663971,0.06999446451663971,0.19026467204093933,0.06999446451663971,0.19026467204093933,0.19026467204093933
0.10567643493413925,0.11354614794254303,0.06999446451663971,0.06999446451663971,0.19026467204093933,0.06999446451663971,0.19026467204093933,0.19026467204093933
0.10567643493413925,0.11354614794254303,0.06999446451663971,0.06999446451663971,0.19026467204093933,0.06999446451663971,0.19026467204093933,0.19026467204093933
0.10567643493413925,0.11354614794254303,0.06999446451663971,0.06999446451663971,0.19026467204093933,0.06999446451663971,0.19026467204093933,0.19026467204093933
0.10567643493413925,0.11354614794254303,0.06999446451663971,0.06999446451663971,0.19026467204093933,0.06999446451663971,0.19026467204093933,0.19026467204093933
0.1056763306260109,0.11354616284370422,0.0699944719672203,0.0699944719672203,0.19026470184326172,0.0699944719672203,0.19026470184326172,0.19026470184326172
0.10593074560165405,0.1156492754817009,0.06978312879800797,0.06978312879800797,0.18969020247459412,0.06978312879800797,0.18969020247459412,0.18969020247459412
0.10309253633022308,0.11858628690242767,0.06977427005767822,0.06977427005767822,0.18966612219810486,0.06977427005767822,0.18966612219810486,0.18966612219810486
0.10567643493413925,0.11354614794254303,0.06999446451663971,0.06999446451663971,0.19026467204093933,0.06999446451663971,0.19026467204093933,0.19026467204093933
0.10567567497491837,0.1135462075471878,0.06999453157186508,0.06999453157186508,0.19026485085487366,0.06999453157186508,0.19026485085487366,0.19026485085487366
0.10334882885217667,0.11298395693302155,0.07025352120399475,0.07025352120399475,0.19096887111663818,0.07025352120399475,0.19096887111663818,0.19096887111663818
0.10567643493413925,0.11354614794254303,0.06999446451663971,0.06999446451663971,0.19026467204093933,0.06999446451663971,0.19026467204093933,0.19026467204093933
0.10567643493413925,0.11354614794254303,0.06999446451663971,0.06999446451663971,0.19026467204093933,0.06999446451663971,0.19026467204093933,0.19026467204093933
0.10336216539144516,0.11299199610948563,0.07025161385536194,0.07025161385536194,0.19096367061138153,0.07025161385536194,0.19096367061138153,0.19096367061138153
0.10334882885217667,0.11298395693302155,0.07025352120399475,0.07025352120399475,0.19096887111663818,0.07025352120399475,0.19096887111663818,0.19096887111663818
0.1037767082452774,0.10833503305912018,0.07063192874193192,0.07063192874193192,0.1919974833726883,0.07063192874193192,0.1919974833726883,0.1919974833726883
0.10334914177656174,0.11298250406980515,0.07025362551212311,0.07025362551212311,0.19096915423870087,0.07025362551212311,0.19096915423870087,0.19096915423870087
0.10420288145542145,0.11368470638990402,0.0701141431927681,0.0701141431927681,0.1905899941921234,0.0701141431927681,0.1905899941921234,0.1905899941921234
0.10408198833465576,0.11471226811408997,0.07003286480903625,0.07003286480903625,0.19036905467510223,0.07003286480903625,0.19036905467510223,0.19036905467510223
0.10408198833465576,0.11471226811408997,0.07003286480903625,0.07003286480903625,0.19036905467510223,0.07003286480903625,0.19036905467510223,0.19036905467510223
0.10334897041320801,0.11298485100269318,0.07025343179702759,0.07025343179702759,0.19096863269805908,0.07025343179702759,0.19096863269805908,0.19096863269805908
0.1037762239575386,0.10833191871643066,0.07063225656747818,0.07063225656747818,0.19199836254119873,0.07063225656747818,0.19199836254119873,0.19199836254119873
0.1039729118347168,0.11008433997631073,0.07045751810073853,0.07045751810073853,0.19152338802814484,0.07045751810073853,0.19152338802814484,0.19152338802814484
0.10401343554258347,0.11012556403875351,0.07045019418001175,0.07045019418001175,0.19150346517562866,0.07045019418001175,0.19150346517562866,0.19150346517562866
0.1040150448679924,0.1101369634270668,0.07044902443885803,0.07044902443885803,0.19150030612945557,0.07044902443885803,0.19150030612945557,0.19150030612945557
