date,agg,bil,gld,spy,vb,vnq,vo,vwo
2024-04-08,0,0,0,0,100,38,57,0
2024-04-09,0,0,0,1,-6,30,100,0
2024-04-10,0,34,24,-1,-12,-68,-16,100
2024-04-11,2,100,-24,0,-47,21,-100,-100
2024-04-12,-2,56,0,34,75,-21,4,0
2024-04-15,55,-100,100,-34,47,100,-45,0
2024-04-16,100,-16,3,44,-73,10,46,0
2024-04-17,-33,-17,-11,59,-84,-88,100,98
2024-04-18,24,33,-81,61,0,28,63,-98
2024-04-19,20,-62,-11,1,0,-19,-100,0
2024-04-22,7,-28,0,-100,0,6,100,100
2024-04-23,61,0,7,100,0,-6,100,100
2024-04-24,100,100,100,-25,100,-31,-64,9
2024-04-25,26,51,-91,100,-100,96,30,39
2024-04-26,90,100,-3,100,84,-77,92,77
2024-04-29,-32,-2,-13,62,-45,-12,72,41
2024-04-30,-7,-100,100,36,-14,-7,75,43
2024-05-01,100,0,63,100,72,0,-17,-100
2024-05-02,48,-100,-100,-92,-51,0,-100,-100
2024-05-03,-35,-49,0,5,-46,76,26,56
2024-05-06,100,0,100,-69,11,9,86,13
2024-05-07,56,0,74,100,100,-85,26,30
2024-05-08,44,0,-100,100,28,0,100,-100
2024-05-09,81,12,60,-100,-70,0,54,-34
2024-05-10,-39,88,-47,-66,72,50,41,2
2024-05-13,100,-100,-100,83,97,48,-100,91
2024-05-14,100,0,77,-100,62,100,38,86
2024-05-15,-50,0,98,66,15,100,-64,66
2024-05-16,-100,0,95,42,-100,-91,71,-77
2024-05-17,-100,0,100,4,-100,97,100,-100
2024-05-20,-53,60,-100,100,-100,-61,23,23
2024-05-21,63,-60,100,-13,13,-41,-100,-100
2024-05-22,100,0,-100,55,-28,51,-52,-8
2024-05-23,32,0,72,16,0,-76,45,-64
2024-05-24,36,0,-71,-100,0,-26,-23,51
2024-05-28,4,0,-100,31,0,-100,-90,-14
2024-05-29,-24,63,100,36,0,20,62,100
2024-05-30,-100,-63,19,35,0,-71,91,75
2024-05-31,100,0,-46,-62,100,0,-40,8
2024-06-03,-38,95,-59,77,-100,0,-28,-97
2024-06-04,-100,-95,46,-2,100,0,-30,64
2024-06-05,-10,7,-96,-100,-76,0,-75,-100
2024-06-06,-33,94,100,100,-24,72,50,-100
2024-06-07,16,-100,92,-100,0,-39,-65,-36
2024-06-10,100,68,100,71,24,13,100,6
2024-06-11,-85,-47,0,36,-24,-46,93,-50
2024-06-12,100,-15,100,-16,0,0,-100,100
2024-06-13,100,4,-100,24,0,0,40,-20
2024-06-14,-21,11,12,96,100,0,66,-80
2024-06-17,100,-5,23,33,-100,81,36,1
2024-06-18,-68,-2,-53,-13,0,-31,100,100
2024-06-20,-21,100,19,77,72,-50,19,-26
2024-06-21,92,-100,16,-61,14,0,65,46
2024-06-24,100,-15,83,-18,-86,8,41,60
2024-06-25,-100,0,100,-100,64,88,22,100
2024-06-26,-70,0,14,-78,-64,7,-100,-63
2024-06-27,97,100,-100,7,0,100,-49,5
2024-06-28,-100,100,100,24,100,51,100,100
2024-07-01,-100,-94,52,-92,100,10,7,-98
2024-07-02,-50,-65,-100,100,100,24,68,24
2024-07-03,-100,59,-32,-100,-45,-100,-87,59
2024-07-05,100,100,3,-46,100,100,100,19
2024-07-08,-100,-89,26,100,58,74,44,77
