account_value,date,daily_return
1000000.0,2023-10-05,
999990.847,2023-10-06,-9.15300000003949e-06
999983.6939999999,2023-10-09,-7.1530654720541875e-06
999974.5399999999,2023-10-10,-9.154149267498468e-06
999973.3859999999,2023-10-11,-1.1540293816114655e-06
999984.23,2023-10-12,1.0844288609979102e-05
999987.07,2023-10-13,2.840044787566498e-06
999984.9079999999,2023-10-16,-2.1620279549994237e-06
999983.745,2023-10-17,-1.1630175521526454e-06
999983.581,2023-10-18,-1.6400266589222667e-07
1000014.416,2023-10-19,3.0835506288129366e-05
1000027.247,2023-10-20,1.2830815030895337e-05
1000030.076,2023-10-23,2.8289229203615207e-06
1000033.904,2023-10-24,3.827884872409371e-06
1000038.731,2023-10-25,4.826836351057295e-06
1000089.557,2023-10-26,5.082403153444659e-05
1000128.3790000001,2023-10-27,3.8818523529604576e-05
1000136.1980000001,2023-10-30,7.817996333425725e-06
1000127.0160000001,2023-10-31,-9.180749600323779e-06
999395.834,2023-11-01,-0.0007310891399818775
999446.6900000001,2023-11-02,5.0886744040523624e-05
999458.5430000001,2023-11-03,1.1859562014215896e-05
999471.395,2023-11-06,1.2858962575190702e-05
999508.246,2023-11-07,3.687048992540021e-05
999523.0950000001,2023-11-08,1.4856305647681367e-05
999638.9430000001,2023-11-09,0.00011590327485122565
999655.7860000001,2023-11-10,1.684908347954206e-05
999673.628,2023-11-13,1.78481435808564e-05
999692.469,2023-11-14,1.8847151182388444e-05
999741.309,2023-11-15,4.885502443441325e-05
999852.147,2023-11-16,0.00011086668021231816
999904.981,2023-11-17,5.2841812820503264e-05
999895.8130000001,2023-11-20,-9.16887121693577e-06
999985.6450000001,2023-11-21,8.984136030187884e-05
1000112.4740000002,2023-11-22,0.00012683082065656492
1000138.2990000001,2023-11-24,2.5822095685468227e-05
1000165.1230000001,2023-11-27,2.6820290780715794e-05
1000229.9460000001,2023-11-28,6.481229799892851e-05
1000258.7670000001,2023-11-29,2.881437424995248e-05
1000405.587,2023-11-30,0.00014678201765749854
998796.403,2023-12-01,-0.00160853160049379
998787.2590000001,2023-12-04,-9.155018953266314e-06
998862.1150000001,2023-12-05,7.494689116782638e-05
998895.9690000002,2023-12-06,3.389256584229727e-05
999062.8220000002,2023-12-07,0.00016703741448376164
999143.6710000002,2023-12-08,8.092484098076724e-05
999226.5180000002,2023-12-11,8.291800509230285e-05
999217.3630000001,2023-12-12,-9.162086709202377e-06
999256.2080000001,2023-12-13,3.887542534619648e-05
999443.0520000001,2023-12-14,0.00018698307651643375
999583.8920000001,2023-12-15,0.00014091848426800446
997483.7290000002,2023-12-18,-0.0021010372584114867
997474.6070000002,2023-12-19,-9.145011326761043e-06
997571.4850000002,2023-12-20,9.712327443733848e-05
997886.3610000003,2023-12-21,0.0003156425426495968
997932.2310000001,2023-12-22,4.596715797777762e-05
998035.1000000002,2023-12-26,0.00010308215007448496
998025.9670000002,2023-12-27,-9.150980762151484e-06
998364.8340000003,2023-12-28,0.00033953725775170973
998355.6950000003,2023-12-29,-9.153968257624712e-06
998406.5560000002,2024-01-02,5.0944768737792856e-05
998580.4160000002,2024-01-03,0.00017413747831995785
998757.2730000003,2024-01-04,0.00017710842027973683
998811.1270000002,2024-01-05,5.392100909373809e-05
