account_rewards,date
286.22100000001956,2024-01-05
-280.10699999995995,2024-01-08
126.01200000010431,2024-01-09
-102.04399999999441,2024-01-10
-132.02899999998044,2024-01-11
-1476.0110000000568,2024-01-12
-1553.7719999999972,2024-01-16
974.4440000000177,2024-01-17
1551.3169999999227,2024-01-18
1908.140000000014,2024-01-19
-559.0549999999348,2024-01-22
-2166.0079999999143,2024-01-23
3195.1689999999944,2024-01-24
-434.0799999999581,2024-01-25
3407.947999999975,2024-01-26
-74.2819999998901,2024-01-29
-4700.280000000028,2024-01-30
5069.993999999948,2024-01-31
-1657.2900000000373,2024-02-01
-6262.204999999958,2024-02-02
5166.106000000029,2024-02-05
1871.8580000000075,2024-02-06
1452.7709999999497,2024-02-07
1410.2166800000705,2024-02-08
2589.9684800000396,2024-02-09
-12415.800000000047,2024-02-12
8477.880000000005,2024-02-13
7033.509999999893,2024-02-14
-3641.5999999999767,2024-02-15
-2096.8099999999395,2024-02-16
-67.56999999994878,2024-02-20
7000.209999999963,2024-02-21
1980.7299999999814,2024-02-22
-1563.420000000042,2024-02-23
2580.7600000000093,2024-02-26
1181.390000000014,2024-02-27
3728.359999999986,2024-02-28
3534.030000000028,2024-02-29
1559.530000000028,2024-03-01
-3627.9400000000605,2024-03-04
5265.320000000065,2024-03-05
5787.459999999963,2024-03-06
-1736.8100000000559,2024-03-07
226.79000000003725,2024-03-08
1008.5299999999115,2024-03-11
-1086.3599999998696,2024-03-12
-6971.20000000007,2024-03-13
-599.0,2024-03-14
945.8100000000559,2024-03-15
3960.5,2024-03-18
5956.410000000033,2024-03-19
2177.1699999999255,2024-03-20
-2790.3699999999953,2024-03-21
-414.3399999999674,2024-03-22
38.20999999996275,2024-03-25
9424.699999999953,2024-03-26
1067.7600000000093,2024-03-27
-7102.379999999888,2024-03-28
-5849.119999999995,2024-04-01
2226.1199999999953,2024-04-02
-6454.5,2024-04-03
4055.0599999999395,2024-04-04
2048.8300000000745,2024-04-05
