date,agg,bil,gld,spy,vb,vnq,vo,vwo
2023-04-05,0.25,0.25,0.25,0.03485,0.01,0.01,0.01,0.18515
2023-04-06,0.25,0.25,0.25,0.03349,0.01,0.01,0.01,0.18651
2023-04-10,0.25,0.25,0.25,0.03379,0.01,0.01,0.01,0.18621
2023-04-11,0.25,0.25,0.25,0.03436,0.01,0.01,0.01,0.18564
2023-04-12,0.25,0.25,0.25,0.03425,0.01,0.01,0.01,0.18575
2023-04-13,0.25,0.25,0.25,0.03452,0.01,0.01,0.01,0.18548
2023-04-14,0.25,0.25,0.25,0.03519,0.01,0.01,0.01,0.18481
2023-04-17,0.25,0.25,0.25,0.03521,0.01,0.01,0.01,0.18479
2023-04-18,0.25,0.25,0.25,0.03546,0.01,0.01,0.01,0.18454
2023-04-19,0.25,0.25,0.25,0.03648,0.01,0.01,0.01,0.18352
2023-04-20,0.25,0.25,0.25,0.03307,0.01,0.01,0.01,0.18693
2023-04-21,0.25,0.25,0.25,0.03506,0.01,0.01,0.01,0.18494
2023-04-24,0.25,0.25,0.25,0.03424,0.01,0.01,0.01,0.18576
2023-04-25,0.25,0.25,0.25,0.03838,0.01,0.01,0.01,0.18162
2023-04-26,0.25,0.25,0.25,0.03534,0.01,0.01,0.01,0.18466
2023-04-27,0.25,0.25,0.25,0.03604,0.01,0.01,0.01,0.18396
2023-04-28,0.25,0.25,0.25,0.0359,0.01,0.01,0.01,0.1841
2023-05-01,0.25,0.25,0.25,0.03861,0.01,0.01,0.01,0.18139
2023-05-02,0.25,0.25,0.25,0.04456,0.01,0.01,0.01,0.17544
2023-05-03,0.25,0.25,0.25,0.04333,0.01,0.01,0.01,0.17667
2023-05-04,0.25,0.25,0.25,0.04453,0.01,0.01,0.01,0.17547
2023-05-05,0.25,0.25,0.25,0.05117,0.01,0.01,0.01,0.16883
2023-05-08,0.25,0.25,0.25,0.05091,0.01,0.01,0.01,0.16909
2023-05-09,0.25,0.25,0.25,0.04982,0.01,0.01,0.01,0.17018
2023-05-10,0.25,0.25,0.25,0.0516,0.01,0.01,0.01,0.1684
2023-05-11,0.25,0.25,0.25,0.05185,0.01,0.01,0.01,0.16815
2023-05-12,0.25,0.25,0.25,0.05311,0.01,0.01,0.01,0.16689
2023-05-15,0.25,0.25,0.25,0.05426,0.01,0.01,0.01,0.16574
2023-05-16,0.25,0.25,0.25,0.05414,0.01,0.01,0.01,0.16586
2023-05-17,0.25,0.25,0.25,0.05383,0.01,0.01,0.01,0.16617
2023-05-18,0.25,0.25,0.25,0.05634,0.01,0.01,0.01,0.16366
2023-05-19,0.25,0.25,0.25,0.06067,0.01,0.01,0.01,0.15933
2023-05-22,0.25,0.25,0.25,0.05557,0.01,0.01,0.01,0.16443
2023-05-23,0.25,0.25,0.25,0.05568,0.01,0.01,0.01,0.16432
2023-05-24,0.25,0.25,0.25,0.05683,0.01,0.01,0.01,0.16317
2023-05-25,0.25,0.25,0.25,0.05811,0.01,0.01,0.01,0.16189
2023-05-26,0.25,0.25,0.25,0.05908,0.01,0.01,0.01,0.16092
2023-05-30,0.25,0.25,0.25,0.05908,0.01,0.01,0.01,0.16092
2023-05-31,0.25,0.25,0.25,0.06146,0.01,0.01,0.01,0.15854
2023-06-01,0.25,0.25,0.25,0.06506,0.01,0.01,0.01,0.15494
2023-06-02,0.25,0.25,0.25,0.06514,0.01,0.01,0.01,0.15486
2023-06-05,0.25,0.25,0.25,0.06538,0.01,0.01,0.01,0.15462
2023-06-06,0.25,0.25,0.25,0.06628,0.01,0.01,0.01,0.15372
2023-06-07,0.25,0.25,0.25,0.06616,0.01,0.01,0.01,0.15384
2023-06-08,0.25,0.25,0.25,0.06683,0.01,0.01,0.01,0.15317
2023-06-09,0.25,0.25,0.25,0.06796,0.01,0.01,0.01,0.15204
2023-06-12,0.25,0.25,0.25,0.06836,0.01,0.01,0.01,0.15164
2023-06-13,0.25,0.25,0.25,0.07065,0.01,0.01,0.01,0.14935
2023-06-14,0.25,0.25,0.25,0.07623,0.01,0.01,0.01,0.14377
2023-06-15,0.25,0.25,0.25,0.07716,0.01,0.01,0.01,0.14284
2023-06-16,0.25,0.25,0.25,0.07626,0.01,0.01,0.01,0.14374
2023-06-20,0.25,0.25,0.25,0.08115,0.01,0.01,0.01,0.13885
2023-06-21,0.25,0.25,0.25,0.08148,0.01,0.01,0.01,0.13852
2023-06-22,0.25,0.25,0.25,0.08394,0.01,0.01,0.01,0.13606
2023-06-23,0.25,0.25,0.25,0.08478,0.01,0.01,0.01,0.13522
2023-06-26,0.25,0.25,0.25,0.08537,0.01,0.01,0.01,0.13463
2023-06-27,0.25,0.25,0.25,0.08769,0.01,0.01,0.01,0.13231
2023-06-28,0.25,0.25,0.25,0.08811,0.01,0.01,0.01,0.13189
2023-06-29,0.25,0.25,0.25,0.09092,0.01,0.01,0.01,0.12908
2023-06-30,0.25,0.25,0.25,0.09048,0.01,0.01,0.01,0.12952
2023-07-03,0.25,0.25,0.25,0.09078,0.01,0.01,0.01,0.12922
2023-07-05,0.25,0.25,0.25,0.09233,0.01,0.01,0.01,0.12767
2023-07-06,0.25,0.25,0.25,0.09271,0.01,0.01,0.01,0.12729
2023-07-07,0.25,0.25,0.25,0.0922,0.01,0.01,0.01,0.1278
2023-07-10,0.25,0.25,0.25,0.09102,0.01,0.01,0.01,0.12898
2023-07-11,0.25,0.25,0.25,0.09142,0.01,0.01,0.01,0.12858
2023-07-12,0.25,0.25,0.25,0.09303,0.01,0.01,0.01,0.12697
2023-07-13,0.25,0.25,0.25,0.09417,0.01,0.01,0.01,0.12583
2023-07-14,0.25,0.25,0.25,0.09475,0.01,0.01,0.01,0.12525
2023-07-17,0.25,0.25,0.25,0.09374,0.01,0.01,0.01,0.12626
2023-07-18,0.25,0.25,0.25,0.09404,0.01,0.01,0.01,0.12596
2023-07-19,0.25,0.25,0.25,0.09456,0.01,0.01,0.01,0.12544
2023-07-20,0.25,0.25,0.25,0.09718,0.01,0.01,0.01,0.12282
2023-07-21,0.25,0.25,0.25,0.09614,0.01,0.01,0.01,0.12386
2023-07-24,0.25,0.25,0.25,0.09542,0.01,0.01,0.01,0.12458
2023-07-25,0.25,0.25,0.25,0.09592,0.01,0.01,0.01,0.12408
2023-07-26,0.25,0.25,0.25,0.09686,0.01,0.01,0.01,0.12314
2023-07-27,0.25,0.25,0.25,0.09869,0.01,0.01,0.01,0.12131
2023-07-28,0.25,0.25,0.25,0.10525,0.01,0.01,0.01,0.11475
2023-07-31,0.25,0.25,0.25,0.10795,0.01,0.01,0.01,0.11205
2023-08-01,0.25,0.25,0.25,0.11325,0.01,0.01,0.01,0.10675
2023-08-02,0.25,0.25,0.25,0.11524,0.01,0.01,0.01,0.10476
2023-08-03,0.25,0.25,0.25,0.11492,0.01,0.01,0.01,0.10508
2023-08-04,0.25,0.25,0.25,0.11735,0.01,0.01,0.01,0.10265
2023-08-07,0.25,0.25,0.25,0.11498,0.01,0.01,0.01,0.10502
2023-08-08,0.25,0.25,0.25,0.1161,0.01,0.01,0.01,0.1039
2023-08-09,0.25,0.25,0.25,0.11489,0.01,0.01,0.01,0.10511
2023-08-10,0.25,0.25,0.25,0.11482,0.01,0.01,0.01,0.10518
2023-08-11,0.25,0.25,0.25,0.11772,0.01,0.01,0.01,0.10228
2023-08-14,0.25,0.25,0.25,0.11839,0.01,0.01,0.01,0.10161
2023-08-15,0.25,0.25,0.25,0.11996,0.01,0.01,0.01,0.10004
2023-08-16,0.25,0.25,0.25,0.11892,0.01,0.01,0.01,0.10108
2023-08-17,0.25,0.25,0.25,0.11822,0.01,0.01,0.01,0.10178
2023-08-18,0.25,0.25,0.25,0.11915,0.01,0.01,0.01,0.10085
2023-08-21,0.25,0.25,0.25,0.11898,0.01,0.01,0.01,0.10102
2023-08-22,0.25,0.25,0.25,0.11973,0.01,0.01,0.01,0.10027
2023-08-23,0.25,0.25,0.25,0.12515,0.01,0.01,0.01,0.09485
2023-08-24,0.25,0.25,0.25,0.1232,0.01,0.01,0.01,0.0968
2023-08-25,0.25,0.25,0.25,0.12314,0.01,0.01,0.01,0.09686
2023-08-28,0.25,0.25,0.25,0.12243,0.01,0.01,0.01,0.09757
2023-08-29,0.25,0.25,0.25,0.13133,0.01,0.01,0.01,0.08867
2023-08-30,0.25,0.25,0.25,0.13135,0.01,0.01,0.01,0.08865
2023-08-31,0.25,0.25,0.25,0.13185,0.01,0.01,0.01,0.08815
2023-09-01,0.25,0.25,0.25,0.133,0.01,0.01,0.01,0.087
2023-09-05,0.25,0.25,0.25,0.13183,0.01,0.01,0.01,0.08817
2023-09-06,0.25,0.25,0.25,0.13145,0.01,0.01,0.01,0.08855
2023-09-07,0.25,0.25,0.25,0.13058,0.01,0.01,0.01,0.08942
2023-09-08,0.25,0.25,0.25,0.13369,0.01,0.01,0.01,0.08631
2023-09-11,0.25,0.25,0.25,0.13353,0.01,0.01,0.01,0.08647
2023-09-12,0.25,0.25,0.25,0.13359,0.01,0.01,0.01,0.08641
2023-09-13,0.25,0.25,0.25,0.13279,0.01,0.01,0.01,0.08721
2023-09-14,0.25,0.25,0.25,0.14041,0.01,0.01,0.01,0.07959
2023-09-15,0.25,0.25,0.25,0.13953,0.01,0.01,0.01,0.08047
2023-09-18,0.25,0.25,0.25,0.14032,0.01,0.01,0.01,0.07968
2023-09-19,0.25,0.25,0.25,0.14048,0.01,0.01,0.01,0.07952
2023-09-20,0.25,0.25,0.25,0.14005,0.01,0.01,0.01,0.07995
