symbol,open,high,low,close,volume
COINBASE:SOLUSD,101.7,104.69,101.52,104.07,123095.701
COINBASE:SOLUSD,104.04,104.29,102.45,103.07,82547.93
COINBASE:SOLUSD,103.02,104.0,101.47,101.63,60885.22
COINBASE:SOLUSD,101.64,103.25,101.52,102.38,61347.523
COINBASE:SOLUSD,102.44,104.27,101.81,104.04,55615.108
COINBASE:SOLUSD,104.08,104.85,103.7,104.34,69205.323
COINBASE:SOLUSD,104.49,106.03,103.89,105.34,88409.503
COINBASE:SOLUSD,105.32,106.41,104.29,106.0,87153.334
COINBASE:SOLUSD,106.03,108.5,105.91,107.13,132351.662
COINBASE:SOLUSD,107.12,109.18,107.12,108.87,172446.032
COINBASE:SOLUSD,108.89,109.5,107.51,108.03,113177.513
COINBASE:SOLUSD,108.07,110.44,107.2,110.11,140339.199
COINBASE:SOLUSD,110.11,113.23,108.63,111.16,257863.345
COINBASE:SOLUSD,111.13,112.2,110.83,111.5,134891.119
COINBASE:SOLUSD,111.5,113.25,110.96,112.7,127058.735
COINBASE:SOLUSD,112.69,114.77,111.9,114.53,136715.538
COINBASE:SOLUSD,114.56,117.0,113.76,115.94,161903.996
COINBASE:SOLUSD,115.95,116.73,112.76,113.96,112194.612
COINBASE:SOLUSD,113.96,114.42,112.86,113.46,121377.18
COINBASE:SOLUSD,113.43,113.89,107.84,109.68,253334.92
COINBASE:SOLUSD,109.68,110.49,106.8,107.74,166301.46
COINBASE:SOLUSD,107.74,109.1,107.0,107.69,114038.493
COINBASE:SOLUSD,107.7,108.71,106.63,108.04,114279.963
COINBASE:SOLUSD,108.0,108.95,106.0,106.74,125613.66
COINBASE:SOLUSD,106.77,108.56,106.55,108.21,84112.369
COINBASE:SOLUSD,108.18,108.75,107.2,108.17,50821.06
COINBASE:SOLUSD,108.18,108.91,107.18,108.38,61990.753
COINBASE:SOLUSD,108.37,109.97,107.49,107.87,81421.801
COINBASE:SOLUSD,107.88,109.44,107.59,109.01,53586.937
COINBASE:SOLUSD,109.01,109.4,102.49,103.46,137312.649
COINBASE:SOLUSD,103.46,103.46,85.5,98.5,1040303.034
COINBASE:SOLUSD,98.5,101.99,95.0,101.97,581169.769
COINBASE:SOLUSD,101.99,103.25,96.69,97.9,361248.822
COINBASE:SOLUSD,97.88,101.37,95.3,97.44,245922.299
COINBASE:SOLUSD,97.42,100.57,97.29,100.33,149664.084
COINBASE:SOLUSD,100.34,100.36,97.81,98.59,86677.349
COINBASE:SOLUSD,98.57,100.45,97.7,98.47,93835.044
COINBASE:SOLUSD,98.48,102.0,98.1,101.17,103464.476
COINBASE:SOLUSD,101.2,101.74,99.75,101.28,48528.193
COINBASE:SOLUSD,101.3,101.59,98.79,98.94,51396.32
COINBASE:SOLUSD,98.95,99.38,97.5,98.55,61942.423
COINBASE:SOLUSD,98.57,99.12,96.74,98.61,92544.677
COINBASE:SOLUSD,98.57,100.62,98.24,100.02,73446.665
COINBASE:SOLUSD,100.01,104.42,99.49,103.77,218575.411
COINBASE:SOLUSD,103.77,105.75,101.62,103.23,196239.634
COINBASE:SOLUSD,103.26,106.95,102.77,105.31,206415.147
COINBASE:SOLUSD,105.31,108.23,105.31,105.69,233850.735
COINBASE:SOLUSD,105.7,107.1,104.38,105.01,114033.601
COINBASE:SOLUSD,105.01,105.57,98.63,101.14,183681.887
