symbol,open,high,low,close,volume
COINBASE:SOLUSD,101.7,102.77,101.55,102.16,52712.998
COINBASE:SOLUSD,102.11,102.52,101.52,102.33,28438.999
COINBASE:SOLUSD,102.34,104.69,102.32,103.54,54921.685
COINBASE:SOLUSD,103.54,104.29,103.18,103.66,28334.962
COINBASE:SOLUSD,103.64,103.95,102.45,103.05,35423.078
COINBASE:SOLUSD,103.0,104.0,101.53,102.13,33935.929
COINBASE:SOLUSD,102.07,102.77,101.83,102.77,11539.011
COINBASE:SOLUSD,102.77,102.79,101.47,101.63,21222.189
COINBASE:SOLUSD,101.64,102.43,101.52,102.18,27089.218
COINBASE:SOLUSD,102.2,102.83,101.84,102.38,21312.615
COINBASE:SOLUSD,102.38,103.25,102.22,102.75,16981.087
COINBASE:SOLUSD,102.74,102.89,101.93,102.49,10455.973
COINBASE:SOLUSD,102.5,103.81,101.81,103.62,16177.99
COINBASE:SOLUSD,103.59,104.85,103.43,104.09,41298.717
COINBASE:SOLUSD,104.09,104.6,103.91,104.51,8701.637
COINBASE:SOLUSD,104.5,104.59,103.7,104.34,44150.717
COINBASE:SOLUSD,104.49,105.0,103.89,104.95,29321.242
COINBASE:SOLUSD,104.98,106.03,104.42,105.61,36540.838
COINBASE:SOLUSD,105.59,105.81,104.43,104.86,32035.926
COINBASE:SOLUSD,104.87,104.95,104.34,104.41,25674.616
COINBASE:SOLUSD,104.39,106.0,104.29,105.98,35105.233
COINBASE:SOLUSD,105.97,108.5,105.62,107.12,83241.972
COINBASE:SOLUSD,107.09,107.42,106.4,106.6,32320.584
COINBASE:SOLUSD,106.61,107.3,106.17,107.13,33674.088
COINBASE:SOLUSD,107.12,108.53,107.12,108.21,78085.634
COINBASE:SOLUSD,108.17,109.0,107.45,108.65,52873.354
COINBASE:SOLUSD,108.62,109.5,108.38,109.07,63543.637
COINBASE:SOLUSD,109.07,109.16,107.7,107.93,51824.432
COINBASE:SOLUSD,107.95,108.34,107.51,108.03,32715.266
COINBASE:SOLUSD,108.03,108.2,107.2,107.73,29215.827
COINBASE:SOLUSD,107.76,108.86,107.57,108.27,31698.459
COINBASE:SOLUSD,108.25,110.44,108.19,110.11,86006.135
COINBASE:SOLUSD,110.11,110.17,108.63,109.45,68960.194
COINBASE:SOLUSD,109.45,113.23,109.09,111.98,145014.363
COINBASE:SOLUSD,111.98,112.3,110.66,111.53,54662.246
COINBASE:SOLUSD,111.53,112.2,111.0,112.1,53354.812
COINBASE:SOLUSD,112.08,112.17,110.83,111.14,62916.461
COINBASE:SOLUSD,111.17,111.87,110.96,111.78,28089.591
COINBASE:SOLUSD,111.77,113.25,111.5,113.23,54220.973
COINBASE:SOLUSD,113.21,113.25,112.22,112.7,52594.559
COINBASE:SOLUSD,112.69,113.0,111.9,112.76,41864.613
COINBASE:SOLUSD,112.76,114.5,112.71,114.5,55069.946
COINBASE:SOLUSD,114.5,114.85,113.76,114.41,60589.711
COINBASE:SOLUSD,114.46,115.1,114.11,114.59,45507.629
COINBASE:SOLUSD,114.61,117.0,114.44,116.18,76894.527
COINBASE:SOLUSD,116.24,116.73,114.83,115.93,48217.058
COINBASE:SOLUSD,115.9,115.93,114.44,115.16,32021.979
COINBASE:SOLUSD,115.18,115.55,112.76,113.96,50648.683
COINBASE:SOLUSD,113.96,114.42,113.27,113.98,34881.96
