symbol,open,high,low,close,volume
COINBASE:SOLUSD,127.31,127.49,127.29,127.31,419.86126913
COINBASE:SOLUSD,127.28,127.38,127.15,127.26,830.91405344
COINBASE:SOLUSD,127.28,127.54,127.22,127.45,642.78948985
COINBASE:SOLUSD,127.46,127.57,127.27,127.34,450.2547926
COINBASE:SOLUSD,127.33,127.74,127.27,127.56,706.94164815
COINBASE:SOLUSD,127.55,127.69,127.33,127.34,710.89722061
COINBASE:SOLUSD,127.32,127.32,127.08,127.1,388.01952101
COINBASE:SOLUSD,127.11,127.12,126.86,126.88,784.44509028
COINBASE:SOLUSD,126.88,127.09,126.8,126.86,482.82423623
COINBASE:SOLUSD,126.88,127.17,126.84,127.08,714.4170902
COINBASE:SOLUSD,127.09,127.12,126.96,126.97,1200.77158379
COINBASE:SOLUSD,126.98,127.16,126.95,127.16,585.96132576
COINBASE:SOLUSD,127.16,127.44,127.14,127.37,577.30446041
COINBASE:SOLUSD,127.38,127.45,127.28,127.4,539.78640045
COINBASE:SOLUSD,127.39,127.56,127.38,127.55,570.17902684
COINBASE:SOLUSD,127.55,127.59,127.44,127.51,423.52747592
COINBASE:SOLUSD,127.49,127.56,127.21,127.25,735.77776356
COINBASE:SOLUSD,127.23,127.28,127.09,127.18,354.18666009
COINBASE:SOLUSD,127.18,127.49,127.17,127.19,377.68652562
COINBASE:SOLUSD,127.18,127.49,127.12,127.34,505.62667656
COINBASE:SOLUSD,127.32,127.42,127.18,127.39,341.8892049
COINBASE:SOLUSD,127.39,127.42,127.21,127.31,335.81307331
COINBASE:SOLUSD,127.3,127.39,127.2,127.39,773.1175349
COINBASE:SOLUSD,127.39,127.55,127.34,127.49,559.22203899
COINBASE:SOLUSD,127.49,127.66,127.49,127.55,813.40115669
COINBASE:SOLUSD,127.54,127.64,127.46,127.52,578.40868137
COINBASE:SOLUSD,127.52,127.62,127.41,127.43,935.55083064
COINBASE:SOLUSD,127.44,127.54,127.31,127.31,487.93000873
COINBASE:SOLUSD,127.32,127.5,127.25,127.45,412.55810163
COINBASE:SOLUSD,127.44,127.56,127.36,127.38,440.4343616
COINBASE:SOLUSD,127.37,127.37,127.23,127.34,251.35388671
COINBASE:SOLUSD,127.32,127.5,127.21,127.43,590.0632116
COINBASE:SOLUSD,127.42,127.52,127.36,127.51,417.17152211
COINBASE:SOLUSD,127.52,127.73,127.49,127.49,428.83112939
COINBASE:SOLUSD,127.5,127.5,127.24,127.32,269.23790993
COINBASE:SOLUSD,127.32,127.32,126.8,126.88,1317.16108518
COINBASE:SOLUSD,126.9,126.99,126.67,126.74,416.35152147
COINBASE:SOLUSD,126.73,126.98,126.7,126.96,864.30610054
COINBASE:SOLUSD,126.97,127.19,126.97,127.12,800.78198705
COINBASE:SOLUSD,127.13,127.26,127.02,127.19,874.6691125
COINBASE:SOLUSD,127.18,127.52,127.14,127.45,348.89118718
COINBASE:SOLUSD,127.45,127.61,127.3,127.58,352.28915312
COINBASE:SOLUSD,127.55,127.62,127.46,127.58,676.46443131
COINBASE:SOLUSD,127.55,127.65,127.36,127.4,292.69514704
COINBASE:SOLUSD,127.39,127.71,127.38,127.63,355.91413253
COINBASE:SOLUSD,127.63,127.92,127.59,127.67,428.42478577
COINBASE:SOLUSD,127.69,127.99,127.63,127.9,631.34224698
COINBASE:SOLUSD,127.89,128.53,127.86,128.36,1364.56310889
COINBASE:SOLUSD,128.41,129.08,128.35,128.76,2504.02506384
COINBASE:SOLUSD,128.76,129.15,128.47,128.49,5718.20362125
COINBASE:SOLUSD,128.45,128.5,128.31,128.44,943.77890381
COINBASE:SOLUSD,128.46,128.63,128.34,128.57,486.70501707
COINBASE:SOLUSD,128.57,128.58,128.36,128.52,1420.1121054
COINBASE:SOLUSD,128.54,128.72,128.44,128.54,552.7662125
COINBASE:SOLUSD,128.51,128.56,128.33,128.43,1040.63188911
COINBASE:SOLUSD,128.39,128.39,128.24,128.27,166.03161116
COINBASE:SOLUSD,128.31,128.34,128.14,128.16,4432.07722386
COINBASE:SOLUSD,128.14,128.39,128.14,128.34,348.39918039
COINBASE:SOLUSD,128.33,128.46,128.24,128.42,344.69342666
COINBASE:SOLUSD,128.43,128.46,128.16,128.17,407.61590194
COINBASE:SOLUSD,128.18,128.18,127.99,128.04,519.19266381
COINBASE:SOLUSD,128.04,128.11,127.93,127.98,338.71208383
COINBASE:SOLUSD,127.99,128.16,127.93,128.14,744.27970677
COINBASE:SOLUSD,128.11,128.27,128.07,128.27,258.87436028
COINBASE:SOLUSD,128.26,128.45,128.19,128.33,989.81153947
COINBASE:SOLUSD,128.32,128.42,128.14,128.39,1004.7761549
COINBASE:SOLUSD,128.4,128.7,128.34,128.62,1170.04460303
COINBASE:SOLUSD,128.64,128.64,128.42,128.47,280.12823788
COINBASE:SOLUSD,128.48,128.7,128.47,128.58,555.87473469
COINBASE:SOLUSD,128.58,128.91,128.57,128.76,2468.99845549
COINBASE:SOLUSD,128.76,128.79,128.55,128.56,1522.8099739
COINBASE:SOLUSD,128.56,128.63,128.45,128.52,794.227105
COINBASE:SOLUSD,128.49,128.64,128.36,128.37,651.31700032
COINBASE:SOLUSD,128.35,128.4,128.19,128.28,3065.28902172
COINBASE:SOLUSD,128.31,128.31,128.0,128.04,1166.30942349
COINBASE:SOLUSD,128.04,128.08,127.9,127.93,489.05827427
COINBASE:SOLUSD,127.92,128.09,127.75,128.05,447.49310371
COINBASE:SOLUSD,128.06,128.18,127.94,127.96,408.06607342
COINBASE:SOLUSD,127.94,128.04,127.88,128.0,915.77926736
COINBASE:SOLUSD,127.99,128.04,127.82,127.87,150.21938152
COINBASE:SOLUSD,127.87,127.88,127.82,127.86,372.45404349
COINBASE:SOLUSD,127.86,127.87,127.48,127.5,3318.47399035
COINBASE:SOLUSD,127.5,127.53,127.26,127.32,432.1012822
COINBASE:SOLUSD,127.32,127.47,127.3,127.42,305.54382612
COINBASE:SOLUSD,127.42,127.62,127.33,127.62,378.28279067
COINBASE:SOLUSD,127.63,127.86,127.63,127.81,377.13983241
COINBASE:SOLUSD,127.81,127.93,127.7,127.86,597.27530639
COINBASE:SOLUSD,127.88,127.89,127.53,127.59,312.66682346
COINBASE:SOLUSD,127.57,127.59,127.42,127.46,264.00885669
COINBASE:SOLUSD,127.49,127.61,127.47,127.6,289.59348769
COINBASE:SOLUSD,127.6,127.72,127.49,127.54,412.77134315
COINBASE:SOLUSD,127.55,127.62,127.42,127.48,453.85414362
COINBASE:SOLUSD,127.49,127.61,127.43,127.55,279.74002077
COINBASE:SOLUSD,127.56,127.59,127.35,127.38,521.1527767
COINBASE:SOLUSD,127.38,127.52,127.37,127.49,202.72214171
COINBASE:SOLUSD,127.47,127.48,127.07,127.18,999.0848029
COINBASE:SOLUSD,127.23,127.34,127.19,127.24,576.0478294
COINBASE:SOLUSD,127.24,127.3,126.99,127.0,1663.63691018
COINBASE:SOLUSD,126.99,127.04,126.87,126.99,349.11968358
COINBASE:SOLUSD,127.0,127.09,126.95,126.99,558.20000468
COINBASE:SOLUSD,126.98,127.07,126.92,126.94,346.12918368
COINBASE:SOLUSD,126.95,127.05,126.82,127.05,527.48281795
COINBASE:SOLUSD,127.07,127.09,126.87,126.99,273.34019111
COINBASE:SOLUSD,127.01,127.01,126.65,126.79,1215.06157889
COINBASE:SOLUSD,126.8,126.91,126.77,126.9,511.84133145
COINBASE:SOLUSD,126.9,126.91,126.63,126.69,426.70340348
COINBASE:SOLUSD,126.71,126.82,126.69,126.8,262.80378462
COINBASE:SOLUSD,126.79,126.81,126.62,126.67,582.88344614
COINBASE:SOLUSD,126.66,126.95,126.64,126.95,428.07128753
COINBASE:SOLUSD,126.92,126.92,126.5,126.71,667.99363487
COINBASE:SOLUSD,126.7,126.7,126.57,126.66,465.12729574
COINBASE:SOLUSD,126.66,126.78,126.65,126.68,590.24303438
COINBASE:SOLUSD,126.69,126.69,126.5,126.65,339.26083984
COINBASE:SOLUSD,126.64,126.7,126.45,126.66,1062.70789599
COINBASE:SOLUSD,126.66,126.69,126.43,126.6,688.01071922
COINBASE:SOLUSD,126.61,126.68,126.57,126.62,141.64301201
COINBASE:SOLUSD,126.61,126.73,126.52,126.52,1157.3205318
COINBASE:SOLUSD,126.5,126.64,126.47,126.57,517.35159414
COINBASE:SOLUSD,126.56,126.59,126.47,126.51,438.65050004
COINBASE:SOLUSD,126.5,126.63,126.48,126.59,467.88832518
COINBASE:SOLUSD,126.61,126.62,126.51,126.56,186.67093571
COINBASE:SOLUSD,126.54,126.68,126.49,126.68,233.38816059
COINBASE:SOLUSD,126.69,126.84,126.69,126.74,621.74075225
COINBASE:SOLUSD,126.72,126.78,126.54,126.54,514.83438475
COINBASE:SOLUSD,126.54,126.61,126.48,126.56,470.86857086
COINBASE:SOLUSD,126.56,126.74,126.56,126.67,274.80446776
COINBASE:SOLUSD,126.67,126.89,126.66,126.84,120.22513284
COINBASE:SOLUSD,126.84,126.86,126.75,126.75,172.25056987
COINBASE:SOLUSD,126.77,126.77,126.66,126.7,207.82898168
COINBASE:SOLUSD,126.7,126.85,126.66,126.85,400.6695482
COINBASE:SOLUSD,126.85,127.05,126.8,126.97,898.50286173
COINBASE:SOLUSD,126.99,127.11,126.93,126.98,773.05385347
COINBASE:SOLUSD,126.98,127.11,126.93,127.11,249.68576717
COINBASE:SOLUSD,127.12,127.19,126.99,127.17,420.64558315
COINBASE:SOLUSD,127.17,127.17,126.99,127.06,546.28916635
COINBASE:SOLUSD,127.05,127.3,127.05,127.24,803.07903685
COINBASE:SOLUSD,127.24,127.32,127.13,127.29,290.20740679
COINBASE:SOLUSD,127.27,127.35,127.21,127.32,350.92197271
COINBASE:SOLUSD,127.31,127.33,127.23,127.32,226.55322086
COINBASE:SOLUSD,127.31,127.31,127.16,127.19,294.22053508
COINBASE:SOLUSD,127.17,127.38,127.16,127.37,163.72909852
COINBASE:SOLUSD,127.35,127.41,127.12,127.17,737.76413585
COINBASE:SOLUSD,127.16,127.22,126.96,126.96,415.14543969
COINBASE:SOLUSD,126.97,126.98,126.7,126.73,378.23750461
COINBASE:SOLUSD,126.75,126.87,126.69,126.85,280.17340106
COINBASE:SOLUSD,126.85,127.08,126.85,127.07,314.66190399
COINBASE:SOLUSD,127.06,127.14,126.92,127.09,160.23670116
COINBASE:SOLUSD,127.1,127.17,126.91,126.93,522.76195929
COINBASE:SOLUSD,126.93,126.96,126.84,126.91,324.30215837
COINBASE:SOLUSD,126.9,126.91,126.63,126.68,178.21926976
COINBASE:SOLUSD,126.68,126.7,126.51,126.59,857.92668805
COINBASE:SOLUSD,126.59,126.64,126.46,126.6,635.73048914
COINBASE:SOLUSD,126.58,126.78,126.56,126.63,190.47820558
COINBASE:SOLUSD,126.63,126.8,126.52,126.8,558.54556188
COINBASE:SOLUSD,126.82,126.99,126.79,126.9,176.90534306
COINBASE:SOLUSD,126.88,127.21,126.85,127.21,392.42305067
COINBASE:SOLUSD,127.19,127.34,127.11,127.3,390.89626505
COINBASE:SOLUSD,127.3,127.48,127.26,127.39,1269.132819
COINBASE:SOLUSD,127.38,127.48,127.29,127.34,254.26608109
COINBASE:SOLUSD,127.32,127.37,127.29,127.33,271.06113652
COINBASE:SOLUSD,127.32,127.33,127.14,127.26,247.15696704
COINBASE:SOLUSD,127.24,127.6,127.19,127.6,427.90661242
COINBASE:SOLUSD,127.6,127.69,127.46,127.56,586.10330672
COINBASE:SOLUSD,127.55,127.58,127.41,127.54,1276.22323524
COINBASE:SOLUSD,127.53,127.65,127.46,127.56,719.91318632
COINBASE:SOLUSD,127.55,127.76,127.54,127.76,2721.16858674
COINBASE:SOLUSD,127.75,127.79,127.62,127.68,323.63498334
COINBASE:SOLUSD,127.67,127.75,127.5,127.52,299.53304198
COINBASE:SOLUSD,127.53,127.71,127.52,127.69,295.75416659
COINBASE:SOLUSD,127.69,127.96,127.64,127.92,858.93567321
COINBASE:SOLUSD,127.91,128.06,127.86,127.99,386.64978493
COINBASE:SOLUSD,128.0,128.06,127.91,128.0,304.33973525
COINBASE:SOLUSD,128.0,128.04,127.81,127.88,193.37810856
COINBASE:SOLUSD,127.87,127.98,127.82,127.9,150.47505658
COINBASE:SOLUSD,127.91,127.96,127.79,127.82,3316.19988753
COINBASE:SOLUSD,127.82,127.85,127.75,127.78,309.25195283
COINBASE:SOLUSD,127.78,127.85,127.63,127.66,241.83401952
COINBASE:SOLUSD,127.67,127.69,127.52,127.65,532.93780277
COINBASE:SOLUSD,127.65,127.9,127.65,127.85,523.23614897
COINBASE:SOLUSD,127.86,127.92,127.77,127.77,185.63360285
COINBASE:SOLUSD,127.79,127.83,127.67,127.78,145.48962541
COINBASE:SOLUSD,127.77,127.91,127.72,127.72,263.79168655
COINBASE:SOLUSD,127.73,127.77,127.59,127.65,120.22827269
COINBASE:SOLUSD,127.64,127.89,127.64,127.89,47.45815903
COINBASE:SOLUSD,127.88,127.92,127.74,127.76,241.99092555
COINBASE:SOLUSD,127.74,127.82,127.68,127.76,258.58568324
COINBASE:SOLUSD,127.75,127.84,127.68,127.71,299.53046184
COINBASE:SOLUSD,127.71,127.79,127.57,127.68,193.72374615
COINBASE:SOLUSD,127.67,127.67,127.52,127.58,379.38753776
COINBASE:SOLUSD,127.56,127.58,127.48,127.49,98.97890933
COINBASE:SOLUSD,127.5,127.58,127.37,127.4,238.59756487
COINBASE:SOLUSD,127.41,127.52,127.37,127.5,98.75156781
COINBASE:SOLUSD,127.51,127.62,127.47,127.48,721.4857913
COINBASE:SOLUSD,127.48,127.54,127.41,127.52,390.21094164
COINBASE:SOLUSD,127.52,127.72,127.52,127.58,823.08802213
COINBASE:SOLUSD,127.59,127.7,127.57,127.64,271.1317166
COINBASE:SOLUSD,127.65,127.69,127.59,127.62,124.79433441
COINBASE:SOLUSD,127.67,127.81,127.66,127.76,300.84868146
COINBASE:SOLUSD,127.74,127.94,127.7,127.88,233.46944956
COINBASE:SOLUSD,127.87,128.05,127.82,127.98,242.54208895
COINBASE:SOLUSD,127.97,128.02,127.92,127.98,553.60139685
COINBASE:SOLUSD,127.96,128.0,127.86,128.0,382.79016083
COINBASE:SOLUSD,127.99,128.08,127.99,128.0,269.38232353
COINBASE:SOLUSD,128.02,128.11,127.97,128.03,884.20245461
COINBASE:SOLUSD,128.04,128.07,127.98,128.02,110.11660583
COINBASE:SOLUSD,128.03,128.11,127.93,128.07,476.08634136
COINBASE:SOLUSD,128.07,128.19,128.04,128.13,203.43262291
COINBASE:SOLUSD,128.13,128.16,128.06,128.13,169.23005456
