train/reward,time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/loss,train/explained_variance,train/clip_range,train/entropy_loss,train/std,train/n_updates,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/clip_fraction
-0.2536773,2048,1,2,744,,,,,,,,,,,
0.31409413,4096,2,5,712,0.6470266580581665,-0.08636701107025146,0.2,-11.344167441129684,0.9985078573226929,10,0.006217262,0.00025,-0.00557035804959014,1.7370646677911281,0.055908203125
-2.7898514,6144,3,8,710,0.9005070328712463,0.016105473041534424,0.2,-11.341869658231735,0.9993188381195068,20,0.005749058,0.00025,-0.0066323105158517135,2.028867395222187,0.0625
0.027527245,8192,4,11,711,1.7070921659469604,-0.010141730308532715,0.2,-11.347432607412339,0.9999865293502808,30,0.009380408,0.00025,-0.008721185877220705,3.696845880150795,0.086083984375
0.363671,10240,5,14,706,3.926100254058838,0.000628054141998291,0.2,-11.351387238502502,1.0002329349517822,40,0.0061313435,0.00025,-0.006626669579418376,7.179009288549423,0.048583984375
0.043958694,12288,6,17,707,2.6876542568206787,0.062360167503356934,0.2,-11.345174330472947,0.9978007078170776,50,0.007271382,0.00025,-0.011873807550000493,5.876436586678028,0.09541015625
-0.5231202,14336,7,20,705,2.233397960662842,-0.043259501457214355,0.2,-11.34520007967949,1.0016084909439087,60,0.00812517,0.00025,-0.007988968928111717,4.236384437978268,0.085205078125
0.7166164,16384,8,23,700,0.6880974769592285,0.07226347923278809,0.2,-11.37193033695221,1.0029182434082031,70,0.008342665,0.00025,-0.00831166586431209,2.2906991451978684,0.08037109375
-0.18019277,18432,9,26,700,1.8988670110702515,0.09977960586547852,0.2,-11.376876848936082,1.0040990114212036,80,0.008473547,0.00025,-0.011187947235885076,3.5431621819734573,0.103466796875
-0.4534466,20480,10,29,697,3.9414279460906982,0.015096783638000488,0.2,-11.38674212694168,1.0049359798431396,90,0.005825094,0.00025,-0.006924628706474323,7.958703902363777,0.05244140625
0.8213234,22528,11,32,698,4.1306233406066895,0.019496798515319824,0.2,-11.397944658994675,1.0071070194244385,100,0.007647124,0.00025,-0.005913702637189999,11.246619489789008,0.05
-0.17537704,24576,12,36,676,5.239772796630859,0.09966921806335449,0.2,-11.417766350507737,1.0094406604766846,110,0.0075061293,0.00025,-0.0059375614713644605,11.756286534667016,0.051513671875
-0.2642696,26624,13,39,675,3.655991315841675,0.09125447273254395,0.2,-11.429811680316925,1.0097877979278564,120,0.008010671,0.00025,-0.009296515220194123,7.32813789844513,0.08642578125
0.065698944,28672,14,42,673,3.8795931339263916,0.13914477825164795,0.2,-11.425110352039336,1.0090975761413574,130,0.007819599,0.00025,-0.007418996206251904,8.298781707882881,0.04794921875
-0.60617334,30720,15,45,676,2.965670585632324,0.10966938734054565,0.2,-11.434009164571762,1.011409878730774,140,0.006638443,0.00025,-0.008894523256458342,8.542682230472565,0.07138671875
3.4393263,32768,16,48,675,3.8148868083953857,0.06718617677688599,0.2,-11.448784869909286,1.0133283138275146,150,0.0079563055,0.00025,-0.0057818598201265555,8.574067974090577,0.070263671875
-0.5862188,34816,17,51,675,5.961945056915283,0.06526410579681396,0.2,-11.463317376375198,1.0147144794464111,160,0.0075072334,0.00025,-0.006162716916878708,10.604025062918662,0.047412109375
-2.2234206,36864,18,54,676,5.751468658447266,-0.005209565162658691,0.2,-11.467316764593125,1.0144999027252197,170,0.007379583,0.00025,-0.007082811382133514,14.890085250139236,0.0494140625
0.08538172,38912,19,57,677,3.1211140155792236,0.16035562753677368,0.2,-11.468559527397156,1.0153809785842896,180,0.010041688,0.00025,-0.01094263173872605,8.054716992378236,0.08349609375
-3.2302468,40960,20,60,679,3.6783840656280518,0.03128880262374878,0.2,-11.472798818349839,1.015265941619873,190,0.0080778245,0.00025,-0.007998293651326094,7.988865303993225,0.0828125
-0.5002402,43008,21,63,681,5.926044940948486,0.0030956268310546875,0.2,-11.468719935417175,1.0143768787384033,200,0.011115153,0.00025,-0.011951804161071777,14.539478236436844,0.0890625
-0.57748276,45056,22,65,683,6.743149280548096,0.06653565168380737,0.2,-11.467263907194138,1.0150465965270996,210,0.007085174,0.00025,-0.008633384920540266,11.099041324853896,0.063037109375
-3.636944,47104,23,68,685,5.849046230316162,0.08048617839813232,0.2,-11.467429506778718,1.0141340494155884,220,0.009528624,0.00025,-0.010308422941307072,13.680769011378288,0.0990234375
-2.1517217,49152,24,71,686,4.777234077453613,-0.007061004638671875,0.2,-11.474643677473068,1.0176690816879272,230,0.011591695,0.00025,-0.011132226703921333,9.516134443879128,0.11533203125
1.2623717,51200,25,74,687,5.867027282714844,0.06650811433792114,0.2,-11.493563389778137,1.0198280811309814,240,0.011644179,0.00025,-0.013604641855636146,12.913999158143998,0.117333984375
1.118365,53248,26,77,686,5.11912727355957,0.04631775617599487,0.2,-11.502287554740906,1.0183992385864258,250,0.011297702,0.00025,-0.009882666211342438,11.639486420154572,0.10361328125
-0.007822951,55296,27,80,687,4.35128116607666,0.009596526622772217,0.2,-11.49597813487053,1.0190321207046509,260,0.008187864,0.00025,-0.008498131927626672,9.817510998249054,0.07177734375
-0.766396,57344,28,83,688,7.896595001220703,0.04260963201522827,0.2,-11.502992016077041,1.0201245546340942,270,0.012205209,0.00025,-0.007883196770853829,12.998662108182907,0.102490234375
-0.55893415,59392,29,86,690,6.330805778503418,0.04736757278442383,0.2,-11.507893204689026,1.0209773778915405,280,0.012676077,0.00025,-0.006438689507194795,12.85209292769432,0.133984375
-0.06959754,61440,30,88,690,3.340131998062134,-0.04621303081512451,0.2,-11.512974917888641,1.0207581520080566,290,0.010174492,0.00025,-0.007840720529202372,8.68412624001503,0.090869140625
-0.32036364,63488,31,91,691,3.174199342727661,0.042682945728302,0.2,-11.52050912976265,1.0225813388824463,300,0.010357427,0.00025,-0.008912866783794016,8.762260848283768,0.13603515625
-0.17011216,65536,32,94,693,5.041767120361328,0.03454148769378662,0.2,-11.532926970720291,1.023590087890625,310,0.011258966,0.00025,-0.008284596048179082,11.5726009786129,0.105517578125
0.27316815,67584,33,97,693,4.230688571929932,0.0630946159362793,0.2,-11.533068597316742,1.0223839282989502,320,0.01033139,0.00025,-0.009241626397124492,11.615293782949447,0.09755859375
-0.7975031,69632,34,100,694,8.067129135131836,0.04527568817138672,0.2,-11.53713231086731,1.0253819227218628,330,0.012315903,0.00025,-0.009970765150501392,15.745204716920853,0.102001953125
-0.13925044,71680,35,103,695,5.553611755371094,0.0007939934730529785,0.2,-11.54748540520668,1.0252747535705566,340,0.012496615,0.00025,-0.00949589065858163,12.125083649158478,0.136962890625
-0.5001811,73728,36,105,695,4.939651966094971,0.06166023015975952,0.2,-11.555450993776322,1.0278098583221436,350,0.00954834,0.00025,-0.009218656840675975,10.976283848285675,0.112451171875
0.35230836,75776,37,108,696,7.04157018661499,0.0428202748298645,0.2,-11.565070962905883,1.0261896848678589,360,0.011998712,0.00025,-0.009767652521259152,14.977335941791534,0.14208984375
0.18420945,77824,38,111,697,3.5754947662353516,0.0028343796730041504,0.2,-11.558740466833115,1.0275743007659912,370,0.011751289,0.00025,-0.008007191108481493,9.416874980926513,0.13974609375
0.7547932,79872,39,114,698,4.970557689666748,0.0844159722328186,0.2,-11.580067199468612,1.0312926769256592,380,0.017343009,0.00025,-0.006913846709358041,12.610769438743592,0.151025390625
0.41654122,81920,40,117,698,6.215663909912109,0.09930968284606934,0.2,-11.60786143541336,1.0343844890594482,390,0.013266414,0.00025,-0.013114557355584111,14.751059371232987,0.118505859375
