datetime,symbol,open,high,low,close,volume
2025-04-07 08:00:00,COINBASE:ETHUSD,1579.8,1580.75,1577.81,1579.04,529.71292726
2025-04-07 08:01:00,COINBASE:ETHUSD,1579.19,1585.23,1579.19,1581.83,306.67064742
2025-04-07 08:02:00,COINBASE:ETHUSD,1581.85,1582.23,1576.42,1577.85,333.82766168
2025-04-07 08:03:00,COINBASE:ETHUSD,1577.63,1579.09,1577.03,1577.8,210.52638387
2025-04-07 08:04:00,COINBASE:ETHUSD,1577.53,1578.48,1574.47,1574.62,524.2609523
2025-04-07 08:05:00,COINBASE:ETHUSD,1574.75,1579.78,1574.75,1575.51,749.9785432
2025-04-07 08:06:00,COINBASE:ETHUSD,1575.5,1580.55,1574.04,1576.11,1333.52287561
2025-04-07 08:07:00,COINBASE:ETHUSD,1575.95,1579.42,1574.4,1577.21,574.70957729
2025-04-07 08:08:00,COINBASE:ETHUSD,1576.89,1577.04,1574.86,1575.34,395.48575713
2025-04-07 08:09:00,COINBASE:ETHUSD,1575.07,1576.88,1574.69,1575.24,194.35411984
2025-04-07 08:10:00,COINBASE:ETHUSD,1574.87,1576.74,1574.73,1575.64,191.5628194
2025-04-07 08:11:00,COINBASE:ETHUSD,1575.62,1577.19,1572.26,1572.26,511.97492058
2025-04-07 08:12:00,COINBASE:ETHUSD,1572.09,1574.28,1569.73,1570.33,508.84816527
2025-04-07 08:13:00,COINBASE:ETHUSD,1570.59,1570.59,1566.37,1569.14,327.59377958
2025-04-07 08:14:00,COINBASE:ETHUSD,1568.97,1569.05,1565.73,1566.41,329.94363722
2025-04-07 08:15:00,COINBASE:ETHUSD,1566.65,1575.76,1566.54,1575.47,337.47688682
2025-04-07 08:16:00,COINBASE:ETHUSD,1575.26,1578.08,1573.69,1575.25,267.89306604
2025-04-07 08:17:00,COINBASE:ETHUSD,1574.95,1581.05,1574.68,1581.05,276.84131077
2025-04-07 08:18:00,COINBASE:ETHUSD,1581.0,1582.35,1576.86,1577.77,279.60438803
2025-04-07 08:19:00,COINBASE:ETHUSD,1577.76,1580.52,1575.18,1576.81,290.81449197
2025-04-07 08:20:00,COINBASE:ETHUSD,1577.15,1581.34,1573.34,1574.71,342.72444298
2025-04-07 08:21:00,COINBASE:ETHUSD,1574.77,1575.72,1573.0,1574.82,601.53715534
2025-04-07 08:22:00,COINBASE:ETHUSD,1574.99,1575.0,1569.66,1571.3,345.51363962
2025-04-07 08:23:00,COINBASE:ETHUSD,1571.12,1573.3,1569.17,1569.44,214.94441426
2025-04-07 08:24:00,COINBASE:ETHUSD,1569.21,1572.0,1568.11,1572.0,245.1864813
2025-04-07 08:25:00,COINBASE:ETHUSD,1572.19,1573.16,1569.5,1573.11,153.9290308
2025-04-07 08:26:00,COINBASE:ETHUSD,1573.16,1574.86,1571.42,1572.01,187.58700465
2025-04-07 08:27:00,COINBASE:ETHUSD,1571.89,1577.42,1571.02,1576.01,218.63116216
2025-04-07 08:28:00,COINBASE:ETHUSD,1576.21,1578.75,1575.85,1578.56,146.96820667
2025-04-07 08:29:00,COINBASE:ETHUSD,1578.64,1579.54,1578.13,1578.76,129.752712
2025-04-07 08:30:00,COINBASE:ETHUSD,1578.84,1579.91,1576.54,1576.8,174.64149854
2025-04-07 08:31:00,COINBASE:ETHUSD,1576.87,1576.87,1573.0,1576.29,110.03186222
2025-04-07 08:32:00,COINBASE:ETHUSD,1576.85,1580.48,1575.35,1576.33,167.20292083
2025-04-07 08:33:00,COINBASE:ETHUSD,1576.18,1577.69,1572.53,1573.97,303.41652023
2025-04-07 08:34:00,COINBASE:ETHUSD,1573.95,1575.04,1569.27,1571.51,162.87067482
2025-04-07 08:35:00,COINBASE:ETHUSD,1571.54,1571.94,1568.66,1570.49,266.22612278
2025-04-07 08:36:00,COINBASE:ETHUSD,1570.41,1572.73,1567.76,1569.59,417.75964347
2025-04-07 08:37:00,COINBASE:ETHUSD,1569.43,1572.71,1568.11,1571.53,182.02336246
2025-04-07 08:38:00,COINBASE:ETHUSD,1571.27,1572.7,1570.09,1571.74,105.2246484
2025-04-07 08:39:00,COINBASE:ETHUSD,1572.09,1574.33,1570.63,1573.52,188.19541962
2025-04-07 08:40:00,COINBASE:ETHUSD,1573.67,1573.67,1566.48,1566.89,238.64546928
2025-04-07 08:41:00,COINBASE:ETHUSD,1566.73,1569.63,1565.23,1568.0,636.88562726
