time/time_elapsed,train/actor_loss,train/learning_rate,time/episodes,train/reward,time/total_timesteps,time/fps,train/n_updates,train/critic_loss
63,-15.423221588134766,0.001,4,-0.405961,12680,200,12579,9.442259788513184
134,-9.192547798156738,0.001,8,-0.405961,25360,187,25259,0.3565117120742798
194,-6.281258583068848,0.001,12,-0.405961,38040,195,37939,0.7370430827140808
