date,daily_return
2023-04-05,0.0
2023-04-06,0.0013671844886361448
2023-04-10,0.0012296693375305804
2023-04-11,0.0054251526414030036
2023-04-12,-0.0030766584117697293
2023-04-13,0.007380634058492275
2023-04-14,-0.00906519556713552
2023-04-17,0.006012002578485916
2023-04-18,-9.511108271911627e-05
2023-04-19,-0.0015097999783574253
2023-04-20,-0.0025900028871478787
2023-04-21,-0.0034864497694579452
2023-04-24,-0.00018806919556447967
2023-04-25,-0.009971656533494206
2023-04-26,-0.004190729998093238
2023-04-27,0.011327958967982452
2023-04-28,0.006671368822034786
2023-05-01,-0.003923479990667703
2023-05-02,-0.0059332112707050294
2023-05-03,0.00025037603480467446
2023-05-04,0.0007037380742975563
2023-05-05,0.008470600281105264
2023-05-08,-0.0014681015321717685
2023-05-09,-0.00163683096464521
2023-05-10,0.002860282737257893
2023-05-11,-0.005612899916059627
2023-05-12,-0.003029779260852263
2023-05-15,0.0059000375667487715
2023-05-16,-0.01266597283947482
2023-05-17,0.0074263268308804265
2023-05-18,-0.0016888596735805807
2023-05-19,-0.000502837092052812
2023-05-22,0.003770722405522116
2023-05-23,-0.007249037353602325
2023-05-24,-0.010118320466158326
2023-05-25,-0.0024277782030521894
2023-05-26,0.009365032020922977
2023-05-30,-0.0002253954654518925
2023-05-31,-0.002797618711955734
2023-06-01,0.007439085799332227
2023-06-02,0.012425368262197391
2023-06-05,-0.002381016864698072
2023-06-06,0.007810018009079262
2023-06-07,0.0031385511867336943
2023-06-08,0.002531768228472188
2023-06-09,-0.002224395681213558
2023-06-12,0.0025915036695385004
2023-06-13,0.00448822567475746
2023-06-14,0.0012308311833522717
2023-06-15,0.007889393765678121
2023-06-16,-0.002894581852020936
2023-06-20,-0.010234518185619103
2023-06-21,-0.0024798364546305303
2023-06-22,-0.006815660227667109
2023-06-23,-0.008895828521388222
2023-06-26,0.006375576204171245
2023-06-27,0.007871874728621775
2023-06-28,-0.00010270850922759886
2023-06-29,0.00133975286019947
2023-06-30,0.006477963970095037
2023-07-03,0.004296315762099835
2023-07-05,-0.0036390574733597384
2023-07-06,-0.009287763345398997
2023-07-07,0.005049820561000836
2023-07-10,0.004749304023125036
2023-07-11,0.008546256824711858
2023-07-12,0.009859266415334328
2023-07-13,0.006014102150876808
2023-07-14,-0.0047763098414510576
2023-07-17,0.0011179157664772744
2023-07-18,0.0024831928965573366
2023-07-19,0.00308591002089053
2023-07-20,-0.004988779151743324
2023-07-21,-9.969521851181052e-05
2023-07-24,0.0034929935807165823
2023-07-25,0.0016303237200385207
2023-07-26,0.004181642255623489
2023-07-27,-0.012883478822579892
2023-07-28,0.009271599101782213
2023-07-31,0.003894631197185808
2023-08-01,-0.006766545392149404
2023-08-02,-0.010256136993696506
2023-08-03,-0.0026820448603521014
2023-08-04,-0.0010045428654205956
2023-08-07,0.003487443993482419
2023-08-08,-0.006196679047205059
2023-08-09,-0.0023663328569456374
2023-08-10,-0.0015485642636013943
2023-08-11,-0.002533459183145817
2023-08-14,-0.002092392051632164
2023-08-15,-0.008754865909773195
2023-08-16,-0.007636910918423753
2023-08-17,-0.00481727777986162
2023-08-18,0.0007226576354690288
2023-08-21,-0.0007509833380679642
2023-08-22,-0.0004160375725550015
2023-08-23,0.011612251848207314
2023-08-24,-0.005527872685053406
2023-08-25,0.0013661453473371556
2023-08-28,0.00667977757178188
2023-08-29,0.011456179109702487
2023-08-30,0.001883122606319656
2023-08-31,-0.0040315940075718705
2023-09-01,0.0038136726584420922
2023-09-05,-0.009741784915317919
2023-09-06,-0.003221154058676681
2023-09-07,-0.0022573798475731127
2023-09-08,-0.0006336488278519866
2023-09-11,0.0032610583807551373
2023-09-12,-0.0020193016545131852
2023-09-13,-0.004133168442863393
2023-09-14,0.007868949978591179
2023-09-15,-0.003777294021328041
2023-09-18,-0.002874177617021231
2023-09-19,-0.0031112383691917025
2023-09-20,-0.002507928226244182
2023-09-21,-0.017684448745264515
2023-09-22,0.0009111515774476249
2023-09-25,-0.0009514476997008711
2023-09-26,-0.011639136519243585
2023-09-27,-0.0018219241859077852
2023-09-28,0.002408554846618239
2023-09-29,-0.002050513520249552
2023-10-02,-0.01009876303589983
2023-10-03,-0.012112533219058676
2023-10-04,0.00378550730438325
2023-10-05,0.001185077039788581
2023-10-06,0.006932549251754997
2023-10-09,0.0071789448125817446
2023-10-10,0.006403811380718113
2023-10-11,0.006233596544096114
2023-10-12,-0.010612968587244318
2023-10-13,0.0029758827385358666
2023-10-16,0.006818198146626547
2023-10-17,0.0013462642247458363
2023-10-18,-0.010663496920754877
2023-10-19,-0.0074220312801419296
2023-10-20,-0.0066103524616279085
2023-10-23,-0.004537649774237355
2023-10-24,0.007156339857122414
2023-10-25,-0.01080530693062501
2023-10-26,0.0033318845050733896
2023-10-27,-0.003859413984459642
2023-10-30,0.004015573701510327
2023-10-31,0.0038725500227441536
2023-11-01,0.004039052103071165
2023-11-02,0.016958888289575022
2023-11-03,0.014949929294292818
2023-11-06,-0.006224147020969364
2023-11-07,-0.0017947917002274925
2023-11-08,-0.0030401442475872617
2023-11-09,-0.007894203464328349
2023-11-10,0.005082615027037808
2023-11-13,-0.0006033171799945348
2023-11-14,0.028518118288229668
2023-11-15,0.0021186426065368403
2023-11-16,-0.002277974685450819
2023-11-17,0.003011996544228292
2023-11-20,0.0048458081725671984
2023-11-21,-0.0020940768967782054
2023-11-22,0.0014265664429524876
2023-11-24,0.0030141936528149697
2023-11-27,0.0007372430491911437
2023-11-28,0.004654924752400379
2023-11-29,0.002282663534989229
