account_rewards,date
21364.06452000048,2024-07-31
-134467.77035999997,2024-08-01
-258139.5478800009,2024-08-02
70799.0915400004,2024-08-05
-31974.87382999994,2024-08-06
227055.8068800005,2024-08-07
-27808.130000000354,2024-08-08
-50873.53740999941,2024-08-09
44291.39056999935,2024-08-12
-65282.78000000026,2024-08-13
-37501.872289999854,2024-08-14
47786.235730000306,2024-08-15
20759.700000000186,2024-08-16
-15246.280000000726,2024-08-19
74306.12000000058,2024-08-20
-27768.831030000467,2024-08-21
130473.28000000026,2024-08-22
-42349.65345999971,2024-08-23
-115190.56405000016,2024-08-26
-14870.870000000112,2024-08-27
11291.240000000224,2024-08-28
-7592.9900000002235,2024-08-29
-57821.04000000004,2024-08-30
17284.080000000075,2024-09-03
-61591.50999999978,2024-09-04
-76889.38000000035,2024-09-05
107984.17000000039,2024-09-06
22119.72879999969,2024-09-09
-9969.839999999851,2024-09-10
29379.97999999998,2024-09-11
84645.37000000011,2024-09-12
-78501.00999999978,2024-09-13
70434.08999999939,2024-09-16
48351.18000000063,2024-09-17
43314.11633999925,2024-09-18
9074.479999999981,2024-09-19
6189.869999999646,2024-09-20
34034.01000000071,2024-09-23
-40364.59000000078,2024-09-24
69887.5718700001,2024-09-25
19507.08000000054,2024-09-26
-84473.75000000047,2024-09-27
-85344.96999999974,2024-09-30
-5292.949999999721,2024-10-01
2211.329999999609,2024-10-02
46000.657460000366,2024-10-03
2071.2500000004657,2024-10-04
-3565.400000000838,2024-10-07
-52536.27000000002,2024-10-08
-10561.44999999972,2024-10-09
79380.7200000002,2024-10-10
121562.56999999937,2024-10-11
34573.440000000875,2024-10-14
21131.50999999931,2024-10-15
-7457.8499999996275,2024-10-16
37184.130000000354,2024-10-17
-39517.72000000067,2024-10-18
1856.8000000002794,2024-10-21
-27301.459999999497,2024-10-22
53920.55999999959,2024-10-23
-55251.40000000037,2024-10-24
115100.91000000015,2024-10-25
