account_rewards,date
-125.96400000015274,2024-10-07
75.10499999986496,2024-10-08
-644.9609999998938,2024-10-09
2099.234999999986,2024-10-10
857.6960000001127,2024-10-11
14.51300000003539,2024-10-14
2693.500999999931,2024-10-15
-1409.8919999999925,2024-10-16
1454.2770000000019,2024-10-17
-5917.890999999945,2024-10-18
-1311.3050000000512,2024-10-21
-1641.1909999999916,2024-10-22
1359.9409999999916,2024-10-23
-2983.167999999947,2024-10-24
4383.040999999968,2024-10-25
-1513.2550000000047,2024-10-28
78.83600000001024,2024-10-29
-9096.219819999998,2024-10-30
-2539.79999999993,2024-10-31
3937.609999999986,2024-11-01
10800.589999999967,2024-11-04
11591.23999999999,2024-11-05
-1012.1227200001013,2024-11-06
175.64500000001863,2024-11-07
367.4109999999637,2024-11-08
-1774.8020000000251,2024-11-11
-426.2299999999814,2024-11-12
-2078.137999999919,2024-11-13
-1749.7339999999385,2024-11-14
1468.548000000068,2024-11-15
1438.329999999958,2024-11-18
896.14300000004,2024-11-19
4442.037000000011,2024-11-20
5199.587000000058,2024-11-21
7261.1089999999385,2024-11-22
-2230.5010000000475,2024-11-25
1214.6660000000848,2024-11-26
1395.5749999999534,2024-11-27
-3883.521999999997,2024-11-29
-1861.2829999999376,2024-12-02
1906.0953399998834,2024-12-03
-3839.446059999871,2024-12-04
1434.4000000000233,2024-12-05
-1290.7700000000186,2024-12-06
-7660.839999999967,2024-12-09
2216.4399999998277,2024-12-10
-4739.139999999898,2024-12-11
-2951.179999999935,2024-12-12
573.4599999999627,2024-12-13
-5943.910000000033,2024-12-16
-28086.56999999995,2024-12-17
-4813.449999999953,2024-12-18
6394.780000000028,2024-12-19
-2532.5100000001257,2024-12-20
5045.260000000009,2024-12-23
2191.0500000000466,2024-12-24
-6996.739999999991,2024-12-26
-4354.510000000009,2024-12-27
1413.3499999999767,2024-12-30
-2029.5999999998603,2024-12-31
8237.179999999935,2025-01-02
-1577.2100000000792,2025-01-03
-5981.260000000009,2025-01-06
