date,agg,bil,btcusd,gld,spy,vb,vnq,vo,vwo
2024-10-09,0,91,0,100,40,0,100,0,55
2024-10-10,0,88,0,28,100,83,-12,0,-17
2024-10-11,100,-39,0,-32,34,6,-72,100,-38
2024-10-14,-86,-100,0,100,36,-38,61,-100,0
2024-10-15,100,-40,12,66,-100,3,-77,0,72
2024-10-16,8,98,-8,75,76,-36,0,0,-53
2024-10-17,58,43,-4,13,-100,100,0,0,100
2024-10-18,-100,32,12,86,-86,-67,0,0,-100
2024-10-21,76,-20,0,-100,100,0,0,0,1
2024-10-22,0,-96,0,0,0,40,2,0,-20
2024-10-23,-27,100,1,-28,-100,-41,-2,0,12
2024-10-24,-100,-100,0,73,11,-50,0,0,-12
2024-10-25,0,0,0,0,0,0,0,28,0
2024-10-28,0,0,0,0,-2,36,0,-28,0
2024-10-29,0,2,0,-92,-9,100,0,0,100
2024-10-30,2,-59,0,0,1,0,0,0,100
2024-10-31,4,100,-1,30,23,100,59,0,-95
2024-11-01,57,66,-12,-66,-24,70,26,0,-100
2024-11-04,16,16,0,-13,0,-100,-85,27,100
2024-11-05,0,100,0,-10,0,100,18,-22,-58
2024-11-06,-108,-282,0,-230,0,-306,-18,-5,-47
2024-11-07,0,0,1,91,0,0,0,0,60
2024-11-08,0,0,11,100,0,0,73,100,-60
2024-11-11,0,100,0,-46,9,0,-73,90,0
2024-11-12,96,36,-12,53,49,56,72,77,54
2024-11-13,-51,100,0,100,-31,76,72,-41,73
2024-11-14,8,0,0,-3,5,100,89,-59,-63
2024-11-15,-23,100,9,-21,100,45,100,0,100
2024-11-18,-30,100,1,-10,-100,10,-26,-100,-68
2024-11-19,100,75,-10,-40,11,-20,-28,100,40
2024-11-20,-71,-73,9,-100,-43,0,52,100,51
2024-11-21,-29,-100,-9,83,0,-100,100,100,-4
2024-11-22,100,-34,0,62,0,-56,51,68,42
2024-11-25,-100,-33,9,-100,69,-76,100,87,-45
2024-11-26,0,30,-9,-32,-54,62,5,-100,-21
2024-11-27,61,-3,0,-98,-5,-97,100,-100,100
2024-11-29,-14,18,0,44,38,0,-78,-41,100
2024-12-02,1,-48,9,89,-48,100,100,22,-100
2024-12-03,-48,85,0,100,57,-56,-100,100,-21
2024-12-04,0,12,-9,36,100,-44,-47,74,61
2024-12-05,100,100,0,100,-100,12,11,-33,-73
2024-12-06,-100,-42,7,-92,100,96,100,-3,15
2024-12-09,0,41,1,7,-70,100,51,-50,91
2024-12-10,87,-100,-8,100,-7,-85,53,100,-72
2024-12-11,100,26,0,100,-80,100,60,25,-35
2024-12-12,100,7,7,-100,73,-29,-100,-79,100
2024-12-13,2,56,0,100,-45,-12,-100,100,97
2024-12-16,100,65,-7,100,-28,-3,-43,-28,100
2024-12-17,100,61,6,51,56,-46,-61,7,100
2024-12-18,3,-59,0,59,-35,76,-33,-51,97
2024-12-19,20,-57,0,-73,-21,-100,100,10,-56
2024-12-20,-100,-96,1,-63,0,35,-27,-67,-61
2024-12-23,-100,0,0,-100,0,96,-46,-33,17
2024-12-24,8,95,-7,100,0,-100,-100,12,100
2024-12-26,-30,-49,7,-100,100,-100,82,-33,-15
2024-12-27,100,-100,1,59,-100,89,0,-35,-100
2024-12-30,-40,-60,-8,-14,0,100,-86,-100,-70
2024-12-31,-100,-100,7,40,82,100,24,67,-27
2025-01-02,3,100,0,-100,64,100,0,-1,1
2025-01-03,-100,72,-7,84,100,-100,14,14,-68
2025-01-06,-41,-14,6,100,-61,-100,2,100,-100
2025-01-07,100,-12,1,-3,-100,-100,100,36,-86
