date,agg,bil,btcusd,gld,spy,vb,vnq,vo,vwo
2023-01-27,7,-74,-56,0,-23,0,17,100,39
2023-01-30,-7,-12,0,0,28,46,13,-100,100
2023-01-31,0,17,0,100,-26,100,100,0,100
2023-02-01,0,-17,0,-100,-2,-146,-130,0,-239
2023-02-02,0,0,0,0,0,100,26,0,100
2023-02-03,0,0,49,0,55,38,53,0,-7
2023-02-06,0,0,3,0,-55,100,38,100,-75
2023-02-07,0,0,-52,0,0,67,-3,-100,-16
2023-02-08,0,58,25,0,57,-100,-51,0,100
2023-02-09,0,60,-25,0,6,0,-23,0,26
2023-02-10,0,-68,0,36,8,50,63,0,100
2023-02-13,0,-16,0,-36,21,100,6,0,14
2023-02-14,0,-30,0,0,100,100,-35,0,100
2023-02-15,43,9,0,0,100,-33,-74,49,100
2023-02-16,-24,-13,2,84,24,-77,0,-15,38
2023-02-17,-19,0,-2,8,-7,-7,0,100,77
2023-02-21,63,0,39,17,100,-100,17,-100,100
2023-02-22,-63,0,5,-86,-100,-100,-17,-34,100
2023-02-23,86,0,-44,-23,-38,37,0,0,57
2023-02-24,-86,0,21,50,100,-3,0,0,72
2023-02-27,100,5,19,-50,100,100,0,0,100
2023-02-28,-100,-5,-34,0,1,-3,0,0,22
2023-03-01,0,0,-6,0,100,56,0,0,100
2023-03-02,36,0,36,21,-54,77,0,0,53
2023-03-03,-36,0,-36,-21,-100,78,0,0,100
2023-03-06,0,0,0,0,37,-31,2,0,100
2023-03-07,0,0,0,1,-68,-79,-2,0,100
2023-03-08,81,37,0,14,-100,-40,0,0,100
2023-03-09,-81,-3,0,-15,2,49,6,0,100
2023-03-10,0,-34,0,0,-27,100,-6,88,94
2023-03-13,0,0,0,0,-262,-479,0,-88,-1755
2023-03-14,100,0,23,0,100,75,0,0,100
2023-03-15,-100,17,-13,88,41,76,0,0,100
2023-03-16,0,24,-10,100,38,74,82,0,100
2023-03-17,0,-41,38,-13,-100,2,-62,0,39
2023-03-20,0,0,1,-52,-79,78,-20,0,45
2023-03-21,0,0,1,-92,0,9,0,0,-100
2023-03-22,0,51,-40,-31,0,20,0,0,-16
2023-03-23,0,-9,0,85,0,100,46,0,-24
2023-03-24,100,-42,0,-85,99,-100,-46,0,100
2023-03-27,-50,11,38,0,-27,33,0,0,100
2023-03-28,-31,-11,1,0,-59,18,100,0,100
2023-03-29,-16,100,0,0,-13,2,-91,0,85
2023-03-30,100,-100,-39,5,0,23,-9,0,65
2023-03-31,-100,0,0,-5,100,100,0,0,72
2023-04-03,-3,0,0,0,-100,-510,0,0,-766
2023-04-04,0,0,0,49,93,0,33,0,100
2023-04-05,0,100,0,-49,-55,56,-33,0,100
2023-04-06,0,-85,0,43,100,70,0,0,100
2023-04-10,0,-15,0,-22,4,74,0,0,100
2023-04-11,0,31,0,-21,-100,100,0,0,96
2023-04-12,0,-31,0,0,-42,75,0,53,-72
2023-04-13,0,34,0,0,100,100,15,15,38
2023-04-14,0,-34,0,17,-14,100,-15,6,100
2023-04-17,0,88,33,19,100,-100,0,-74,100
2023-04-18,0,-59,-33,-36,-85,100,31,0,-3
2023-04-19,42,58,10,0,62,-65,-31,0,100
2023-04-20,-42,76,-10,44,100,-25,0,0,100
2023-04-21,0,-15,0,95,-100,-100,0,0,100
2023-04-24,0,-100,0,-56,-41,-100,0,0,100
2023-04-25,100,66,0,-66,14,100,72,0,100
2023-04-26,-100,-100,0,-17,0,-41,-72,0,100
