account_rewards,date
1.2405600000638515,2023-04-05
-126.75959999999031,2023-04-06
15350.857870000065,2023-04-10
-9663.848829999799,2023-04-11
15585.06286999979,2023-04-12
1569.0295500000939,2023-04-13
-102.23508000012953,2023-04-14
-2.2664400000358,2023-04-17
-281.77277999999933,2023-04-18
-276.924750000122,2023-04-19
-671.1979000000283,2023-04-20
7983.5299900004175,2023-04-21
26201.5824099998,2023-04-24
-1263.8474199997727,2023-04-25
1526.9761000000872,2023-04-26
-4766.638169999933,2023-04-27
-1320.4651299999095,2023-04-28
18863.912310000043,2023-05-01
-681.2184399999678,2023-05-02
164.11533000017516,2023-05-03
-449.1091299999971,2023-05-04
-127.15792000014335,2023-05-05
-2729.647870000219,2023-05-08
-695.4071499998681,2023-05-09
-1303.9570599999279,2023-05-10
-7191.65466,2023-05-11
8895.841360000428,2023-05-12
-2773.631690000184,2023-05-15
1583.9735400001518,2023-05-16
-8786.736560000107,2023-05-17
1590.1710700001568,2023-05-18
-679.8828300000168,2023-05-19
9093.725039999932,2023-05-22
-28167.633549999795,2023-05-23
4719.542429999914,2023-05-24
8830.085669999826,2023-05-25
-281.6703299996443,2023-05-26
-13603.36269999994,2023-05-30
916.9253099998459,2023-05-31
11131.992680000258,2023-06-01
-662.7595900000306,2023-06-02
789.4538900002372,2023-06-05
-27876.311819999828,2023-06-06
5622.016309999977,2023-06-07
-1384.5598800000735,2023-06-08
-16523.792780000134,2023-06-09
-1066.740340000135,2023-06-12
-22.43122000002768,2023-06-13
1393.9232599999523,2023-06-14
4643.845949999755,2023-06-15
21171.291640000185,2023-06-16
-1001.8627799998503,2023-06-20
-2227.173930000048,2023-06-21
-602.5803900000174,2023-06-22
254.70287000003736,2023-06-23
1246.5913700000383,2023-06-26
-443.4171999999089,2023-06-27
228.474309999845,2023-06-28
1736.5385800000513,2023-06-29
294.86023999983445,2023-06-30
-1115.9794699999038,2023-07-03
-1980.3128200001083,2023-07-05
1744.5747499999125,2023-07-06
