date,agg,bil,btcusd,gld,spy,vb,vnq,vo,vwo
2024-07-11,0,59,0,100,0,55,93,97,100
2024-07-12,100,100,0,-100,0,-55,45,44,11
2024-07-15,10,-93,13,21,21,0,31,100,-100
2024-07-16,0,1,0,10,100,0,0,-58,100
2024-07-17,0,-60,0,0,0,0,-67,28,100
2024-07-18,0,0,0,0,0,0,0,0,1
2024-07-19,80,100,-13,100,100,100,100,0,100
2024-07-22,100,-37,0,100,-100,-100,-52,29,-50
2024-07-23,68,25,12,-88,-100,57,90,22,-100
2024-07-24,-75,100,-12,100,49,93,100,100,68
2024-07-25,-22,100,0,7,-70,82,100,100,-81
2024-07-26,-11,100,0,-100,0,-53,-93,100,50
2024-07-29,-23,31,0,-40,0,37,44,80,-100
2024-07-30,-100,15,0,100,25,100,-56,3,100
2024-07-31,49,100,0,57,-25,65,25,100,100
2024-08-01,-48,96,0,-100,0,100,100,65,60
2024-08-02,-100,100,0,96,0,80,-100,100,-57
2024-08-05,-28,-82,8,100,70,-100,-55,100,46
2024-08-06,0,33,-8,100,-70,58,100,100,100
2024-08-07,0,41,0,-100,0,10,88,78,64
2024-08-08,0,5,0,30,0,-100,39,63,-13
2024-08-09,0,100,0,100,0,12,100,100,100
2024-08-12,70,63,0,47,0,-10,100,100,43
2024-08-13,-66,26,4,100,0,-100,100,20,-100
2024-08-14,-4,0,0,0,0,0,1,67,100
2024-08-15,0,100,-4,74,100,81,29,44,100
2024-08-16,0,51,0,100,66,-100,100,-14,100
2024-08-19,100,100,0,100,19,-100,1,100,100
2024-08-20,-100,0,0,0,0,0,0,22,100
2024-08-21,0,100,0,-60,0,46,100,-77,100
2024-08-22,0,0,0,0,-16,0,2,17,100
2024-08-23,0,0,0,0,0,-100,-46,90,100
2024-08-26,0,0,0,-32,0,0,31,0,100
2024-08-27,0,0,0,0,0,-40,1,36,0
2024-08-28,0,0,0,0,-13,-100,3,100,100
2024-08-29,0,0,0,0,0,-1,0,0,5
2024-08-30,0,0,0,0,0,-17,0,0,89
2024-09-03,0,0,0,0,0,0,0,0,0
2024-09-04,0,0,0,0,0,0,0,0,0
2024-09-05,0,0,0,-71,0,0,2,47,100
2024-09-06,0,0,0,0,0,0,0,0,0
2024-09-09,0,-83,0,0,0,0,2,12,100
2024-09-10,0,0,0,0,0,0,0,0,0
2024-09-11,0,-8,0,0,-23,0,2,35,100
2024-09-12,94,100,0,0,-74,0,100,33,100
2024-09-13,-94,0,0,0,0,0,52,0,100
2024-09-16,0,-6,0,0,0,0,0,0,12
2024-09-17,0,0,0,0,-5,0,0,0,63
2024-09-18,0,0,0,0,0,0,0,0,0
2024-09-19,0,0,0,0,0,0,-4,0,8
2024-09-20,0,0,0,0,0,0,0,0,0
2024-09-23,0,0,0,0,0,0,0,0,0
2024-09-24,0,0,0,0,0,0,0,0,0
2024-09-25,0,0,0,0,0,0,0,0,0
2024-09-26,0,1,0,0,0,0,36,-32,100
2024-09-27,0,0,0,0,0,0,0,0,0
2024-09-30,0,0,0,0,0,0,0,0,0
2024-10-01,0,0,0,0,0,0,0,0,0
2024-10-02,0,0,0,-77,0,0,0,53,100
2024-10-03,0,100,0,100,-54,0,-72,-92,100
2024-10-04,0,-8,0,0,0,0,0,71,100
2024-10-07,0,-71,0,0,0,0,0,6,100
