date,agg,bil,btcusd,gld,spy,vb,vnq,vo,vwo
2025-01-07,29,0,9,0,92,50,18,74,48
2025-01-08,99,0,0,0,46,-6,0,0,-25
2025-01-10,0,0,0,0,0,0,2,3,-23
2025-01-13,0,0,0,0,18,-44,1,0,0
2025-01-14,-48,0,0,0,0,0,0,17,0
2025-01-15,-34,0,0,0,0,0,-21,19,0
2025-01-16,0,0,0,0,0,0,0,0,0
2025-01-17,49,0,-9,0,90,0,0,75,0
2025-01-21,40,0,7,0,89,0,94,82,11
2025-01-22,62,0,-7,0,82,20,87,79,-11
2025-01-23,-42,0,0,0,94,81,89,87,0
2025-01-24,48,0,4,0,88,-14,93,-53,0
2025-01-27,-66,0,0,0,46,50,36,62,41
2025-01-28,81,0,-4,0,92,77,87,58,-41
2025-01-29,-29,0,3,0,72,-64,88,-59,0
2025-01-30,0,0,0,0,0,0,4,0,0
2025-01-31,0,0,0,0,0,0,0,0,0
2025-02-03,0,0,0,0,0,0,0,0,0
2025-02-04,-54,0,-3,0,95,46,-84,87,0
2025-02-05,-82,0,2,0,3,2,0,92,0
2025-02-06,-53,0,-2,0,93,1,75,71,27
2025-02-07,58,0,0,0,51,-70,68,76,62
2025-02-10,76,0,0,0,29,19,-23,-52,55
2025-02-11,96,0,0,0,73,-9,4,0,-62
2025-02-12,-22,0,0,0,0,8,1,0,1
2025-02-13,0,0,0,0,0,0,1,12,-75
2025-02-14,1,0,0,0,0,-66,-18,65,-1
2025-02-18,0,0,0,0,0,0,4,0,-7
2025-02-19,0,0,0,0,32,-81,0,0,10
2025-02-20,-37,0,0,0,0,0,-90,44,-10
2025-02-21,2,0,0,0,0,0,0,0,0
2025-02-24,0,0,0,0,0,0,0,0,0
2025-02-25,0,0,0,0,0,0,0,0,0
2025-02-26,0,0,0,0,0,0,0,0,0
2025-02-27,0,0,0,0,0,0,0,0,1
2025-02-28,-83,0,0,0,0,0,-16,36,-1
2025-03-03,0,0,0,0,0,0,0,0,0
2025-03-04,24,0,0,0,0,0,-26,0,0
2025-03-05,-30,0,0,0,17,0,-77,1,0
2025-03-06,1,0,0,0,0,0,0,0,0
2025-03-07,2,0,0,0,2,0,-18,1,0
2025-03-10,-10,0,0,0,1,1,0,1,0
2025-03-11,0,0,0,0,9,-1,-59,2,0
2025-03-12,0,0,0,0,0,0,0,0,0
2025-03-13,0,0,0,0,0,0,0,0,0
2025-03-14,-66,0,0,0,0,0,0,25,1
2025-03-17,-12,0,0,0,2,0,1,0,-1
2025-03-18,0,0,0,0,0,0,0,0,0
2025-03-19,0,0,0,0,0,0,0,0,0
2025-03-20,0,0,0,0,0,0,0,0,0
2025-03-21,0,0,0,0,0,0,0,0,0
2025-03-24,0,0,0,0,0,0,0,0,0
2025-03-25,0,0,0,0,0,0,0,0,0
2025-03-26,0,0,0,0,0,0,0,0,0
2025-03-27,23,0,0,0,-4,0,0,0,0
2025-03-28,0,0,0,0,0,0,0,0,0
2025-03-31,0,0,0,0,0,0,34,-12,1
2025-04-01,-19,0,0,0,3,0,2,0,-1
2025-04-02,0,0,0,0,4,0,4,-10,0
2025-04-03,0,0,0,0,0,0,0,0,0
2025-04-04,-4,0,0,0,-1219,0,-361,-883,0
2025-04-07,2,0,0,0,74,93,87,4,0
2025-04-08,0,0,10,0,27,-56,1,99,0
