date,agg,bil,btcusd,gld,spy,vb,vnq,vo,vwo
2024-07-08,0,-80,0,-98,92,-70,91,-72,57
2024-07-09,0,-95,0,-89,37,-13,85,-4,94
2024-07-10,0,-73,0,-94,72,-96,92,0,0
2024-07-11,0,-87,0,-86,83,-86,1,0,0
2024-07-12,0,-51,0,-90,53,-42,0,0,98
2024-07-15,0,0,0,-88,13,0,94,0,88
2024-07-16,0,0,0,-97,39,0,2,0,1
2024-07-17,0,0,0,-70,13,0,95,0,2
2024-07-18,0,0,0,-8,0,0,20,0,1
2024-07-19,0,0,0,-72,6,0,94,0,93
2024-07-22,0,0,0,-39,0,0,89,0,19
2024-07-23,0,0,0,-95,23,0,90,0,7
2024-07-24,0,5,0,-88,12,0,97,0,90
2024-07-25,0,-5,0,-96,39,0,5,0,0
2024-07-26,0,0,0,-28,0,0,68,0,1
2024-07-29,0,0,0,-89,20,0,94,0,5
2024-07-30,0,0,0,-42,17,0,1,0,1
2024-07-31,0,0,0,-83,11,0,90,1,93
2024-08-01,0,0,0,-88,14,0,93,-1,95
2024-08-02,0,0,0,-58,24,0,3,0,0
2024-08-05,0,0,0,-96,41,0,0,0,3
2024-08-06,0,0,0,-89,20,0,96,0,11
2024-08-07,0,0,0,-95,40,0,0,0,4
2024-08-08,0,0,0,-74,31,0,1,0,0
2024-08-09,0,0,0,-96,17,0,92,0,93
2024-08-12,0,0,0,-91,32,0,0,0,84
2024-08-13,0,0,0,-87,36,0,3,0,1
2024-08-14,0,0,0,-93,15,0,91,0,93
2024-08-15,0,0,0,-82,26,0,5,0,94
2024-08-16,0,0,0,-15,0,0,0,0,78
2024-08-19,0,0,0,0,0,0,0,0,0
2024-08-20,0,0,0,-81,18,0,92,0,6
2024-08-21,0,0,0,-99,40,0,5,0,1
2024-08-22,0,0,0,-98,17,0,90,0,96
2024-08-23,0,0,0,-96,25,0,90,0,1
2024-08-26,0,0,0,-9,3,0,4,0,0
2024-08-27,0,0,0,-70,5,0,91,0,98
2024-08-28,0,0,0,-96,18,0,89,0,94
2024-08-29,0,0,0,-81,17,0,95,0,9
2024-08-30,0,0,0,-7,0,0,17,0,0
2024-09-03,0,0,0,-73,30,0,0,0,5
2024-09-04,0,0,0,-73,6,0,95,0,97
2024-09-05,0,0,0,-68,5,0,94,0,90
2024-09-06,0,0,0,-92,16,0,91,1,87
2024-09-09,0,0,0,-96,41,0,2,-1,0
2024-09-10,0,0,0,-77,15,0,99,0,0
2024-09-11,0,0,0,-80,16,0,96,0,7
2024-09-12,0,0,0,-70,7,0,88,0,91
2024-09-13,0,0,0,-86,36,0,2,0,1
2024-09-16,0,0,0,-76,10,0,79,0,94
2024-09-17,0,0,0,-79,17,0,93,0,10
2024-09-18,0,0,0,-73,30,0,0,0,8
2024-09-19,0,0,0,-69,28,0,4,0,2
2024-09-20,0,0,0,-80,10,0,97,0,83
2024-09-23,0,0,0,-82,11,0,98,0,94
2024-09-24,0,0,0,-86,14,0,86,0,96
2024-09-25,0,0,0,-30,0,0,30,0,95
2024-09-26,0,0,0,-99,18,0,98,0,93
2024-09-27,0,0,0,-67,4,0,94,0,98
2024-09-30,0,0,0,-98,18,0,92,0,95
2024-10-01,0,0,0,-42,2,0,97,0,2
2024-10-02,0,0,0,-89,23,0,91,0,0
