date,agg,bil,btcusd,gld,spy,vb,vnq,vo,vwo
2024-01-05,53,100,20,0,100,51,100,100,0
2024-01-08,0,1,0,0,0,82,0,-23,2
2024-01-09,-28,-100,-20,30,-86,100,2,-77,-2
2024-01-10,30,100,18,99,-2,20,-70,26,0
2024-01-11,100,100,1,61,-12,-90,-32,100,32
2024-01-12,-30,-26,0,0,91,0,0,-94,0
2024-01-16,0,-3,0,-100,58,0,0,-32,-32
2024-01-17,-100,41,-19,26,-85,-49,0,0,0
2024-01-18,-25,48,21,-100,5,-100,15,100,0
2024-01-19,0,35,0,25,-69,-14,-15,6,0
2024-01-22,0,100,-8,-41,0,0,0,51,0
2024-01-23,0,100,7,70,23,0,0,100,0
2024-01-24,0,1,0,0,-23,0,0,49,0
2024-01-25,0,81,-6,100,4,0,0,8,100
2024-01-26,0,93,3,0,100,0,0,100,-16
2024-01-29,0,-45,-11,-58,-99,0,0,45,-67
2024-01-30,0,98,11,100,0,0,100,100,-17
2024-01-31,0,0,0,0,-5,0,29,0,0
2024-02-01,2,-97,0,-31,94,0,-100,-99,0
2024-02-02,2,-2,0,-38,-48,0,-29,92,0
2024-02-05,-4,100,-17,100,-46,0,0,61,0
2024-02-06,75,100,14,40,100,0,0,100,0
2024-02-07,-75,29,-8,-67,45,40,0,100,0
2024-02-08,0,100,7,-75,13,-40,0,100,0
2024-02-09,39,65,-13,100,-100,97,38,-84,34
2024-02-12,0,100,11,24,100,-44,-38,100,100
2024-02-13,-39,4,0,-55,43,-29,0,0,-41
2024-02-14,0,-28,0,0,0,0,76,0,-93
2024-02-15,0,-30,1,-34,-42,-24,18,-100,0
2024-02-16,0,-85,0,-93,-61,100,-94,98,0
2024-02-20,3,100,0,0,60,-54,0,-15,0
2024-02-21,33,-100,0,94,-100,45,0,-10,0
2024-02-22,-12,5,1,0,0,-91,0,-1,0
2024-02-23,-24,100,-13,-100,-58,1,0,100,28
2024-02-26,0,100,10,-22,100,-1,0,100,-28
2024-02-27,0,100,1,-55,-100,15,0,46,0
2024-02-28,0,97,0,0,0,-15,0,100,0
2024-02-29,0,-42,-7,4,0,0,0,-100,0
2024-03-01,0,100,6,100,100,0,0,9,0
2024-03-04,17,-9,-10,-97,-89,0,0,-100,0
2024-03-05,-17,100,11,7,100,0,100,0,0
2024-03-06,0,1,0,0,17,0,-100,0,0
2024-03-07,0,1,0,1,-100,100,0,100,100
2024-03-08,100,-15,0,97,-28,-60,0,-61,100
2024-03-11,0,0,0,1,0,46,0,0,0
2024-03-12,27,88,0,-57,0,18,0,-6,-100
2024-03-13,-100,-16,0,58,0,-100,0,100,-100
2024-03-14,-12,96,0,-100,4,3,0,10,100
2024-03-15,-15,100,-2,23,0,-7,0,-100,100
2024-03-18,0,100,-9,100,100,0,100,100,-100
2024-03-19,0,100,10,64,0,0,-100,100,-94
2024-03-20,0,0,0,2,15,73,0,-100,1
2024-03-21,0,75,1,0,-100,0,0,-81,-7
2024-03-22,21,100,0,-67,-19,-11,0,27,100
2024-03-25,-21,100,0,3,0,0,0,0,-98
2024-03-26,0,0,0,1,0,0,0,0,-2
2024-03-27,0,93,-11,95,0,-45,0,-7,24
2024-03-28,0,100,9,100,0,-11,0,100,-24
2024-04-01,0,100,0,1,38,-6,0,100,100
2024-04-02,0,-100,0,-100,-11,100,0,34,100
2024-04-03,100,-73,0,94,-27,-49,0,-32,17
2024-04-04,-100,0,0,0,0,-4,0,85,1
2024-04-05,0,-29,0,27,0,0,1,0,-77
