account_value,date,daily_return
1000000.0,2024-07-11,
1000336.4884400001,2024-07-12,0.0003364884400001156
1000310.9278200001,2024-07-15,-2.5552022040020717e-05
1005176.0273300002,2024-07-16,0.004863587285408144
990660.2568900003,2024-07-17,-0.014441023308681022
988203.8535100003,2024-07-18,-0.002479561850711076
1022656.5891500001,2024-07-19,0.034863996449343126
1024049.5052200003,2024-07-22,0.0013620565151375441
1023586.5107800004,2024-07-23,-0.00045212115004189535
1013647.1773300001,2024-07-24,-0.009710301323164416
1012096.4438200002,2024-07-25,-0.0015298553033853413
1015699.7710900002,2024-07-26,0.003560260775544055
1015747.4532600001,2024-07-29,4.6945142016419084e-05
1016892.1054500001,2024-07-30,0.0011269062859338153
1019575.4873600001,2024-07-31,0.002638806905490343
1014330.8391200001,2024-08-01,-0.005143952855889089
1007220.4363400002,2024-08-02,-0.0070099443946402
996262.4115700002,2024-08-05,-0.01087947024766378
1016331.8617700004,2024-08-06,0.020144742958206008
1012694.7288200003,2024-08-07,-0.0035786863393870716
1023233.4249700003,2024-08-08,0.010406587345704654
1024491.7144400001,2024-08-09,0.0012297188884704546
1023734.3124000004,2024-08-12,-0.0007392954275025065
1029795.7185000002,2024-08-13,0.00592087812880826
1021507.0925400003,2024-08-14,-0.008048806002100117
1024455.1985900002,2024-08-15,0.002886035810744314
1029523.5448000003,2024-08-16,0.004947357597458568
1034864.4140900003,2024-08-19,0.005187709709968402
1032411.6204100003,2024-08-20,-0.00237015945915664
1037822.9419300002,2024-08-21,0.005241438020477718
1032438.0025100003,2024-08-22,-0.005188687975991146
1045297.7373900003,2024-08-23,0.01245569695103832
1044515.3469100002,2024-08-26,-0.0007484857682306112
1045266.6536500002,2024-08-27,0.0007192874113555181
1040568.0046500002,2024-08-28,-0.004495167796267685
1043148.9672200002,2024-08-29,0.002480340120459612
1047709.0822500002,2024-08-30,0.004371489761575198
1035409.2340300004,2024-09-03,-0.011739755270218089
1034666.0740300003,2024-09-04,-0.0007177451925048928
1033282.0740300004,2024-09-05,-0.0013376296321471193
1023834.3019200003,2024-09-06,-0.009143458836125773
1032341.9219200002,2024-09-09,0.008309567264981776
1035380.4317900003,2024-09-10,0.0029433173307047422
1037864.9917900002,2024-09-11,0.002399659027459755
1045943.6247300003,2024-09-12,0.007783895789824191
1054370.3898000005,2024-09-13,0.008056614974994991
1058346.7409600003,2024-09-16,0.0037713038970623725
1057960.57556,2024-09-17,-0.00036487607043600434
1054311.3953700003,2024-09-18,-0.003449259144716388
1066524.7353700004,2024-09-19,0.011584186658358142
1067210.2990500003,2024-09-20,0.0006428014815447192
1072401.87905,2024-09-23,0.004864626966794905
1079638.2390500002,2024-09-24,0.006747806154918878
1074364.68905,2024-09-25,-0.004884552815247245
1078588.6790500002,2024-09-26,0.003931616557256046
1077714.1408400002,2024-09-27,-0.0008108171604120917
1077742.65084,2024-09-30,2.645413929291962e-05
1076272.0708400002,2024-10-01,-0.0013645001418971514
1078211.8908400002,2024-10-02,0.0018023509599074394
1073280.4652300002,2024-10-03,-0.004573707312908737
1078154.1889100003,2024-10-04,0.004540960017338724
1073432.7017400002,2024-10-07,-0.004379231856227794
1070136.4941500002,2024-10-08,-0.003070716575577559
