date,agg,bil,btcusd,gld,spy,vb,vnq,vo,vwo
2023-04-05,100,24,0,0,0,0,34,0,30
2023-04-06,-100,35,0,100,100,0,100,0,-30
2023-04-10,0,100,28,26,100,100,27,0,0
2023-04-11,0,76,1,-63,-52,0,100,0,100
2023-04-12,3,-100,0,-63,34,72,-67,0,-29
2023-04-13,77,0,0,100,-48,-100,-100,96,0
2023-04-14,77,100,-29,51,85,100,6,100,-50
2023-04-17,-100,67,0,-91,49,-100,87,-36,100
2023-04-18,-57,-100,0,97,-69,-72,-100,-100,17
2023-04-19,0,-29,0,34,-72,0,10,-60,30
2023-04-20,0,-4,0,100,-100,100,26,0,26
2023-04-21,32,-100,34,-32,-27,-65,83,19,-68
2023-04-24,-32,15,0,-32,8,100,-100,-19,36
2023-04-25,0,100,-32,-62,15,73,-60,0,-100
2023-04-26,0,86,-2,96,62,73,4,19,28
2023-04-27,0,100,31,-65,-85,34,88,-19,-90
2023-04-28,0,-11,-31,-100,14,-100,100,0,100
2023-05-01,0,5,33,100,-14,-36,-80,0,55
2023-05-02,0,-69,-33,74,19,-100,22,0,-15
2023-05-03,0,17,0,-100,-19,-79,-83,100,100
2023-05-04,1,-27,0,100,0,44,-39,-100,100
2023-05-05,49,39,0,-100,0,84,44,22,-100
2023-05-08,-50,100,35,-85,0,-100,-100,38,100
2023-05-09,0,-3,0,-57,63,1,-2,0,-100
2023-05-10,2,-100,-35,99,-14,-29,6,-60,100
2023-05-11,100,30,33,100,92,81,-6,1,-35
2023-05-12,-100,-1,-10,51,66,35,100,27,13
2023-05-15,-2,100,-23,100,32,43,-93,-28,-100
2023-05-16,80,100,0,-31,-100,100,98,75,81
2023-05-17,-80,100,15,-21,100,-10,100,-68,-100
2023-05-18,73,0,11,94,100,-27,100,-1,-100
2023-05-19,100,0,0,0,0,-71,-100,74,-99
2023-05-22,-90,-20,3,-77,-100,5,-15,-80,0
2023-05-23,-78,-100,0,100,52,-100,-24,0,9
2023-05-24,66,100,0,-13,-22,0,-54,0,0
2023-05-25,67,0,0,-53,23,-56,-5,1,100
2023-05-26,-86,6,-29,100,-23,0,-76,59,31
2023-05-30,100,100,26,100,-100,0,100,92,-100
2023-05-31,82,-91,-26,14,42,0,100,-84,62
2023-06-01,0,100,27,-100,43,0,-36,-68,-47
2023-06-02,58,-100,-27,45,-80,100,-14,0,47
2023-06-05,-100,100,0,20,-100,2,100,0,37
2023-06-06,0,-4,29,-10,33,-100,-4,0,-88
2023-06-07,-60,-63,-2,-4,-82,-2,-20,0,100
2023-06-08,-100,20,-27,48,-25,100,100,100,-29
2023-06-09,-32,76,28,51,100,16,-94,-79,-55
2023-06-12,13,-56,-28,83,-100,100,-10,-21,66
2023-06-13,-13,-4,0,14,100,-22,10,0,99
2023-06-14,0,14,0,63,-100,-92,-27,0,100
2023-06-15,0,-13,7,100,0,-8,100,40,100
2023-06-16,0,39,5,57,0,-67,-47,6,-59
2023-06-20,75,-15,-12,-58,59,100,-100,57,100
2023-06-21,34,-18,0,41,-52,-67,9,0,34
2023-06-22,21,-73,0,-17,100,-60,84,-94,38
2023-06-23,-100,61,0,12,100,0,-100,-9,-97
2023-06-26,-30,100,0,-41,76,100,6,0,25
2023-06-27,0,95,0,97,-100,33,-22,100,66
2023-06-28,0,56,0,-57,-29,-100,100,58,100
2023-06-29,0,10,0,-67,-100,-33,19,-100,47
2023-06-30,0,63,0,32,-54,62,-20,-35,-52
2023-07-03,0,100,0,11,70,100,94,28,1
2023-07-05,100,37,0,-26,-70,100,94,-38,-100
2023-07-06,-100,-8,0,-21,0,-46,-41,-13,65
