date,agg,bil,btcusd,gld,spy,vb,vnq,vo,vwo
2024-10-04,1,0,0,0,-72,93,-78,100,1
2024-10-07,-1,1,0,0,0,0,0,0,1
2024-10-08,90,12,0,27,-13,-22,-44,-26,-100
2024-10-09,100,47,0,0,0,-5,0,0,-29
2024-10-10,41,-60,0,-100,-16,-20,-50,87,-100
2024-10-11,-100,0,0,2,34,-25,-14,100,-75
2024-10-14,0,33,0,-78,0,-12,-33,100,-100
2024-10-15,-11,100,0,-100,12,-9,-100,-6,-23
2024-10-16,100,-41,0,49,-100,0,54,66,-62
2024-10-17,-97,-92,1,0,6,0,-100,0,9
2024-10-18,100,0,-1,-63,-62,0,-100,84,-100
2024-10-21,-72,0,0,-5,100,0,4,91,100
2024-10-22,100,0,0,-28,100,0,-100,-100,-64
2024-10-23,-65,74,0,100,0,0,0,-82,-67
2024-10-24,1,100,1,-100,-100,4,-84,-70,22
2024-10-25,25,100,0,-14,25,-4,-21,16,-96
2024-10-28,-54,-25,0,3,-40,0,100,100,100
2024-10-29,-100,1,0,1,72,0,-12,-100,-100
2024-10-30,100,-84,-1,-7,25,70,92,85,100
2024-10-31,-10,-100,0,28,-59,27,-71,100,-100
2024-11-01,23,-9,0,100,-100,-97,-34,-100,-79
2024-11-04,-73,-32,1,-48,43,0,100,100,4
2024-11-05,1,-4,0,0,0,87,-19,-71,1
2024-11-06,-99,-21,-1,-326,-1181,-87,-3242,-474,-8004
2024-11-07,0,100,0,0,0,0,3,100,0
2024-11-08,100,-100,0,37,0,23,-1,-35,0
2024-11-11,-90,0,18,-5,0,-23,26,-65,57
2024-11-12,0,0,-18,-32,0,100,100,100,-15
2024-11-13,21,0,0,0,100,-29,58,71,100
2024-11-14,-31,48,0,63,-83,13,33,-100,33
2024-11-15,0,76,0,-16,100,-46,-100,-22,-100
2024-11-18,68,-26,17,-47,-100,65,-91,-49,-75
2024-11-19,-49,77,-17,0,68,-40,100,100,0
2024-11-20,-5,-19,0,40,100,6,-100,-60,100
2024-11-21,100,75,0,100,2,-44,-8,-1,-16
2024-11-22,100,100,15,-32,-38,-3,100,75,3
2024-11-25,100,53,0,91,-100,100,-60,-6,-21
2024-11-26,-52,73,-15,81,-49,42,-18,-100,-66
2024-11-27,72,-100,0,71,0,-93,-42,-8,11
2024-11-29,-68,-23,0,73,7,59,0,61,65
2024-12-02,-100,47,0,-7,-7,41,0,100,-43
2024-12-03,-25,-51,5,-8,0,-100,100,13,48
2024-12-04,100,11,-5,100,100,-71,-100,100,-78
2024-12-05,-84,100,0,-39,-20,100,25,60,21
2024-12-06,-100,14,0,87,100,0,21,100,39
2024-12-09,-57,-83,12,-100,2,47,100,-96,-63
2024-12-10,84,-100,0,100,35,95,-94,-100,90
2024-12-11,100,35,0,82,-34,-88,-52,23,100
2024-12-12,-34,66,0,100,-19,-82,100,0,-18
2024-12-13,-100,-61,0,54,-100,-72,-23,57,61
2024-12-16,-19,-100,1,-84,-28,58,24,-29,-100
2024-12-17,0,5,0,0,13,-16,0,0,-47
2024-12-18,-31,2,-12,57,-6,-42,85,-29,-25
2024-12-19,0,-89,-1,86,100,100,13,19,-22
2024-12-20,0,91,0,100,-86,9,100,-49,36
2024-12-23,0,-34,13,20,-39,-100,27,-74,100
2024-12-24,0,0,0,-26,0,65,100,100,0
2024-12-26,25,-25,-13,-96,-18,-74,-100,87,57
2024-12-27,57,-100,13,-100,0,91,100,18,-17
2024-12-30,-82,-62,-13,-23,0,-91,-100,100,-100
2024-12-31,59,50,0,97,0,0,49,-9,-100
2025-01-02,-27,100,12,-19,46,100,-61,100,-15
